id,nama,nama_lengkap,nama_lembaga,id_provinsi,nama_provinsi,jumlah_kursi,jumlah_penduduk
1400-01-0000,Riau 1,Riau 1,DPRDI,14,Riau,9,
1400-02-0000,Riau 2,Riau 2,DPRDI,14,Riau,8,
1400-03-0000,Riau 3,Riau 3,DPRDI,14,Riau,6,
1400-04-0000,Riau 4,Riau 4,DPRDI,14,Riau,7,
1400-05-0000,Riau 5,Riau 5,DPRDI,14,Riau,11,
1400-06-0000,Riau 6,Riau 6,DPRDI,14,Riau,8,
1400-07-0000,Riau 7,Riau 7,DPRDI,14,Riau,8,
1400-08-0000,Riau 8,Riau 8,DPRDI,14,Riau,8,
1500-01-0000,Jambi 1,Jambi 1,DPRDI,15,Jambi,10,
1500-02-0000,Jambi 2,Jambi 2,DPRDI,15,Jambi,10,
1500-03-0000,Jambi 3,Jambi 3,DPRDI,15,Jambi,10,
1500-04-0000,Jambi 4,Jambi 4,DPRDI,15,Jambi,6,
1500-05-0000,Jambi 5,Jambi 5,DPRDI,15,Jambi,10,
1500-06-0000,Jambi 6,Jambi 6,DPRDI,15,Jambi,9,
1600-01-0000,Sumsel 1,Sumatera Selatan 1,DPRDI,16,Sumsel,6,
1600-02-0000,Sumsel 2,Sumatera Selatan 2,DPRDI,16,Sumsel,7,
1600-03-0000,Sumsel 3,Sumatera Selatan 3,DPRDI,16,Sumsel,12,
1600-04-0000,Sumsel 4,Sumatera Selatan 4,DPRDI,16,Sumsel,6,
1600-05-0000,Sumsel 5,Sumatera Selatan 5,DPRDI,16,Sumsel,7,
1600-06-0000,Sumsel 6,Sumatera Selatan 6,DPRDI,16,Sumsel,8,
1600-07-0000,Sumsel 7,Sumatera Selatan 7,DPRDI,16,Sumsel,8,
1600-08-0000,Sumsel 8,Sumatera Selatan 8,DPRDI,16,Sumsel,7,
1600-09-0000,Sumsel 9,Sumatera Selatan 9,DPRDI,16,Sumsel,6,
1600-10-0000,Sumsel 10,Sumatera Selatan 10,DPRDI,16,Sumsel,8,
1700-01-0000,Bengkulu 1,Bengkulu 1,DPRDI,17,Bengkulu,8,
1700-02-0000,Bengkulu 2,Bengkulu 2,DPRDI,17,Bengkulu,8,
1700-03-0000,Bengkulu 3,Bengkulu 3,DPRDI,17,Bengkulu,4,
1700-04-0000,Bengkulu 4,Bengkulu 4,DPRDI,17,Bengkulu,9,
1700-05-0000,Bengkulu 5,Bengkulu 5,DPRDI,17,Bengkulu,4,
1700-06-0000,Bengkulu 6,Bengkulu 6,DPRDI,17,Bengkulu,7,
1700-07-0000,Bengkulu 7,Bengkulu 7,DPRDI,17,Bengkulu,5,
1800-01-0000,Lampung 1,Lampung 1,DPRDI,18,Lampung,11,
1800-02-0000,Lampung 2,Lampung 2,DPRDI,18,Lampung,10,
1800-03-0000,Lampung 3,Lampung 3,DPRDI,18,Lampung,11,
1800-04-0000,Lampung 4,Lampung 4,DPRDI,18,Lampung,10,
1800-05-0000,Lampung 5,Lampung 5,DPRDI,18,Lampung,11,
1800-06-0000,Lampung 6,Lampung 6,DPRDI,18,Lampung,10,
1800-07-0000,Lampung 7,Lampung 7,DPRDI,18,Lampung,12,
1800-08-0000,Lampung 8,Lampung 8,DPRDI,18,Lampung,10,
1900-01-0000,Babel 1,Bangka Belitung 1,DPRDI,19,Babel,7,
1900-02-0000,Babel 2,Bangka Belitung 2,DPRDI,19,Babel,6,
1900-03-0000,Babel 3,Bangka Belitung 3,DPRDI,19,Babel,6,
1900-04-0000,Babel 4,Bangka Belitung 4,DPRDI,19,Babel,9,
1900-05-0000,Babel 5,Bangka Belitung 5,DPRDI,19,Babel,7,
1900-06-0000,Babel 6,Bangka Belitung 6,DPRDI,19,Babel,10,
2100-01-0000,Kepri 1,Kepulauan Riau 1,DPRDI,21,Kepri,5,
2100-02-0000,Kepri 2,Kepulauan Riau 2,DPRDI,21,Kepri,6,
2100-03-0000,Kepri 3,Kepulauan Riau 3,DPRDI,21,Kepri,6,
2100-04-0000,Kepri 4,Kepulauan Riau 4,DPRDI,21,Kepri,10,
2100-05-0000,Kepri 5,Kepulauan Riau 5,DPRDI,21,Kepri,10,
2100-06-0000,Kepri 6,Kepulauan Riau 6,DPRDI,21,Kepri,5,
2100-07-0000,Kepri 7,Kepulauan Riau 7,DPRDI,21,Kepri,3,
3100-01-0000,DKI Jakarta 1,DKI Jakarta 1,DPRDI,31,DKI Jakarta,12,
3100-02-0000,DKI Jakarta 2,DKI Jakarta 2,DPRDI,31,DKI Jakarta,9,
3100-03-0000,DKI Jakarta 3,DKI Jakarta 3,DPRDI,31,DKI Jakarta,9,
3100-04-0000,DKI Jakarta 4,DKI Jakarta 4,DPRDI,31,DKI Jakarta,10,
3100-05-0000,DKI Jakarta 5,DKI Jakarta 5,DPRDI,31,DKI Jakarta,10,
3100-06-0000,DKI Jakarta 6,DKI Jakarta 6,DPRDI,31,DKI Jakarta,10,
3100-07-0000,DKI Jakarta 7,DKI Jakarta 7,DPRDI,31,DKI Jakarta,10,
3100-08-0000,DKI Jakarta 8,DKI Jakarta 8,DPRDI,31,DKI Jakarta,12,
3100-09-0000,DKI Jakarta 9,DKI Jakarta 9,DPRDI,31,DKI Jakarta,12,
3100-10-0000,DKI Jakarta 10,DKI Jakarta 10,DPRDI,31,DKI Jakarta,12,
3200-01-0000,Jabar 1,Jawa Barat 1,DPRDI,32,Jabar,7,
3200-02-0000,Jabar 2,Jawa Barat 2,DPRDI,32,Jabar,11,
3200-03-0000,Jabar 3,Jawa Barat 3,DPRDI,32,Jabar,7,
3200-04-0000,Jabar 4,Jawa Barat 4,DPRDI,32,Jabar,5,
3200-05-0000,Jabar 5,Jawa Barat 5,DPRDI,32,Jabar,9,
3200-06-0000,Jabar 6,Jawa Barat 6,DPRDI,32,Jabar,9,
3200-07-0000,Jabar 7,Jawa Barat 7,DPRDI,32,Jabar,6,
3200-08-0000,Jabar 8,Jawa Barat 8,DPRDI,32,Jabar,7,
3200-09-0000,Jabar 9,Jawa Barat 9,DPRDI,32,Jabar,10,
3200-10-0000,Jabar 10,Jawa Barat 10,DPRDI,32,Jabar,11,
3200-11-0000,Jabar 11,Jawa Barat 11,DPRDI,32,Jabar,7,
3200-12-0000,Jabar 12,Jawa Barat 12,DPRDI,32,Jabar,11,
3300-01-0000,Jateng 1,Jawa Tengah 1,DPRDI,33,Jateng,11,
3300-02-0000,Jateng 2,Jawa Tengah 2,DPRDI,33,Jateng,9,
3300-03-0000,Jateng 3,Jawa Tengah 3,DPRDI,33,Jateng,11,
3300-04-0000,Jateng 4,Jawa Tengah 4,DPRDI,33,Jateng,7,
3300-05-0000,Jateng 5,Jawa Tengah 5,DPRDI,33,Jateng,10,
3300-06-0000,Jateng 6,Jawa Tengah 6,DPRDI,33,Jateng,11,
3300-07-0000,Jateng 7,Jawa Tengah 7,DPRDI,33,Jateng,10,
3300-08-0000,Jateng 8,Jawa Tengah 8,DPRDI,33,Jateng,10,
3300-09-0000,Jateng 9,Jawa Tengah 9,DPRDI,33,Jateng,10,
3300-10-0000,Jateng 10,Jawa Tengah 10,DPRDI,33,Jateng,11,
3400-01-0000,DI Yogyakarta 1,DI Yogyakarta 1,DPRDI,34,DI Yogyakarta,7,
3400-02-0000,DI Yogyakarta 2,DI Yogyakarta 2,DPRDI,34,DI Yogyakarta,7,
3400-03-0000,DI Yogyakarta 3,DI Yogyakarta 3,DPRDI,34,DI Yogyakarta,6,
3400-04-0000,DI Yogyakarta 4,DI Yogyakarta 4,DPRDI,34,DI Yogyakarta,7,
3400-05-0000,DI Yogyakarta 5,DI Yogyakarta 5,DPRDI,34,DI Yogyakarta,9,
3400-06-0000,DI Yogyakarta 6,DI Yogyakarta 6,DPRDI,34,DI Yogyakarta,8,
3400-07-0000,DI Yogyakarta 7,DI Yogyakarta 7,DPRDI,34,DI Yogyakarta,11,
3500-01-0000,Jatim 1,Jawa Timur 1,DPRDI,35,Jatim,12,
3500-02-0000,Jatim 2,Jawa Timur 2,DPRDI,35,Jatim,8,
3500-03-0000,Jatim 3,Jawa Timur 3,DPRDI,35,Jatim,8,
3500-04-0000,Jatim 4,Jawa Timur 4,DPRDI,35,Jatim,9,
3500-05-0000,Jatim 5,Jawa Timur 5,DPRDI,35,Jatim,9,
3500-06-0000,Jatim 6,Jawa Timur 6,DPRDI,35,Jatim,11,
3500-07-0000,Jatim 7,Jawa Timur 7,DPRDI,35,Jatim,9,
3500-08-0000,Jatim 8,Jawa Timur 8,DPRDI,35,Jatim,11,
3500-09-0000,Jatim 9,Jawa Timur 9,DPRDI,35,Jatim,6,
3500-10-0000,Jatim 10,Jawa Timur 10,DPRDI,35,Jatim,7,
3500-11-0000,Jatim 11,Jawa Timur 11,DPRDI,35,Jatim,10,
3600-01-0000,Banten 1,Banten 1,DPRDI,36,Banten,5,
3600-02-0000,Banten 2,Banten 2,DPRDI,36,Banten,12,
3600-03-0000,Banten 3,Banten 3,DPRDI,36,Banten,10,
3600-04-0000,Banten 4,Banten 4,DPRDI,36,Banten,11,
3600-05-0000,Banten 5,Banten 5,DPRDI,36,Banten,8,
3600-06-0000,Banten 6,Banten 6,DPRDI,36,Banten,6,
3600-07-0000,Banten 7,Banten 7,DPRDI,36,Banten,11,
3600-08-0000,Banten 8,Banten 8,DPRDI,36,Banten,9,
3600-09-0000,Banten 9,Banten 9,DPRDI,36,Banten,10,
3600-10-0000,Banten 10,Banten 10,DPRDI,36,Banten,3,
5100-01-0000,Bali 1,Bali 1,DPRDI,51,Bali,8,
5100-02-0000,Bali 2,Bali 2,DPRDI,51,Bali,6,
5100-03-0000,Bali 3,Bali 3,DPRDI,51,Bali,6,
5100-04-0000,Bali 4,Bali 4,DPRDI,51,Bali,4,
5100-05-0000,Bali 5,Bali 5,DPRDI,51,Bali,12,
5100-06-0000,Bali 6,Bali 6,DPRDI,51,Bali,3,
5100-07-0000,Bali 7,Bali 7,DPRDI,51,Bali,7,
5100-08-0000,Bali 8,Bali 8,DPRDI,51,Bali,3,
5100-09-0000,Bali 9,Bali 9,DPRDI,51,Bali,6,
5200-01-0000,NTB 1,Nusa Tenggara Barat 1,DPRDI,52,NTB,5,
5200-02-0000,NTB 2,Nusa Tenggara Barat 2,DPRDI,52,NTB,12,
5200-03-0000,NTB 3,Nusa Tenggara Barat 3,DPRDI,52,NTB,9,
5200-04-0000,NTB 4,Nusa Tenggara Barat 4,DPRDI,52,NTB,6,
5200-05-0000,NTB 5,Nusa Tenggara Barat 5,DPRDI,52,NTB,8,
5200-06-0000,NTB 6,Nusa Tenggara Barat 6,DPRDI,52,NTB,11,
5200-07-0000,NTB 7,Nusa Tenggara Barat 7,DPRDI,52,NTB,7,
5200-08-0000,NTB 8,Nusa Tenggara Barat 8,DPRDI,52,NTB,7,
5300-01-0000,NTT 1,Nusa Tenggara Timur 1,DPRDI,53,NTT,6,
5300-02-0000,NTT 2,Nusa Tenggara Timur 2,DPRDI,53,NTT,7,
5300-03-0000,NTT 3,Nusa Tenggara Timur 3,DPRDI,53,NTT,10,
5300-04-0000,NTT 4,Nusa Tenggara Timur 4,DPRDI,53,NTT,10,
5300-05-0000,NTT 5,Nusa Tenggara Timur 5,DPRDI,53,NTT,11,
5300-06-0000,NTT 6,Nusa Tenggara Timur 6,DPRDI,53,NTT,7,
5300-07-0000,NTT 7,Nusa Tenggara Timur 7,DPRDI,53,NTT,8,
5300-08-0000,NTT 8,Nusa Tenggara Timur 8,DPRDI,53,NTT,6,
6100-01-0000,Kalbar 1,Kalimantan Barat 1,DPRDI,61,Kalbar,8,
6100-02-0000,Kalbar 2,Kalimantan Barat 2,DPRDI,61,Kalbar,11,
6100-03-0000,Kalbar 3,Kalimantan Barat 3,DPRDI,61,Kalbar,6,
6100-04-0000,Kalbar 4,Kalimantan Barat 4,DPRDI,61,Kalbar,8,
6100-05-0000,Kalbar 5,Kalimantan Barat 5,DPRDI,61,Kalbar,5,
6100-06-0000,Kalbar 6,Kalimantan Barat 6,DPRDI,61,Kalbar,8,
6100-07-0000,Kalbar 7,Kalimantan Barat 7,DPRDI,61,Kalbar,11,
6100-08-0000,Kalbar 8,Kalimantan Barat 8,DPRDI,61,Kalbar,8,
6200-01-0000,Kalteng 1,Kalimantan Tengah 1,DPRDI,62,Kalteng,10,
6200-02-0000,Kalteng 2,Kalimantan Tengah 2,DPRDI,62,Kalteng,10,
6200-03-0000,Kalteng 3,Kalimantan Tengah 3,DPRDI,62,Kalteng,7,
6200-04-0000,Kalteng 4,Kalimantan Tengah 4,DPRDI,62,Kalteng,9,
6200-05-0000,Kalteng 5,Kalimantan Tengah 5,DPRDI,62,Kalteng,9,
6300-01-0000,Kalsel 1,Kalimantan Selatan 1,DPRDI,63,Kalsel,8,
6300-02-0000,Kalsel 2,Kalimantan Selatan 2,DPRDI,63,Kalsel,9,
6300-03-0000,Kalsel 3,Kalimantan Selatan 3,DPRDI,63,Kalsel,4,
6300-04-0000,Kalsel 4,Kalimantan Selatan 4,DPRDI,63,Kalsel,9,
6300-05-0000,Kalsel 5,Kalimantan Selatan 5,DPRDI,63,Kalsel,9,
6300-06-0000,Kalsel 6,Kalimantan Selatan 6,DPRDI,63,Kalsel,8,
6300-07-0000,Kalsel 7,Kalimantan Selatan 7,DPRDI,63,Kalsel,8,
6400-01-0000,Kaltim 1,Kalimantan Timur 1,DPRDI,64,Kaltim,11,
6400-02-0000,Kaltim 2,Kalimantan Timur 2,DPRDI,64,Kaltim,7,
6400-03-0000,Kaltim 3,Kalimantan Timur 3,DPRDI,64,Kaltim,6,
6400-04-0000,Kaltim 4,Kalimantan Timur 4,DPRDI,64,Kaltim,12,
6400-05-0000,Kaltim 5,Kalimantan Timur 5,DPRDI,64,Kaltim,11,
6400-06-0000,Kaltim 6,Kalimantan Timur 6,DPRDI,64,Kaltim,8,
7100-01-0000,Sulut 1,Sulawesi Utara 1,DPRDI,71,Sulut,8,
7100-02-0000,Sulut 2,Sulawesi Utara 2,DPRDI,71,Sulut,8,
7100-03-0000,Sulut 3,Sulawesi Utara 3,DPRDI,71,Sulut,5,
7100-04-0000,Sulut 4,Sulawesi Utara 4,DPRDI,71,Sulut,10,
7100-05-0000,Sulut 5,Sulawesi Utara 5,DPRDI,71,Sulut,6,
7100-06-0000,Sulut 6,Sulawesi Utara 6,DPRDI,71,Sulut,8,
7200-01-0000,Sulteng 1,Sulawesi Tengah 1,DPRDI,72,Sulteng,6,
7200-02-0000,Sulteng 2,Sulawesi Tengah 2,DPRDI,72,Sulteng,7,
7200-03-0000,Sulteng 3,Sulawesi Tengah 3,DPRDI,72,Sulteng,6,
7200-04-0000,Sulteng 4,Sulawesi Tengah 4,DPRDI,72,Sulteng,8,
7200-05-0000,Sulteng 5,Sulawesi Tengah 5,DPRDI,72,Sulteng,10,
7200-06-0000,Sulteng 6,Sulawesi Tengah 6,DPRDI,72,Sulteng,8,
7300-01-0000,Sulsel 1,Sulawesi Selatan 1,DPRDI,73,Sulsel,9,
7300-02-0000,Sulsel 2,Sulawesi Selatan 2,DPRDI,73,Sulsel,6,
7300-03-0000,Sulsel 3,Sulawesi Selatan 3,DPRDI,73,Sulsel,9,
7300-04-0000,Sulsel 4,Sulawesi Selatan 4,DPRDI,73,Sulsel,7,
7300-05-0000,Sulsel 5,Sulawesi Selatan 5,DPRDI,73,Sulsel,6,
7300-06-0000,Sulsel 6,Sulawesi Selatan 6,DPRDI,73,Sulsel,9,
7300-07-0000,Sulsel 7,Sulawesi Selatan 7,DPRDI,73,Sulsel,7,
7300-08-0000,Sulsel 8,Sulawesi Selatan 8,DPRDI,73,Sulsel,7,
7300-09-0000,Sulsel 9,Sulawesi Selatan 9,DPRDI,73,Sulsel,9,
7300-10-0000,Sulsel 10,Sulawesi Selatan 10,DPRDI,73,Sulsel,5,
7300-11-0000,Sulsel 11,Sulawesi Selatan 11,DPRDI,73,Sulsel,11,
7400-01-0000,Sultra 1,Sulawesi Tenggara 1,DPRDI,74,Sultra,6,
7400-02-0000,Sultra 2,Sulawesi Tenggara 2,DPRDI,74,Sultra,8,
7400-03-0000,Sultra 3,Sulawesi Tenggara 3,DPRDI,74,Sultra,6,
7400-04-0000,Sultra 4,Sulawesi Tenggara 4,DPRDI,74,Sultra,10,
