id,id_wilayah,kategori_id,pemohon,termohon,obyek_sengketa,keputusan_putasan,upload_file,tanggal,parpol_pendukung
46,66725,,"Idham Khalid - Abdul Kadir, S.Ag",KPU Kabupaten Kutai Kartanegara,,Keputusan KPU Kabupaten Kutai Kartanegara Nomor : 104/Kpts/KPU-Kukar/021.436157/2015 tanggal 24 Agustus 2015 tentang Pasangan Calon Bupati dan Wakil Bupati Kutai Kartanegara Yang Tidak Memenuhi Syarat (TMS) Tahun 2015,46__Keputusan Panwaslu Kabupaten Kutai Kartanegara.pdf,9/14/2015 16:33,NULL
47,89235,,,,,,_Keputusan Panwaslu Kabupaten Kaimana.pdf,9/14/2015 17:27,NULL
48,89235,,"Drs. Matias Mairuma - Ismail Sirfefa, S.Sos., MH",KPU Kabupaten Kaimana,,Keputusan KPU Kabupaten Kaimana Nomor : 32/KPU-KAB-032/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Kaimana Tahun 2015,48__Keputusan Panwaslu Kabupaten Kaimana.pdf,9/14/2015 17:28,NULL
49,62775,,,,,,_Keputusan Panwaslu Kabupaten Kotawaringin Timur.pdf,9/14/2015 17:38,NULL
50,62775,,"Muhammad Rudini - H. Supriadi MT, S.Sos",KPU Kabupaten Kotawaringin Timur,,Keputusan KPU Kabupaten Kotawaringin Timur Nomor : 18/Kpts/KPU-Kab-020.435806/2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Kotawaringin Timur Tahun 2015,50__Keputusan Panwaslu Kabupaten Kotawaringin Timur.pdf,9/14/2015 17:38,NULL
51,58998,,,,,,_Keputusan Panwaslu Kabupaten Sumba Timur.pdf,9/15/2015 10:33,NULL
52,58998,,"Gideon Mbilijora, M.SI - Umbu Lili Pekuwali, ST., MT",KPU Kabupaten Sumba Timur,,Keputusan KPU Kabupaten Sumba Timur Nomor : 146/KPU-Kab/018434022/VIII/2015 tanggal 3 Agustus 2015 tentang Pemberitahuan Hasil Penelitian,52__Keputusan Panwaslu Kabupaten Sumba Timur.pdf,9/15/2015 10:36,NULL
53,67582,,,,,,_Keputusan Panwaslu Kota Balikpapan 1.pdf,9/15/2015 13:06,NULL
54,67582,,Dr. H. Abdul Hakim - Dra. Hj. Wahidah,KPU Kota Balikpapan,,Keputusan KPU Kota Balikpapan Nomor : 86/KPU-BPP/021.436208/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Walikota dan Wakil Walikota Balikpapan,54__Keputusan Panwaslu Kota Balikpapan 1.pdf,9/15/2015 13:07,NULL
55,25554,,,,,,_Keputusan Panwaslu Kabupaten Pesawaran.pdf,9/15/2015 14:11,NULL
56,25554,,"Toni Yunizar - M. Irfandi Romas, S.Sos",KPU Kabupaten Pesawaran,,Berita Acara KPU Kabupaten Pesawaran Nomor : 194/BA/VII/2015 tanggal 28 Juli 2015 tentang Pemeriksaan Berkas Persyaratan Pencalonan Pemilihan Bupati dan Wakil Bupati Pesawaran Tahun 2015,56__Keputusan Panwaslu Kabupaten Pesawaran.pdf,9/15/2015 14:12,NULL
57,23134,,,,,,_Keputusan Panwaslu Kabupaten Kepahiang.pdf,9/15/2015 14:38,NULL
58,23134,,"H. Zurdi Nata, S.IP - Iwan Sumantri, SE., MM",KPU Kabupaten Kepahiang,,Keputusan KPU Kabupaten Kepahiang Nomor : 30/Kpts/KPU-Kab-007.434311/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati menjadi Peserta Pemilihan Bupati Kepahiang Tahun 2015,58__Keputusan Panwaslu Kabupaten Kepahiang.pdf,9/15/2015 14:38,NULL
59,12368,,,,,,_Keputusan Panwaslu Kabupaten Mandailing Natal.pdf,9/15/2015 15:14,NULL
61,71836,,,,,,_Keputusan Panwaslu Kabupaten Tojo Una-Una.pdf,9/15/2015 15:23,NULL
62,71836,,Malik H. Supu,KPU Kabupaten Tojo Una-Una,,Keputusan KPU Kabupaten Tojo Una-Una Nomor : 65/Kpts/KPU-Kab/024.433206/2015 tentang Bakal Pasangan Calon Yang tidak Memenuhi Syarat Setelah Dilakukan Penelitian Administrasi Jumlah Minimal Dukungan dan Persebaran Dalam Penyelenggaraan Pemilihan Bupati dan Wakil Bupati Tojo Una-Una Tahun 2015 ,62__Keputusan Panwaslu Kabupaten Tojo Una-Una.pdf,9/15/2015 15:24,NULL
63,72396,,,,,,_Keputusan Panwaslu Kota Palu.pdf,9/15/2015 15:41,NULL
64,72396,,"H. A. Mulhanan Tombolotutu, SH - Drs. Tahmidy Lasahido, M.Si",KPU Kota Palu,,Keputusan KPU Kota Palu Nomor : 40/Kpts/KPU.Kota Palu.024.433212/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon yang Tidak Memenuhi Syarat Walikota dan Wakil Walikota Tahun 2015 ,64__Keputusan Panwaslu Kota Palu.pdf,9/15/2015 15:42,NULL
65,10371,,,,,,_Keputusan Panwaslu Kabupaten Nias Selatan.pdf,9/15/2015 18:01,NULL
66,10371,,"Hadirat Manao - Pdt. Ami Hari Hondo, S.Th",KPU Kabupaten Nias Selatan,,"Keputusan KPU Kabupaten Nias Selatan Nomor : 74/Kpts/KPU-Kab-002.434832/2015 tanggal 3 Agustus 2015 tentang Penolakan Dokumen Persyaratan Pencalonan Pasangan Calon Bupati dan Wakil Bupati Kabupaten Nias Selatan Tahun 2015 atas nama Hadirat Manao dan Pdt. Ami Hari Hondo, S.Th serta Keputusan KPU Kabupaten Nias Selatan Nomor : 75/Kpts/KPU-Kab-002.434832/2015 tanggal 4 Agustus 2015 tentang Perubahan atas Keputusan KPU Kabupaten Nias Selatan Nomor : 74/Kpts/KPU-Kab-002.434832/2015 tanggal 3 Agustus 2015 tentang Penolakan Dokumen Persyaratan Pencalonan Pasangan Calon Bupati dan Wakil Bupati Kabupaten Nias Selatan Tahun 2015 atas nama Hadirat Manao dan Pdt. Ami Hari Hondo, S.Th",66__Keputusan Panwaslu Kabupaten Nias Selatan.pdf,9/15/2015 18:02,NULL
67,9943,,,,,,_Keputusan Panwaslu Kabupaten Mandailing Natal.pdf,9/15/2015 18:03,NULL
68,9943,,"Ir. Ali Mutiara Rangkuti - Shafron, S.Psi",KPU Kabupaten Mandailing Natal,,Berita Acara KPU Kabupaten Mandailing Natal Nomor : 82/BA/VII/2015 tanggal 28 Juli 2015 tentang Pengembalian Berkas Pendaftaran Bakal Calon Bupati dan Wakil Bupati Mandailing Natal Tahun 2015,68_Keputusan Panwaslu Kabupaten Mandailing Natal.pdf,9/15/2015 18:03,NULL
69,42182,,,,,,_Keputusan Panwaslu Kabupaten Pemalang.pdf,9/15/2015 19:31,NULL
70,42182,,"Mukti Agung Wibowo, ST., M.Si - Afifudin, SE",KPU Kabupaten Pemalang,,Keputusan KPU Kabupaten Pemalang Nomor : 85/Kpts/KPU-Kab-012.329336/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Pemalang Tahun 2015,70__Keputusan Panwaslu Kabupaten Pemalang.pdf,9/15/2015 19:32,NULL
71,78743,,,,,,_Keputusan Panwaslu Kabupaten Pohuwato.pdf,9/15/2015 19:52,NULL
72,78743,,"Salahudin Pakaya, SH - Burhan Mantulangi",KPU Kabupaten Pohuwato,,Keputusan KPU Kabupaten Pohuwato Nomor : 34/Kpts/KPU-Kab-028.436565/PILBUB/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Calon Bupati dan Wakil Bupati yang Memenuhi Syarat sebagai Peserta Pemilihan Bupati dan Wakil Bupati Pohuwato Tahun 2015 ,72__Keputusan Panwaslu Kabupaten Pohuwato.pdf,9/15/2015 19:53,NULL
73,13339,,,,,,_Keputusan Panwaslu Kabupaten Pesisir Selatan.pdf,9/15/2015 20:16,NULL
74,13339,,"Burhanuddin, S.IP., MM - H. Novril Anas",KPU Kabupaten Pesisir Selatan,,Keputusan KPU Kabupaten Pesisir Selatan Nomor 75 Tahun 2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Pesisir Selatan Tahun 2015,74__Keputusan Panwaslu Kabupaten Pesisir Selatan.pdf,9/15/2015 20:17,NULL
