kelurahan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk,resource
WARUGUNUNG,6.214,3.681,559,3.033,3.592,89,3.681,100.00%,https://pilkada2015.kpu.go.id/surabayakota/karangpilang
BULAK BANTENG,19.243,9.917,1.159,7.679,8.842,151,8.996,100.00%,https://pilkada2015.kpu.go.id/surabayakota/kenjeran
SIDOTOPO WETAN,35.585,16.91,2.132,15.026,16.443,243,16.91,100.00%,https://pilkada2015.kpu.go.id/surabayakota/kenjeran
TAMBAK WEDI,9.391,4.719,656,3.677,4.333,78,4.411,100.00%,https://pilkada2015.kpu.go.id/surabayakota/kenjeran
TANAH KALI KEDINDING,33.149,19.148,2.236,16.63,18.866,282,18.923,100.00%,https://pilkada2015.kpu.go.id/surabayakota/kenjeran
DUPAK,14.938,8.828,1.388,7.093,8.481,182,8.659,100.00%,https://pilkada2015.kpu.go.id/surabayakota/krembangan
KEMAYORAN,12.794,6.274,840,5.322,6.162,108,6.274,100.00%,https://pilkada2015.kpu.go.id/surabayakota/krembangan
KREMBANGAN SELATAN,11.504,4.99,1.05,3.86,4.91,80,4.99,100.00%,https://pilkada2015.kpu.go.id/surabayakota/krembangan
MOROKREMBANGAN,30.102,15.669,2.594,12.822,15.419,250,15.669,100.00%,https://pilkada2015.kpu.go.id/surabayakota/krembangan
PERAK BARAT,11.639,5.368,643,4.654,5.297,71,5.368,100.00%,https://pilkada2015.kpu.go.id/surabayakota/krembangan
BANGKINGAN,5.476,2.971,505,2.404,2.582,56,2.638,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
JERUK,5.627,3.266,390,2.795,3.185,81,3.266,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
LAKARSANTRI,5.334,3.267,437,2.748,3.185,82,3.267,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
LIDAH KULON,10.874,5.868,715,5.05,5.765,103,5.868,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
LIDAH WETAN,7.388,4.037,432,3.531,3.963,74,4.037,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
SUMUR WELUT,3.234,2.038,438,1.501,1.939,99,2.038,100.00%,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri
DUKUH SUTOREJO,11.734,5.407,602,4.729,5.121,285,5.406,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
KALIJUDAN,9.262,5.23,520,4.614,5.134,90,5.23,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
KALISARI,11.305,4.845,675,3.844,4.519,61,4.58,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
KEJAWAAN PUTIH TAMBA,4.695,2.033,316,1.424,1.953,40,2.033,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
MANYAR SABRANGAN,13.493,5.707,727,4.904,5.631,76,5.707,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
MULYOREJO,12.733,5.853,735,5.033,5.768,78,5.853,100.00%,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo
BONGKARAN,7.977,3.536,578,2.88,3.458,78,3.536,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan
KREMBANGAN UTARA,12.215,5.541,770,4.656,5.426,115,5.541,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan
NYAMPLUNGAN,7.314,2.999,440,2.205,2.645,53,2.695,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan
PERAK TIMUR,11.111,4.489,828,3.556,4.384,105,4.489,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan
PERAK UTARA,17.505,8.377,1.508,6.702,8.21,167,8.377,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan
BABAT JERAWAT,14.806,8.596,1.006,7.479,8.485,111,8.596,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pakal
BENOWO,6.197,3.693,399,3.209,3.608,85,3.693,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pakal
PAKAL,4.768,3.656,521,3.151,3.572,84,3.656,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pakal
SUMBERREJO,7.119,4.948,441,4.423,4.864,84,4.948,100.00%,https://pilkada2015.kpu.go.id/surabayakota/pakal
KALIRUNGKUT,15.275,9.372,1.022,7.939,8.961,142,9.103,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
KEDUNG BARUK,10.703,6.474,759,5.635,6.394,80,6.474,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
MEDOKAN AYU,14.027,8.686,923,7.673,8.596,90,8.686,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
PENJARINGAN SARI,11.378,6.762,811,5.88,6.691,71,6.762,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
RUNGKUT KIDUL,9.282,5.814,725,4.405,5.476,91,5.567,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
