id,id_calon,judul,url_video,tanggal_direkam,tanggal_upload
0115,jw,Wawancara Jokowi dengan Tina Talisa-Jokowi enggan komentar tentang Prabowo,http://www.youtube.com/watch?v=GNcDqHuNpeY,,2014-05-04
0116,jw,Joko Widodo nyempetin kampanye harmoni saat pengundian nomor urut pilpres,http://www.youtube.com/watch?v=7yFD1lFEJbY,,2014-06-01
0117,jw,"Jokowi makn berani,sindir dan tertawakan gerbong Prahara (Prabowo-Hatta Rajasa)",http://www.youtube.com/watch?v=Fd9L9l0-B8A,,2014-05-27
0118,jw,eksklusif-bersama Joko Widodo di taman Suropati,http://www.youtube.com/watch?v=8Zc9IteCpKs,,2014-06-01
0119,jw,Capres Jokowi blusukan di pasar Sukawati Bali,http://www.youtube.com/watch?v=HuynLdxjJJA,,2014-03-23
0120,jw,[Rakernas Partai Nasdem] Pidato Lucu Jokowi dan JK Yg Menggelegarkan Semangat Para Pendukungnya,http://www.youtube.com/watch?v=hmbD4S4vPcA,,2014-05-27
0121,jw,[Suara Anda] Tanya Kandidat Joko Widodo: Tidak Lupa Jakarta dan Upah Buruh Naik,http://www.youtube.com/watch?v=eyvJYrKkM7o,,2014-05-06
0122,jk,Silahkan Kampanye Negatif Asal Jangan Fitnah,http://m.liputan6.com/video/read/2058254/jusuf-kalla-silakan-kampanye-negatif-asal-jangan-fitnah,,2014-06-04
0123,jk,"Jokowi Capres, Bisa Hancur Negara Ini",http://www.youtube.com/watch?v=MqUp15V3WCY,,2014-05-23
0124,jk,Tatap Mata Trans7 - Pencalonan Cawapres Jusuf Kalla - 3 Mei,http://www.youtube.com/watch?v=yJbchMkUHEw,,2014-05-03
0125,jk,HITAM PUTIH - Jusuf Kalla - Part 1 of 4,http://www.youtube.com/watch?v=PDOuiLxzptw,,2014-06-18
0126,jk,Satu Indonesia-Jusuf Kalla,http://www.youtube.com/watch?v=oGmiBfYUp9Y,,2013-08-15
0127,jk,Jusuf Kalla Kampanye Sambil Berziarah di AcehJ,http://www.youtube.com/watch?v=s76OlmojPO4,,2014-06-05
0128,jk,LIVE Dialog Jusuf Kalla Setelah DEKLARASI JOKOWI Part 1,http://www.youtube.com/watch?v=k_OupYwmk3c,,2014-05-21
0129,jk,JK dan Ruhut Sitompul Saling Debat,http://www.youtube.com/watch?v=TYXd_A9vJu8,,2010-01-14
0130,jk,Jusuf Kalla Bersaksi #kasuscentury 8 Mei 2014 | 5/5,http://www.youtube.com/watch?v=n36ZsLDHB2w,,2014-05-06
0131,jk,"Tanggapan Jusuf Kalla (JK) - Jokowi Soal Video Heboh ""Jokow",http://www.youtube.com/watch?v=NX136_1nFGg,,2014-05-26
0132,jk,LIVE Metro TV !!! Komentar Jusuf Kalla Soal Video Negatif Komentarnya 2 Tahun Lalu,http://www.youtube.com/watch?v=6kDJiEYYQmc,,2014-05-26
0133,jk,Sarah Sechan - Jusuf Kalla menuangkan cerita keteguhan sang ibu ke buku,http://www.youtube.com/watch?v=b68_3-FwHbU,,2014-01-10
0134,jk,PIDATO Kampanye PERDANA Jusuf Kalla Di Aceh,http://www.youtube.com/watch?v=b68_3-FwHbU,,2014-06-05
0135,jk,Orasi Kampanye Cawapres Jusuf Kalla Di Aceh,http://www.youtube.com/watch?v=fC_bBtj2arw,,2014-01-05
0136,jk,Cawapres Jusuf Kalla Kampanye Di Kota Padang,http://www.youtube.com/watch?v=tzPkIFS4evA,,2014-01-06
0137,jk,Satu Indonesia-Jusuf Kalla-Cawapres RI 2014,http://www.youtube.com/watch?v=LoTnFxCk6Wo,,2014-01-02
0138,jk,Jusuf Kalla Bersedia Jadi Capres 2014-SULUH Indonesia-Bali TV,http://www.youtube.com/watch?v=fzb4Wajbyhk,,2012-05-22
0139,jk,Berita Terbaru Hari Ini Jusuf Kalla Cawapres Jokowi ?1 April 2014,http://www.youtube.com/watch?v=A-WOmRFoxGI,,2014-03-31
0140,jk,"Pidato JK,Dalam acara peresmian SSSG",http://www.youtube.com/watch?v=6LnLUlO_Q5k,,2010-03-10
0141,jk,The Headline Jusuf Kalla Segment 1,http://www.youtube.com/watch?v=0vD5kvxJAnk,,2012-10-11
0142,jk,"Jusuf Kalla, Indonesia Mentuka, B Channel,13 Maret 2014 Part1",http://www.youtube.com/watch?v=6L9sokZ8phs,,2014-03-13
0143,jk,"Jusuf Kalla,sipirtual executive,Metro TV,23/3/2014 Part 2",http://www.youtube.com/watch?v=P4Gn-bFt6x4,,2014-03-22
0144,jk,Video Jusuf Kalla Tolak Jokowi jadi Capres 2014,http://www.youtube.com/watch?v=LyxsFauIEYA,,2014-05-25
0145,jk,Jusuf Kalla dan kampanye sehat,http://www.youtube.com/watch?v=R1LgpG-oXh4,,2014-03-10
0146,jk,[RESMI] Jusuf Kalla nyatakan sebagai Cawapres Jokowi,http://www.youtube.com/watch?v=LbKOjCexnR0,,2014-05-18
0147,jk,Berita Terbaru-Masyarakat Sumatra Barat Bulatkan Tekad Menangkan Jokowi JK,http://www.youtube.com/watch?v=ADdG9OZlKhQ,,2014-06-06
0148,jk,JK Berdialog degan Warga Aceh,http://www.youtube.com/watch?v=UMGCzlSwOvY,,2014-06-05
0149,"jw,ps,jk,hr",Debat Capres Cawapres 9 Juni,http://www.youtube.com/watch?v=LspqhUoH4QQ,2014-06-09,2014-06-09
