id_calon,ringkasan,institusi,tanggal
hr,INSA Award,Indonesian national Shipowners Association (INSA),2014
hr,Most Inspirational - Minister,Men's Obsession Awards,2014
hr,Medali Mahendrata,Universitas Mahendrata,2014
hr,Economic Booster of The Year,Indonesia Property & Bank,2013
hr,Reformasi Award,Pro Democracy,2013
hr,The Rising Star's Men obsession Young Leader,Men Obsession,2013
hr,Pemimpin Pembangunan Ekonomi Nasional,Persatuan Wartaran Indonesia Cabang Jawa Timur,2013
hr,Tokoh Standarisasi Indonesia-Kategori Aparatur Pemerintah,Badan Standarisasi Nasional (BSN),2013
hr,Social Media Award 2013,Majalah Marketing,2013
hr,Narasumber/Pejabat Yang paling Mudah Dihubungi Wartawan,Persatuan Wartawan Indonesia Jaya,2013
hr,Pemimpin Perubahan 2011,Koran Republika,2012
hr,Ganesha Prajamanggala Bakti Kencana,Institut Teknologi Bandung (ITB),2011
hr,CAFEO Distinguished Honorary Fellowship Award,Persatuan Insiyur Indoneisa,2010
hr,Men Of The Year,Majalah Globe,2010
hr,Charta Politika Award 2009,Charta Politika,2010
hr,Ganesha Prajamanggala Bakti Adiutama,Institut Teknologi Bandung (ITB),2009
hr,10 Tokoh Parlemen Terbaik,Jurnalis Parlemen,2010
