id,name
1,ASEM ROWO
2,BENOWO
3,BUBUTAN
4,BULAK
5,DUKUHPAKIS
6,GAYUNGAN
7,GENTENG
8,GUBENG
9,GUNUNG ANYAR
10,JAMBANGAN
11,KARANGPILANG
12,KENJERAN
13,KREMBANGAN
14,LAKARSANTRI
15,MULYOREJO
16,PABEAN CANTIKAN
17,PAKAL
18,RUNGKUT
19,SAMBIKEREP
20,SAWAHAN
21,SEMAMPIR
22,SIMOKERTO
23,SUKOLILO
24,SUKOMANUNGGAL
25,TAMBAKSARI
26,TANDES
27,TEGALSARI
28,TENGGILIS MEJOYO
29,WIYUNG
30,WONOCOLO
31,WONOKROMO
