lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,domisili,foto_url,agama,tempat_lahir,tanggal_lahir
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,2,DPRDKALBAR616104p0702,"TASNIA, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,3,DPRDKALBAR616104p0703,"Drs. PATRICE, M.M.",L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,4,DPRDKALBAR616104p0704,HENDRI,L,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,5,DPRDKALBAR616104p0705,MURSALIN. MM,L,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,6,DPRDKALBAR616104p0706,GUSDAFIA,P,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,7,DPRDKALBAR616104p0707,LIM MUI SIAN,P,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,7,PARTAI DEMOKRAT,8,DPRDKALBAR616104p0708,"HERRY CAHYONO, S.Sos.",L,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,7,PARTAI DEMOKRAT,1,DPRDKALBAR616105p0701,"N. CH. SAIYAN, S.H., M.H.",L,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,7,PARTAI DEMOKRAT,2,DPRDKALBAR616105p0702,"MARKUS AMID, S.Th., M.Div.",L,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,7,PARTAI DEMOKRAT,3,DPRDKALBAR616105p0703,H. HELENA,P,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,7,PARTAI DEMOKRAT,4,DPRDKALBAR616105p0704,"MARCOS LAHIRAN, S.Sos.",L,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,7,PARTAI DEMOKRAT,5,DPRDKALBAR616105p0705,MALAYATI,P,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,1,DPRDKALBAR616106p0701,"TANTO YAKOBUS, S.Sos.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,2,DPRDKALBAR616106p0702,"KATHARINA LIES, S.Pd.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,3,DPRDKALBAR616106p0703,"BONIFATIUS BENNY, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,4,DPRDKALBAR616106p0704,"ANTON, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,5,DPRDKALBAR616106p0705,PELITIA MIKA,P,KABUPATEN SANGGAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,6,DPRDKALBAR616106p0706,PITALIA,P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,7,DPRDKALBAR616106p0707,"R. ROSDIANTO LIHAY, S.E.",L,KABUPATEN SANGGAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,7,PARTAI DEMOKRAT,8,DPRDKALBAR616106p0708,"JONVERI, S.E.",L,KABUPATEN SEKADAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,1,DPRDKALBAR616107p0701,SIMON FETRUS,L,KABUPATEN SINTANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,2,DPRDKALBAR616107p0702,"F. SURYA SUKA, S.H., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,3,DPRDKALBAR616107p0703,"YENNIE HERLASTRI, S.Pd.I.",P,KABUPATEN KAPUAS HULU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,4,DPRDKALBAR616107p0704,"MIKAEL MAHIN, S.Sos., M.Si.",L,KABUPATEN SINTANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,5,DPRDKALBAR616107p0705,"MICHELL EKO HARDIAN, S.H.",L,KABUPATEN MELAWI,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,6,DPRDKALBAR616107p0706,"BERNADETHA, S.Sos.",P,KABUPATEN SINTANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,7,DPRDKALBAR616107p0707,"HERKULANUS SUTOMO MANNA, S.P.",L,KABUPATEN KAPUAS HULU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,8,DPRDKALBAR616107p0708,"DARSONO, S.H.",L,KABUPATEN MELAWI,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,9,DPRDKALBAR616107p0709,"ROSALIA, S.P.",P,KABUPATEN LANDAK,,,,
