id,id_participant,url
74,583,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/583.png
75,587,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/587.jpg
76,593,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/593.jpg
77,598,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/598.png
78,624,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/624.png
79,626,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/626.jpg
80,642,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/642.png
81,646,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/646.png
82,650,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/650.png
83,661,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/661.png
84,662,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/662.png
85,663,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/663.png
86,677,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/677.jpg
87,680,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/680.jpeg
88,697,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/697.jpg
89,707,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/707.png
90,708,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/708.png
91,710,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/710.png
92,711,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/711.png
93,712,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/712.jpg
94,721,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/721.jpg
95,727,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/727.png
96,729,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/729.png
97,746,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/746.png
98,749,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/749.png
99,754,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/754.png
100,755,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/755.png
