id,id_provinsi,name,kind
14,15711,KAB. ROKAN HULU,KABUPATEN
14,15158,KAB. BENGKALIS,KABUPATEN
14,10925,KAB. HUMBANG HASUNDUTAN,KABUPATEN
14,14949,KAB. INDRAGIRI HULU,KABUPATEN
14,14949,KAB. INDRAGIRI HULU,KABUPATEN
14,16464,KAB. KEPULAUAN MERANTI,KABUPATEN
14,16219,KAB. KUANTAN SINGINGI,KABUPATEN
14,16219,KAB. KUANTAN SINGINGI,KABUPATEN
14,16219,KAB. KUANTAN SINGINGI,KABUPATEN
14,16646,KOTA DUMAI,KOTA
14,16646,KOTA DUMAI,KOTA
14,16646,KOTA DUMAI,KOTA
14,16646,KOTA DUMAI,KOTA
14,16646,KOTA DUMAI,KOTA
15,16073,KAB. SIAK,KABUPATEN
15,17401,KAB. BATANGHARI,KABUPATEN
15,15158,KAB. BENGKALIS,KABUPATEN
15,17953,KAB. BUNGO,KABUPATEN
15,17953,KAB. BUNGO,KABUPATEN
15,16464,KAB. KEPULAUAN MERANTI,KABUPATEN
15,17700,KAB. TANJUNG JABUNG BARAT,KABUPATEN
15,17700,KAB. TANJUNG JABUNG BARAT,KABUPATEN
15,17700,KAB. TANJUNG JABUNG BARAT,KABUPATEN
15,17848,KAB. TANJUNG JABUNG TIMUR,KABUPATEN
15,17848,KAB. TANJUNG JABUNG TIMUR,KABUPATEN
15,18320,KOTA SUNGAI PENUH,KOTA
15,18320,KOTA SUNGAI PENUH,KOTA
15,18320,KOTA SUNGAI PENUH,KOTA
15,16687,JAMBI,PROVINSI
15,16687,JAMBI,PROVINSI
16,16073,KAB. SIAK,KABUPATEN
16,17401,KAB. BATANGHARI,KABUPATEN
16,15158,KAB. BENGKALIS,KABUPATEN
16,19563,KAB. MUSI RAWAS,KABUPATEN
16,19563,KAB. MUSI RAWAS,KABUPATEN
16,19563,KAB. MUSI RAWAS,KABUPATEN
16,21454,KAB. MUSI RAWAS UTARA,KABUPATEN
16,21454,KAB. MUSI RAWAS UTARA,KABUPATEN
16,21454,KAB. MUSI RAWAS UTARA,KABUPATEN
16,20964,KAB. OGAN ILIR,KABUPATEN
16,20964,KAB. OGAN ILIR,KABUPATEN
16,20964,KAB. OGAN ILIR,KABUPATEN
16,18399,KAB. OGAN KOMERING ULU,KABUPATEN
16,18399,KAB. OGAN KOMERING ULU,KABUPATEN
16,20685,KAB. OGAN KOMERING ULU SELATAN,KABUPATEN
16,20685,KAB. OGAN KOMERING ULU SELATAN,KABUPATEN
16,20352,KAB. OGAN KOMERING ULU TIMUR,KABUPATEN
16,20352,KAB. OGAN KOMERING ULU TIMUR,KABUPATEN
16,20352,KAB. OGAN KOMERING ULU TIMUR,KABUPATEN
16,21386,KAB. PENUKAL ABAB LEMATANG ILIR,KABUPATEN
16,21386,KAB. PENUKAL ABAB LEMATANG ILIR,KABUPATEN
17,17401,KAB. BATANGHARI,KABUPATEN
17,21842,KAB. BENGKULU SELATAN,KABUPATEN
17,21842,KAB. BENGKULU SELATAN,KABUPATEN
17,21842,KAB. BENGKULU SELATAN,KABUPATEN
17,21842,KAB. BENGKULU SELATAN,KABUPATEN
17,22184,KAB. BENGKULU UTARA,KABUPATEN
17,22184,KAB. BENGKULU UTARA,KABUPATEN
17,22184,KAB. BENGKULU UTARA,KABUPATEN
17,22422,KAB. KAUR,KABUPATEN
17,23134,KAB. KEPAHIANG,KABUPATEN
17,23134,KAB. KEPAHIANG,KABUPATEN
17,23134,KAB. KEPAHIANG,KABUPATEN
17,23017,KAB. LEBONG,KABUPATEN
