id,province_id,region_id,id_participant,endorsement_type,endorsement,vote_type,acceptance_status,document_completeness,research_result,acceptance_document_repair,amount_support,amount_support_repair,amount_support_determination,eligibility_support,eligibility_support_repair,pertahana,dynasty,amount_women,incumbent,resource,information
26,63,66319,662,PARPOL,"PDIP, Partai NasDem, Partai Hanura, PKB, PPP, PBB",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=662,
27,63,66319,461,PARPOL,"Partai Gerindra, PKPI, PKS, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=461,2
28,63,66319,24,PERORANGAN,,,,,,,14941,7367,Tidak diset,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=24,3
29,63,66319,22,PERORANGAN,,,,,,,13554,7500,Tidak diset,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=22,4
30,32,28924,349,PARPOL,"PKB, Partai NasDem, PAN, Partai Hanura",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=349,1
31,32,28924,351,PERORANGAN,,,,,,,238615,159798,341536,A,A,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=351,2
32,32,28924,711,PARPOL,"PDIP, Partai Demokrat",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=711,3
33,72,70256,1095,PARPOL,"Partai Gerindra, Partai Hanura, PAN",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1095,1
34,72,70256,1090,PARPOL,"Partai NasDem, PKS, PKB",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1090,2
35,72,70256,1092,PARPOL,"PDIP, Partai Demokrat",KURSI,DITERIMA,TIDAK LENGKAP,BELUM MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1092,3
36,72,72187,1139,PARPOL,"Partai Hanura, PKB, PKPI",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1139,1
37,72,72187,1142,PARPOL,"Partai Gerindra, PAN",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1142,2
38,72,72187,1141,PARPOL,"PBB, Partai Golkar, PPP",KURSI,DITERIMA,LENGKAP,MEMENUHI SYARAT,LENGKAP,,,,,,,,,,http://infopilkada.kpu.go.id/index.php?r=dashboard/paslondetil&id=1141,3
