id_calon,ringkasan
1100-00-0000-0021,Ketua Yayasan Pendidikan Pembangunan Indonesia (YPPI) Tahun 1992 Sampai 2010
1100-00-0000-0021,Ketua Yayasan Pendidikan Pembangunan Nusantara (YPPN) Tahun 1992 Sampai 2010
1100-00-0000-0021,Direktur CV. Tirta Cinta Alam Indonesia Tshun 2000 sampai sekarang
1100-00-0000-0021,Pembina Yayasan Pendidikan Pembangunan Indonesia (YPPI) Tahun 2010 sampai sekarang
1100-00-0000-0021,Pembina Yayasan Pendidikan Pembangunan Nusantara (YPPN) Tahun 2010 sampai sekarang
1100-00-0000-0022,Anggota DPRD Aceh Tengah Periode 1999-2004
1100-00-0000-0022,Badan Rehabilitasi dan Rekonstruksi NAD-NIAS 2005-2008
1100-00-0000-0022,Anggota DPD RI 2009 s/d Sekarang
1100-00-0000-0023,Kepala PDMA Unit Jeuram Tahun 1994-1999
1100-00-0000-0023,Pelaksana PT. Fajar Baizury ( Perkebunan Kelapa Sawit) Tahun 2000-2005
1100-00-0000-0023,Bekerja Sebagai Instalatur Listrik Tahun 2005-2011
1100-00-0000-0023,Pelaksana PT. Usaha Semesta Jaya (USJ) (Perkebunan Kelapa Sawit ) Tahun 2013 S/D Sekarang.
1100-00-0000-0024,"Staf Investigasi pada PB HAM Pidi, 2000-2004"
1100-00-0000-0024,"Direktur LSM PERAK Pidi, Tahun 2005 - 2007"
1100-00-0000-0024,Tim Investigasi Anti Korupsi SoPAK Aceh
1100-00-0000-0024,"BRA Propinsi Aceh, 2006"
1100-00-0000-0024,"Wakil Bupati Pidie, Tahun 2007 - 2012"
1100-00-0000-0026,"1985 - 1987: Wartawan Koran Kampus ""Warta Unsyish"""
1100-00-0000-0026,1987 - 1989: Pengacara Praktek pada LKBH Fakultas Hukum Unsyiah
1100-00-0000-0026,1988 - Sekarang: Advokat dan Konsultan Hukum
1100-00-0000-0027,Penceramah (2008-Sekarang)
1100-00-0000-0027,Pemain Film Komedi Aceh Eumpang Breuh (2006-Sekarang)
1100-00-0000-0027,Penyiar Radio Kazuma Bayu (1995-2000)
1100-00-0000-0028,"Manajer Pendidikan dan Pelatihan Lembaga Pendidikan Mental Aritmatika ""Adil Sempoa Mandiri Aceh"" Oktober 2001 sampai dengan April 2004"
1100-00-0000-0028,"Pemilik dan pendiri jaringan restoran Ayam Lepaas, tahun 2009 sampai sekaranag"
1100-00-0000-0028,"Komisaris di berbagai perusahaan: PT. RDHB, PT. RDA, PT. RDJ, PT. RD mart, PT. Rosso Pertama FI, PT. Rosso Dewe Link Solusindo, PT Rosso Dewe, PT. Rosso Dewe Jabar Bnten, PT. Daoen Moeda, dari tahun 2011 sampai sekarang,"
1100-00-0000-0028,"Direktur lembaga Keuangan Syariah Nabani, tahun 2005 sampai sekarang"
1100-00-0000-0028,Supervisor Manager Asuransi Syariah Bumiputera Banda Aceh Mei 2003 s.d Maret 2005
1100-00-0000-0029,Dosen Luar Biasa Universitas Jabal Ghafur di Sigli Tahun 1995-1998
1100-00-0000-0029,Anggota DPRD Kabupaten Pidie de Sigli Tahun 2001-2003
1100-00-0000-0029,Pimpinan Umum Koran Minggun Aceh Tribune de Banda Aceh tahun 2001-2004
1100-00-0000-0029,Staf Ahli Gubernur Nanggroe aceh darussalam Bidang Informasi dan Komunikasi Tahun 2002-2005
1100-00-0000-0029,Staf bagian Komunikasi Direktorat Kemitraan Deputi Perumahan BRR NAD-Nias di Banda Aceh Tahun 2006-2008
1100-00-0000-0029,Direktur CV. Tribune Mandiri 2008 s/d Sekarang
1100-00-0000-0029,Managing Director PT. Moda Travel 2010 s/d sekarang
1100-00-0000-0029,"Wakil Sekretaris ""Tim Task Force"" Perikanan Pemerintahan Aceh Tahun 2012-2013"
1100-00-0000-0030,Anggota DPRD II Kabupaten Aceh Besar ( Periode 1982 - 1987 )
1100-00-0000-0030,Direktur CV. PINTOE ACEH ( 1988 - 1998 )
1100-00-0000-0030,Wakil Ketua DPRD Provinsi Nangroe Aceh Darussalam ( Periode 1999 - 2004 )
1100-00-0000-0030,Anggota MPR - RI (Periode 1999 - 2004 )
1100-00-0000-0030,Anggota DPRA (Periode 2004 - 2009 )
1100-00-0000-0030,Anggota DPD -RI Perwakilan Propinis Aceh ( Tahun 2009 - Sekarang )
1100-00-0000-0031,Wartawan Hr. Serambi Indonesia 1992-2004
1100-00-0000-0031,Anggota DPRK Pidie 2004-2009
1100-00-0000-0031,Wartawan 2010-Sekarang
1100-00-0000-0032,KOMISARIS PT. ALIRSHAD DIAN SURIA TAHUN 2010-SEKA
1100-00-0000-0033,"Adovat / Pengacara, 2010 s/d sekarang"
1100-00-0000-0033,"Konsultan Hak Kekayaan Inetektual (HKI), 2011-sekarang"
1100-00-0000-0034,"Pegawai Negeri Sipil Setwilda Kabupaten Aceh Utara, (1992-1995)"
1100-00-0000-0034,"Penasehat Hukum Praktak (Lawyer), (1992-1995)"
1100-00-0000-0034,Ketua Komite Bersama Aksi Kemanusiaan Unsur Gerakan Aceh Merdeke (GAM) dalam Proses Perundingan Jeda Kemanusiaan (Humanitarian Pause) antara Pemerintah Indonesia dengan GAM (Juni 2000 - Juli - 2001) yang di fasiljitasi oleh Henry Dunant Centre Geneva
1100-00-0000-0034,"Ketua Bidang Verifikasi Joint Security Council Gerakan Aceh Merdeka (GAM) dalam Proses Perundingan Cessetion of Hostilities Agreement (CoHA), antara Pemerintah Republik Indonesia dengan GAM, (Desember 2002 - Mei 2003) yang difasilitasi oleh Henry Dunant Centre Geneva"
1100-00-0000-0034,"Deputi Bidang Monitoring, Evaluasi dan Penyelesaian Perselisihan, Badan Rehabilitasi dan Rekonstruksi NAD-Nias (November 2005-Juli 2006)"
1100-00-0000-0034,Sekertaris Badan Pelaksana BRR NAD - Nias (Juli 2006 - 27 Agustus 2008)
1100-00-0000-0034,Staf Ahli Bidang Strategi Pembangunan Aceh Masa Depan (02 September 2008 - April 2009) Badan Rehabilitasi dan Rekonstruksi NAD - Nias
1100-00-0000-0034,Vice - Chairman The Consortium of New Aceh - Konsorsium Aceh Baru (Mei 2009 - sekarang)
1100-00-0000-0034,"Members of Board, International Centre on Aceh and Indian Ocean Studies (ICAIOS) sejak 2009 s/d sekarang"
1100-00-0000-0035,Guru PGA UISU Medan 1979
1100-00-0000-0035,Guru SMA Suak Timah 1981
1100-00-0000-0035,Pengajar Istitut Muhammadiyah Kelang Malaysia 1981-1966
1100-00-0000-0035,"Dir. Export Import Dagang Serantau Sdn Bhd. KL, M.Sia 1984-1987"
1100-00-0000-0036,"Guru Besar Pengajian Pesantren Raudhtul Mu'arif Desa Pulau Mesjid Satu, Kec. Tangse, Kab. Pidie, Ustadz dan Mubaligh"
