id_calon,ringkasan
1100-00-0000-0014,Ketua Umum Syarikat Agam-Inong Aceh Duta Wisata Aceh Barat Daya Dinas Kebudayaan Pariwisata Pemudan 201 l-SckarangOlahraga
1100-00-0000-0014,"Wakil Ketua P2TP2A Abdya. Kantor PM,PP,KS (Kasi PP) Aceh Barat Daya/P2TP2A (Pusat Pelayanan Terpadu 2011 - Sekarang Pemberdayaan Perempuan dan Anak."
1100-00-0000-0014,Direktur Eksekutif LSM SIPA Aceh LSM Sentral Informasi Pemuda Aceh 2011 -Sekarang
1100-00-0000-0014,Kordinator Umum BEM Barat Selatan Aceh. Badan Eksekutif Mahasiswa 2008-2009
1100-00-0000-0014,"Pertukaran Pemuda Antar Provinsi,Jawa Tengah-Sulawesi Barat-Papua. Dinas Pemuda dan Olah Raga Prov.Aceh 2009"
1100-00-0000-0014,Duta Wisata Nasional BPAP. Dinas Pemuda dan Olah Raga Prov.Aceh 2009
1100-00-0000-0014,Juara I Duta Wisata Aceh Barat Daya 2011 Sekdakab Abdya Bagian Keistimewaan Aceh 2011
1100-00-0000-0014,Juara Harapan Duta Wisata Propinsi Aceh 2011 Dinas Kebudayaan Dan Pariwisata Prov. Aceh. 2011
1100-00-0000-0014,Relawan Koalisi NGO HAM Koalisi NGO HAM 2008-Sekarang
1100-00-0000-0014,Direktur LSM Eksekutif Sentral Informasi Pemuda Aceh (SIPA) Sentral Informasi Pemuda Aceh (SIPA) 2011-Sekarang
1100-00-0000-0015,Ketua Brigade Pemuda Provinsi Aceh 2000-2004
1100-00-0000-0015,Bendahar KNPI Kota Banda Aceh 2002-2006
1100-00-0000-0015,Ketua DPD HISPPI Provinsi Aceh 2002-2006
1100-00-0000-0015,Ketua I DPP HISPPI 2006-Sekarang
1100-00-0000-0016,Keluarga Mahasiswa dan Alumni Penerima Beasiswa Supersemar (KMA-PBS)
1100-00-0000-0016,Himpunan Mahasiswa Islam Palembang
1100-00-0000-0017,BEM MAHASISWA UNAYA
1100-00-0000-0017,CIMSA UNAYA
1100-00-0000-0018,"Pengurus Pll, tahun 1975-1977"
1100-00-0000-0018,"Pengurus AMPI, tahun 1978-1983"
1100-00-0000-0018,"Pengurus Pemuda KIARA, tahun 1978-1983"
1100-00-0000-0018,"Senat Mahasiswa Jabal Ghafur, tahun 1983-1989"
1100-00-0000-0018,"Wkl.Ketua KNPI Pidie, tahun 1983-1989"
1100-00-0000-0018,"Pengurus PGRI Kab. Pidie, tahun 1988-1993"
1100-00-0000-0018,"Ketua PGRI Kab.Pidie, tahun 1993-Sekarang"
1100-00-0000-0018,"Wkl.Sekretaris'Partai GOLKAR Kab. Pidie, tahun 1988-1993"
1100-00-0000-0018,"Ketua DPD-II Partai GOLKAR Pidie, 1998-2009"
1100-00-0000-0018,Ketua Umum Pencak Silat Kab. Pidie 2002-2012 (Dua Periode)
1100-00-0000-0018,"Ketua Umum PSAP Sigli, 2006-2009"
1100-00-0000-0018,"Ketua Korps Alumni UNIGHA Sigli, tahun 2004-Sekarang"
1100-00-0000-0019,TIDAK ADA
1100-00-0000-0020,"Anggota Persatuan Pelajar Indonesia (PPI) Leung Putu, 1984s/d Sekarang."
1100-00-0000-0020,"Bergabung dengan Gerakan Aceh Merdeka (GAM), 1990 s/d 2005."
1100-00-0000-0020,"Bergabung dengan Komite Peralihan Aceh (KPA), 2005 s/d Sekarang."
1100-00-0000-0020,"Ketua Partai Aceh Kec. Langkahan, 2008 s/d 2013."
1100-00-0000-0021,Bendahara PNBK DPD Provinsi Nanggroe Aceh Darussalam Tahun 2004 sampai 2008
1100-00-0000-0021,Ketua PNBK Indonesia DPD Provinsi Aceh Tahun 2009 sampai 2013
1100-00-0000-0021,Ketua Lembaga Karate-Do Indonesia (LEMKAR1) Pengda Provinsi Aceh Tahun 2008 Sampai 2013
1100-00-0000-0021,Ketua Badan Peneliti Independent (BPI) Provinsi Aceh Tahun 2011 sampai sekarang
1100-00-0000-0021,APTISI ACEH
1100-00-0000-0022,Ikatan Mahasiswa Muhammadiyah (IMM)
1100-00-0000-0022,Pelajar Islam Indonesia (PII)
1100-00-0000-0022,Himpunan Mahasiswa Islam (HMI)
1100-00-0000-0022,DPD PKS Aceh Tengah
1100-00-0000-0022,BKPRMI Aceh Tengah
1100-00-0000-0022,BKPRMI Jakarta
1100-00-0000-0023,Sekrestaris PDIP Kec. Darul Makmur Tahun 1999
1100-00-0000-0023,Wakil Ketua PDIP Kab. Nagan Raya Tahun 2002
1100-00-0000-0024,"Sekretaris HMI Komisariat Fakultas Ekonomi Unsyiah, Periode 1986/1987"
1100-00-0000-0024,"Ketua Biadang Pembinaan Organisasi HMI Cabang Banda aceh, 1988/1989"
1100-00-0000-0024,Ketua BADKO HMI Aceh Periode 1990/1991
1100-00-0000-0024,"Ketua PB HMI Bidang Keummatan, Periode 1991/1992"
1100-00-0000-0024,"Staf Investigasi dan Keuangan PB HAM Pidi, Tahun 2000 - 2004"
1100-00-0000-0024,"Badan Reintegrasi Aceh (BRA) Provinsi, 2006"
1100-00-0000-0024,"Ketua Badan Narkotika Kabupaten (BNK) Pidie, 2007-2012"
1100-00-0000-0024,"Ketua Kwarcab Pramuka Kabupaten Pidie, Periode 2010 - 2014"
1100-00-0000-0024,"Ketua Pengcab PSSI Kabupaten Pidie, Periode 2010 - 2014"
1100-00-0000-0026,1983 - 1985: Sekretaris Umum Badan Permusyawaratan Mahasiswa Fakultas Hukum - Unsyiah
1100-00-0000-0026,1990 - 1994: Sekretaris Umum DPD Ikatan Penasihat Hukum Indonesia Provinsi Aceh
1100-00-0000-0026,1990 - 1993: Presidium Forum LSM Aceh
1100-00-0000-0026,1993 - 1996: Presidium Nasional WALHI (Wahana Lingkungan Hidup Indonesia)
1100-00-0000-0027,Yayasan Eumpang Breuh (2006-Sekarang)
1100-00-0000-0027,Partai Aceh (2008-Sekarang)
1100-00-0000-0027,Lembaga Rumoh Meuseni Aceh (2010-Sekarang)
1100-00-0000-0027,"Perangkat Tuha Peut, desa Alue Awe (1997-2000)"
1100-00-0000-0028,"Presiden Gerakan Wirausaha Aceh, 2001 - sekarang"
1100-00-0000-0028,"Ketua JPMI Aceh, 2001 - sekarang"
1100-00-0000-0028,Pembina Yayasan Pahala Aceh
1100-00-0000-0028,"Pembina, Indonesian Islamic Business Forum,Aceh Region, 2013 - sekarang"
1100-00-0000-0028,Pembina Forum Pala Aceh
1100-00-0000-0028,Pembina Green Agen
1100-00-0000-0029,Aktivis PII Kabupaten Pidie Tahun 1968-1972
1100-00-0000-0029,Ketua OSIS SMP Negeri Garot Tahun 1973-1974
1100-00-0000-0029,Ketua OSIS SMA Negeri Sigli Tahun 1977-1978
1100-00-0000-0029,Ketua Umum Senat Mahasiwa Fakultas Hukum UIA Jakarta Tahun 1983
1100-00-0000-0029,Katua BPM Fakultas Hukum UIA Jakarta Tahun 1985-1987
1100-00-0000-0029,Sekretaris Umum HMI Cabang Kerawang Bekasi Tahun 1985-1986
1100-00-0000-0029,Wakil Sekretaris BPC Capensi Pidie Tahun 1994-1998
1100-00-0000-0029,Ketua Kompartemen Pembinaan oergansaisi BPD HIPMI Aceh Tahun 1996-2000
1100-00-0000-0029,Ketua Umum MPW SYDA Wilayah Pidie Tahun 1998-2000
1100-00-0000-0029,Wakil Ketua BPH Kadinda Pidie Tahun 1999-2003
1100-00-0000-0030,1976 - 1980 Komisaris partai Demokrasi Indonesia Kecamatan Sukamakmur Kab. Aceh Besar
1100-00-0000-0030,1977 - 1982 Wakil Ketua DPC PDI Kab. Aceh Basar
1100-00-0000-0030,1982 - 1984 Ketua DPC PDI Kab. Aceh Basar
1100-00-0000-0030,1984 - 1988 Sekretaris DPD PDI Provinsi Daerah Istimewa Aceh
1100-00-0000-0030,1984 - 1988 Wakil Sekretaris DPD KNPI Provinsi Daerah Istimewa Aceh
1100-00-0000-0030,1998 - 2005 Ketua DPD PDI Perjuangan Provinsi Nanggroe Aceh Darussalam
1100-00-0000-0031,Ketua KNPI Pidie 2002-2007
1100-00-0000-0031,Ketua PWI Pidie 2002-2005
1100-00-0000-0031,Sekretaris Parmusi Pidie 2004-2009
1100-00-0000-0031,Ketua PWI Aceh 2010-2015
1100-00-0000-0032,KETUA UMUM DEWAN PIMPINAN PUSAT (DPP) HIMPUN LEMBAGA LATIHAN SELURUH INDONESIA TAHUN 2012-2
1100-00-0000-0033,Kabid Agama OSIS SMU Negeri 1 Lohkseumawe: 1998-1999
1100-00-0000-0033,Presidium Kesatuan Aksi Pelajar Muslin Indonesia: 1988-1999
1100-00-0000-0033,Ketua Umum Smoesa Islamic Center (SIC): 1998-1999
1100-00-0000-0033,PD. PII Kab. Aceh Utara: 1998
1100-00-0000-0033,"Kabid. Pendidikan RM. Baiturrahman, L. Seumawe: 1998-2003"
1100-00-0000-0033,Kabid. HUMAS HMJ - SPH Fak. Syari'ah: 2003-2004
1100-00-0000-0033,Sekretaris DPW MASYUMI ACEH: 2003-2008
1100-00-0000-0033,"Ketua Umum DPW Persatuan Umat Islam, Aceh: 2009-2014"
1100-00-0000-0033,"Sekretaris LBH Dharma Nusantara, Aceh: 2005"
1100-00-0000-0033,"Korwil IJABI, Aceh: 2005"
1100-00-0000-0033,"Korwil IJABI - OASE PEDULI ACEH, Aceh: 2005"
1100-00-0000-0033,"Kabid. Litbang DPW GPII, Aceh: 2002-2007"
1100-00-0000-0033,kolumnis MANGGALA POLDA DI. Yogyakarta: 2007
1100-00-0000-0033,Peneliti & Penulis RASTRA MABES POLRI: 2007
1100-00-0000-0033,"Peneliti FALSAFATUNA, Yogyakarta: 2007"
1100-00-0000-0033,ket. Umum DPA Partai Pemersatu Muslimin Aceh: 2007-2012
1100-00-0000-0033,Ketua Umum DPP Peace Institute: 2008-2013
1100-00-0000-0034,"Ketua Bidang Olahraga dan Kesenien, Sekolah Menengah Atas Negeri 1 Bireun (1979-1981)"
1100-00-0000-0034,"Ketua III Senat Mahasiswa, Fahultas Hukum Universitas Syiah Kuala, (1986-1989)"
1100-00-0000-0034,"Wakil Ketua Himpunan Pengusaha Muda Indonesia, Kabupaten Aceh Utara (1996-1999)"
1100-00-0000-0034,"Ketua Bidang Hukum, Gabungan Pengusaha Jasa Konstruksi Indonesia (GAPENSI) Aceh Utara (1995-2000)"
1100-00-0000-0034,Ketua Pemuda Pancasila Cabang Aceh Utara (1996-1999)
1100-00-0000-0035,PMII Ketua Koorcab Sumatera Utara 1976 - 1981
1100-00-0000-0035,PPP 1978 - 1982
1100-00-0000-0035,Golkar 1982 - 1906
1100-00-0000-0035,PPNUI 1999 - 2004
1100-00-0000-0035,Gerindra 2009 - sekarang
1100-00-0000-0036,Majelis Ulama Naggroe (MUNA)
1100-00-0000-0037,"Anggota Himpunan Ulama Dayah Provinsi Aceh, 2004 - Sekarang."
1100-00-0000-0037,"Anggota Persatuan Dayah INSYAFUDDIN, 2004 - Sekarang"
1100-00-0000-0038,THN 1968 Anggota PII
1100-00-0000-0038,THN 1975 Anggota PERTI
1100-00-0000-0038,THN 1997 Wakil Ketua PERTI Aceh Utara
1100-00-0000-0038,THN 2002-2007 Wakil Ketua PERTI Aceh
1100-00-0000-0039,"Ketua DPC Partai Amanat Nasional Tanah Luas, 1998 s.d 2006"
1100-00-0000-0039,"Ketua Forum Konsultasi Panti Asuhan Se-Aceh Utara, 2003 s.d 2005"
1100-00-0000-0039,"Ketua Komisi Litbang pada MPU Aceh Utara, 2002 s.d 2005"
1100-00-0000-0039,"Anggota Dewan Pendidikan Aceh Utara, 2003 s.d 2004"
1100-00-0000-0039,"Wakil Ketua DPD Partai Amanat Nasional Aceh Utara, 2006 s.d 2008"
1100-00-0000-0039,"Sekretaris Pengurus Cabang Nahdhatul Ulama Aceh Utara, 2005 s.d 2009"
1100-00-0000-0039,"Ketua Pengurus Cabang Nahdhatul Ulama Aceh Utara, 2009 s.d sekarang"
1100-00-0000-0040,Pengurus Pelajar Islam Indonesia (PII) Cab. Darussalam Aceh Besar Tahun 1969 s/d 1972
1100-00-0000-0040,Pengurus Partai Islam Perti Aceh Besar Tahun 1970 s/d 1975
1100-00-0000-0040,Pengurus Ikatan Siswa Kader Dakwah (ISKADA) Tahun 1973 s/d 1975
1100-00-0000-0040,Pengurus Persatuan Tarbiah Islam (PERTI) Aceh Utara Tahun 1987 s/d 1992
1100-00-0000-0040,Pengurus Partai Persatuan Pembangunan (PPP) Aceh Utara Tahun 1985 s/d 1990
1100-00-0000-0040,Pejabat Wakil Bendahara DPW PAN Provinsi NAD Tahun 1999 s/d 2000
1100-00-0000-0040,Ketua DPD PAN Aceh Utara Tahun 2000 s/d 2005
1100-00-0000-0040,Bendahara DPW PAN Provinsi NAD Tahun 2000 s/d 2005
1100-00-0000-0040,Keluarga Besar Pelajar Islam Indonesia (PII) Tahun 2000 s/d Sekarang
1100-00-0000-0040,Wakil Ketua MPPW PAN Aceh Tahun 2005 s/d 2015
1100-00-0000-0040,Wakil Ketua Persatuan Tarbiah Islamiyah (PERTI) Aceh Tahun 2007 s/d 2012
1100-00-0000-0040,Bendahara Pengurus Besar INSHAFUDDIN Aceh (Lembaga Ulama dan Keagamaan) Tahun 2010 s/d 2015
1100-00-0000-0040,Pembina Ikatan Siswa Kader Dakwah (ISKADA) Aceh Tahun 2011 s/d 2013
1200-00-0000-0001,Ketua DPP KNPI Tahun 2008 s/d 2011
1200-00-0000-0001,Ketua DPP GAMKI Tahun 2007 s/d 2012
1200-00-0000-0001,Bendahara DPD PIKI SUMUT Tahun 2008 s/d Sekarang
1200-00-0000-0001,Sekretaris Ikatan Alumni LEMHANAS Angkatan XLV Tahun 2010 s/d Sekarang
1200-00-0000-0002,2010-2015 Sekretaris Jenderal HKTI (Himpunan Kerukunan Tani Indonesia)
1200-00-0000-0002,2004-2010 Ketua Harian HKTI (Himpunan Kerukunan Tani Indonesia)
1200-00-0000-0002,2004-2009 Wakil Ketua Dewan Pertimbangan Kadin Indonesia
1200-00-0000-0002,"2002-2005 Penasehat, REI (Real Estate Indonesia)"
1200-00-0000-0002,2002-2005 Ketua Dewan Pakar SPI (Serikat Pengacara Indonesia)
1200-00-0000-0002,2002-2010 Penasehat FB Forki
1200-00-0000-0002,"2001-2009 Ketua Umum, Pengurus Besar Perguruan Karate Do Tako"
1200-00-0000-0002,2000-2004 Ketua PERHEPI (Perhimpunan Ahli Ekonomi Pertanian Indonesia
1200-00-0000-0002,1999-2004 Dewan Pakar CTID (Centre for Technology and Industry Development)
1200-00-0000-0002,1998-1999 Direktur IRRI-Pact (Indonesian Rapid Response Initiative Indonesia) e
1200-00-0000-0002,"1991 Anggota, Canadian Economic Assosiation"
1200-00-0000-0002,"1991-1992 Ketua Umum, Badan Koordinasi Mahasiswa Indonesia di Kanada"
1200-00-0000-0004,1991-1994: Sekretaris Pusat Studi Wanita USU
1200-00-0000-0004,1994-1997: Ketua Pusat Studi Wanita USU
1200-00-0000-0004,"1995-2000: Angg. MUI-Sumut, Pemberdayaan Perempuan & Keluarga Sakinah"
1200-00-0000-0004,2000-2002: Anggota Forum Komunikasi & Pelanggan Air Tirtanadi
1200-00-0000-0004,2002 - 2007: Ketua Forum Perempuan Peduli Air Bersih
1200-00-0000-0004,2006 - 2013: Ketua PARWAMTA Sumut
1200-00-0000-0004,"2007 - 2010: Wakil Ketua I ""Wanita Islam"" Sumut"
