id_calon,riwayat_organisasi,
1701-00-0000-0801,"DPP Partai Amanat Nasional, Badan Perkaderan,Ketua Departemen Koordinasi Instruktur,",
1701-00-0000-0801,"DPP Partai Amanat Nasional, Badan Pemberdayaan Perempuan,Anggota, 2000 - 2005",
1801-00-0000-0501,2009-2013. BIDANG PP. JAKARTA,
1801-00-0000-0501,"2010-2013, KETUA BIDANG ORGANISASI, JAKARTA",
1801-00-0000-0201,Ketua DPW PKB Lampung,
1801-00-0000-0601,OSIS SMP Ikhsaniyah Tegal Ketua 1982-1983,
1801-00-0000-0601,OSIS SMEA Negeri 1 - Tegal Ketua 1985-1986,
1801-00-0000-0601,Persatuan Wartawan Indonesia - Jakarta Anggota 1990-1996,
1801-00-0000-0601,Pelajar lslam Indonesia - Tegal Ketua Umum 1992-1997,
1801-00-0000-0601,(Gerakan Pemuda Islam Wakil Ketua 1997-2000,
1801-00-0000-0601,Yayasan Kesejahteraani Karyawan Amanah Sekretaris 1998-1999,
1801-00-0000-0601,Persatuan Supir Angkutan Kota - Jakarta Penasehat 2004,
1801-00-0000-0601,Himpunan Kerukunan Tan! Indonesia (HKTI) Ketua Komite Organisasi 2004-2009,
1801-00-0000-0601,Partai Bintang Refomasi (PBR) Ketua DPP 2006,
1801-00-0000-0601,Dewan Knpcrasi Indonesia(DEKOPFN) Wakil KetuaU mum 2009-2014,
1801-00-0000-0601,Ikatan C'endikiawan Muslim Indonesia (ICMI) Dewan Pakar 2011-2013,
1801-00-0000-0601,Alumni KB-PII Dewan Penasehat 2012-2013,
1801-00-0000-0601,ICMI Muda Ketua Dewan Penasehat 2013,
1801-00-0000-1002,KETUA DPD HANURA PROV. LAMPUNG TERPILIH HASIL MUSDALUB PERIODE 2010-2015,
1801-00-0000-1002,KETUA DPP KNPI PERIODE 2008-2011,
1801-00-0000-1002,WAKIL SEKJEN DPP GENERASI MUDA DEMOKRAT 2004-2009,
1801-00-0000-0301,"Pesantren Zamrud, Jakarta, Tahun",
1801-00-0000-0301,"Dep. Polhankam DPP PKS, Jakarta, 2005-2010",
1801-00-0000-0301,"BPDO DPP PKS, Jakarta, 2012-Sekarang",
1801-00-0000-0709,"Ketua HIPMI Propinsi Lampung, 1982 - 1985",
1801-00-0000-0709,"Dewan Pembina HIPMI Propinsi Lampung, 1986 - 2000",
1801-00-0000-0709,"Ketua HIPENSI ( Himpunan Pengusaha Soksi ) Propinsi Lampung, 1990 - 1993",
1801-00-0000-0709,"Ketua GAPENSI Kodya Bandar Lampung, 1992 - 1996",
1801-00-0000-0709,"Ketua GAPENSI Propinsi Lampung, 1992 - 2000",
1801-00-0000-0709,"Ketua KADIN Propinsi Lampung, 1997 - 2000",
1801-00-0000-0401,Bendahara BAMUSI ( 2007-2012 ),
1801-00-0000-0401,Wakil Ketua BMI ( 2005-2010 ),
1801-00-0000-0402,OSIS SMA UTAMA 2 Tanjungkarang,
1801-00-0000-0402,"Bendahara DPD PDI Perjuangan Lampung, tahun 2010- sekarang",
1801-00-0000-0402,PSMTI ( Paguyuban Sosial Marga tionghoa Indonesia ),
1801-00-0000-0801,"KADIN, Ketua Tetap, 2008 - 2013",
1801-00-0000-0801,"PPM Jakarta, Ketua Penasehat Alumni, 2008 - 2010",
1801-00-0000-0801,"PAN, Sekjen, 2005 - 2010",
1801-00-0000-0801,"PPM Jakarta, Ketua Alumni, 2006 - 2008",
1801-00-0000-0801,"KADIN, Wakil Ketua Tetap, 2004 - 2008",
1801-00-0000-0801,"PPM Jakarta, Wakil Ketua Alumni, 2004 - 2006",
1801-00-0000-0801,"DPP PAN,Kepala Bidang Logistik, 2000 - 2005",
1801-00-0000-0801,"Muhammadiyah Jakarta, Kepala Bidang Pertani dan Nelayan, 2000 - 2005",
1801-00-0000-0801,"Lampung SAI, Wakil Ketua, 1999 - 2003",
1801-00-0000-0801,"Asosiasi Komunitas Betawi,Wakil Ketua, 1997 - 2000",
1802-00-0000-0101,"2002-2010, APKASI PUSAT, PENGURUS. JAKARTA",
1802-00-0000-0101,"2002, APKASI, DEKLARATOR JAKARTA",
1802-00-0000-0101,"2002-2010, APKASI LAMPUNG, KORWIL, LAMPUNG",
1802-00-0000-0501,"2011-2015, KETUA DPP, JAKARTA",
1802-00-0000-0501,"2005-2009, KETUA BAKUMHAM DPP, JAKARTA",
1802-00-0000-0501,"2004-2009, KETUA BAKUMHAM PPK, JAKARTA",
1802-00-0000-0501,"2008-2011, KETUA UMUM DPP, JAKARTA",
1802-00-0000-0201,,
1802-00-0000-0601,,
1802-00-0000-0301,HMI Cabang Bandar Lampung,
1802-00-0000-0301,Partai Keadilan (Ketua) DPW Lampung,
1802-00-0000-0301,Partai Keadilan Sejahtera DPW Lampung,
1802-00-0000-0301,Wilda Sumagsel DPP PKS,
1802-00-0000-0703,Dewan Pengurus Senat Mahasiswa Universitas Indonesia,
1802-00-0000-0703,Ka.Lit Bang DPC PD Waykanan,
1802-00-0000-0703,Bendahara AMND Sumatera Bagian Selatan,
1802-00-0000-0703,Anggota Persatuan Insyinlur Indonesia,
1802-00-0000-0703,Wakil Ketua I DPD PD Lampung,
1802-00-0000-0703,Korwil ADPSI Wilayah Sumatera,
1802-00-0000-0401,Pendir dan Ketua Umum Gerakan Nasional.,
1802-00-0000-0401,Anti Narkoba (Granat),
1802-00-0000-0402,"Anggota GMNI, Tahun 1965",
1802-00-0000-0402,"Ketua Kesenian PPIA (Persatuan Pelajar Indonesia Australia), 1966",
1802-00-0000-0402,Anggota Board dari World Vision Indonesia (WVI),
1802-00-0000-0402,"Ketua Forum Pecinta Kawasan Menteng Lestari, 2007 - sekarang",
1802-00-0000-0402,"Ketua RT. 007 / RW. 004 Kelurahan Gondangdia, Kecamatan Menteng, Periode 2008-2011 dan 2012-2015",
1802-00-0000-0402,"Pembina Paguyuban Puja Kesuma Provinsl Lampung, periode 20121-2017",
1802-00-0000-0801,"IATMI (Ikatan Ahli Tehnik Perminyakan Indonesia),Anggota, 1982 - sekarang",
1802-00-0000-0801,"BPRS Amal Salman (Bank pengkreditan Rakyat Amal Salman),Pendiri dan Pemegang",
1802-00-0000-0801,"Bapilu Wilayah Lampung DPP PAN,Lampung,Ketua, 2010-2015",
1802-00-0000-0801,"Badan Pemuda dan olahraga DPP PAN,Jakarta,Ketua, 2005 - 2010",
1802-00-0000-0801,"Dewan Pakar ICMI,Jakarta, Wakil Sekrataris, 2005 - 2010",
1802-00-0000-0801,"Kadin Komite Tetap,Jakarta, Wakil Ketua, 2006 - 2008",
1802-00-0000-0801,"APMI (Assosiasu Pengeboran Minyak & Gas Bumi),Jakarta,Ketua, 2003 - 2008",
1802-00-0000-0801,"DPP PAN,Jakarta,Bendahara Umum, 2004 - 2005",
1802-00-0000-0801,"Pengurus Cabang Jakarta IA ITB,Bandung, 1996 - 1998",
1802-00-0000-0801,"Aktifis Kegiatan YPM Masjid Salman,Bandung,anggota / alumni, 1973 - 1980",
1901-00-0000-0501,"2009-2015, PARTAI GOLKAR, WAKIL SEKJEN, JAKARTA",
1901-00-0000-0501,"2004-2009. LPK PUSAT PARTAI GOLKAR, WAKIL KETUA, JAKARTA",
1901-00-0000-0501,KETUA PPK KOSGORO'57. 2002-2007 & 2008-2013,
1901-00-0000-0501,", KETUA DPP AMPI 1994-1999, KETUA DPP KNPI 1987-1990. JAKARTA",
1901-00-0000-0501,"2011-2013. KOMTAP KADIN INDONESIA. WAKIL KETUA, JAKARTA",
1901-00-0000-0701,"OSIS SMA Santo Yosef Pangkalpinang, tahun 1996",
1901-00-0000-0701,"Insan Muda Demokrat Indonesia, tahun 2011",
1901-00-0000-0701,"Anggota Partai Demokrat, tahun 2007 - sekarang",
1901-00-0000-0401,Wakil Bendahara DPP PDI Perjuangan,
1901-00-0000-0401,Ketua Yayasan Nafiri Karya Sejahtera,
1901-00-0000-0401,"Bendahara DPD PDI Perjuangan Prov. Bangka Belitung, th. 2001 - 2006",
1901-00-0000-0401,Bendahara DPC Kab. Bangka,
2101-00-0000-0101,"1998-1999, PERSATUAN GURU REPUBLIK INDONESIA, -, BATAM",
2101-00-0000-0101,"2000-2001, KEKERABATAN KELUARGA MELAYU, -, BATAM",
2101-00-0000-0101,"2013-2013, LEMBAGAADAT MELAYU, KETUA, BATAM",
2101-00-0000-0101,"2013-2013, PERSATUAN MUBALIQ BATAM, -, BATAM",
2101-00-0000-0401,Jectua Bid. Pernpuan & anak DPP PERADI (Pusatuon Adudicat),
2101-00-0000-0401,Jakartans IKAL Lenhanos argkatan Yo. s/d soat ini,
2101-00-0000-0401,Perdin dan Dewan pakat serikot pengocan Indonesia (SPI),
2101-00-0000-0401,Anggota PBHI,
2101-00-0000-0401,Perdin & sekjen APIK (asosiasi Pernpuan Ind. v/. Kesdilan),
2101-00-0000-0401,Ket. Bod Huicum & Advokosi IWAPI (ikatan wanita pergusah Indonesia - 2013,
2101-00-0000-0801,"Komite Tetap Industri Maritin Kamar dagang dan industri Indonesia/ KADIN indonesia,",
2101-00-0000-0801,"DPR RI, Jakarta, Wakil Ketua Komisi, 2010 - Sekarang",
2101-00-0000-0801,"DPP PAN,Jakarta,Ketua, 2010-2015",
2101-00-0000-0801,"DPP PAN,Jakarta,Bendahara Umum, 2005 - 2010",
2101-00-0000-0801,"Fraksi PAN DPR RI,Jakarta,Ketua, 2009 - 2010",
2101-00-0000-0801,"Tim Pengkajian Free Trade Zone (FTZ) Kota Batam,Ketua, 2000 - 2004",
2101-00-0000-0801,"Kamar Dagang dan Industri (KADIN) Daerah Tk. II Kota Batam,Batam,Ketua, 1999 -",
2101-00-0000-0801,"Himpunan Pengusaha Muda Indonesia (HIPMI) Batam,batam,Ketua, 1998 - 1999",
2101-00-0000-0801,"Senat Mahsiswa Universitas Andalas,Padang,Pengurus, 1980 - 1983",
3101-00-0000-0501,"2009-2014, KOORDINATOR PROVINSI DKI JAKARTA, KETUA KOORDINATOR, JAKARTA",
3101-00-0000-0501,"2009-2014, KORBI, WAKIL BENDAHARA UMUM, JAKARTA",
3101-00-0000-0501,"1990-1995, GM KOSGORO, WAKIL BENDAHARA UMUM PEGURUS PUSAT, JAKARTA",
3101-00-0000-0906,Nahdlatul UIama (NU) DKI Jakarta,
3101-00-0000-0601,Ketua Umum Gerakan Ekonomi dan Budaya Minang (GEBU MINANG) - Tahun 2005-2010,
3101-00-0000-0601,Ketua Pengda Jabar Perguruan Pencak Silat Satria Muda Indonesia (SMI) - Tahun 2004- sekarang,
3101-00-0000-0601,Yayasan Dharma Putra Kostrad - Tahun 2004-2006,
3101-00-0000-0601,Anggota MPR RI Utusan Daerah (Daerah Istimew Aceh) Tahun 1998-1999,
3101-00-0000-0601,Dewan Pembina Lembaga Kajian Gerakan Paderi (1803-1838) - Tahun 2008-sekarang,
3101-00-0000-0601,Anggota Dewan Pembina Partai Gerindra Tahun 2008 - sekarang,
3101-00-0000-0601,Dewan Pembina Lembaga Pemantau Penyelenggara TRIAS POLITIKA RI (LP2TRI) Tahun 2088 - sekarang,
3101-00-0000-0601,Ketum Gerakan Ekonomi Masyarakat dan Budaya Indonesia Raya (GEMBIRA) Tahun 2010 - sekarang,
3101-00-0000-0601,Dewan Pembina Komite Nasional Pemantau Pelaksanaan Otonomi Daerah (KNPP OTDA) Tahun 2011 - sekarang,
3101-00-0000-0301,"Ketua DPP PKS Bidang Pembangunan Umat, 2010 - sekarang",
3101-00-0000-0301,Ketua DPP PKS Bidang Pembinaan Kader. 2005 - 2010,
3101-00-0000-0301,"Ketua DPP Wilayah Dakwah IV, DPP PKS, 2000-2005",
3101-00-0000-0301,"Staff Dept.Wilayah Dakwah, DPP Partai Keadilan, 1998-1999",
3101-00-0000-0301,"PD Pemuda Islam Indonesia-Ponorogo, tahun 1983-1984",
3101-00-0000-0703,"Organisasi Istri Polisi Bhayangkari, Jakarta, sejak 2006.",
3101-00-0000-0401,2011-SEKARANG KETUA BADAN PROMOSI PAKNAVIISATA INDONESIA (BPPI),
3101-00-0000-0401,2011- SEKARANG PRESIDENT ASEANTA,
3101-00-0000-0401,2010-SEKARANG KETUA UMUM PEKHIMPUNAN HOTEL & RESTORANT INDONESIA (PHKI),
3101-00-0000-0401,2011-SEKARANG VICE PRESIDENT ASEAN HOTEL & RESTAURANT ASSOCIATION (AHKA),
3101-00-0000-0401,2010-SEKARANG KETUA BIDANG PEKENPUAN & ANAK DPD PDI PEKJUANGAN,
3101-00-0000-0401,2009-MSNJADI WAKIL KETUA UMUM KADIN INDONESIA BIDANG PAKIWISATA,
3102-00-0000-0501,"2010-2013, DPP ORMAS MKGR, BENDUM, JAKARTA",
3102-00-0000-0501,"2010-2011, DPR RI, FPG WASEKBID UMUM, JAKARTA",
3102-00-0000-0501,"2012-2014, DEPARTEMEN PARTAHAN DAN KEAMANAN, DPP PARTAI GOLKAR, ANGGOTA",
3102-00-0000-0901,"Himpunan lkatan Sarjana Psikologi DKI Jaya, 1990 1998",
3102-00-0000-0901,"Anggota Badan Kerja Sama Antar Parlemen (BKSAP) DPR RI, 2009-Sekarang",
3102-00-0000-0901,"Anggota Indonesian Forum of Parliamentarians on Population and Development (IFPRD),2010-Sekarang",
3102-00-0000-0901,"Ketua Bidang Kesehatan, Pengurus Harian Dewan Pimpinan Pusat Partai Persatuan Pambangunan (DPP PPP), s/d Sekarang.",
3102-00-0000-0601,Ketua Bidang Organisasi Persatuan Radio Siaran Swasta Nasional Indonesa (PRSSNI) 2011-2014,
3102-00-0000-0601,Ketua Umum Lembaga Kebudayaan Betawi (LKB) 2004-2007,
3102-00-0000-0601,Dewan Pakar Komunikasi - Masyarakat Melayu Baru Indonesia (MABIN) 2004-2009,
3102-00-0000-0601,Ketua Bidang Litbang - Badan Musyawarah Betawi (BAMUS BETAWI) 2003-Sekarang,
3102-00-0000-0601,Direktur Lembaga Eksekutif Betawi (LEB) 2003-2012,
3102-00-0000-0601,Ketua Umum Persatuan Radio Siaran Swasta Banten 2003-2007,
3102-00-0000-0601,"Wakil Ketua Persatuan Mahasiswa Indonesia di Amerika Serikat, Denver (PERMIAS) 1984-1987",
3102-00-0000-0301,PRESIDEN PARTAI KEADILAN DAN PRISIDEN PARTAI KEADILAN SEJAHTERA ( 1999 - 2004),
3102-00-0000-0301,KETUA MAJELIS SYURO IKATAN DAI INDONESIA (2010 - Sekarang),
3102-00-0000-0301,"WAKIL KETUA BADAN WAKAF PESANTREN MODERN DARUSSALAM, GONTOR PONOROGO 2011 - SEKARANG",
3102-00-0000-0701,WAKIL SEKJEN DPP PARTAH DEMOKRAT (2005-2006),
3102-00-0000-0701,ANG . DW . PEMBINA PARTAH DEMOKRAT (2006-2009),
3102-00-0000-0701,ANG . DW . PEMBINA PARTAH DEMOKRAT (2009-2014),
3102-00-0000-0701,PENASEHAT DEKOPIN (2009-2014),
3102-00-0000-0701,DW. PERTIMBANEAW KADIN INDONESIA (2010-2015),
3102-00-0000-0701,DW. PENASEHAT ASITA DKI (2012-2016),
3102-00-0000-0401,Sekjen DPP Banteng Muda Indonesia (2000-2004),
3102-00-0000-0401,Plh Ketua DPN Banteng Muda Indonesia (2004-2006),
3102-00-0000-0401,Sekretaris DPD PDI Perjuangan Prov DKI Jakarta (2006-2010),
3102-00-0000-0401,Keuta DPP Banteng Muda Indonesia (2006-2010),
3102-00-0000-0401,Wesekjen DPP PDI Perjuangan Bidang Internal (2010-skrg),
3102-00-0000-0403,"KETUA UMUM DPN REPDEM, 2011-2016",
3102-00-0000-0403,"FRONT PERAVANGAN PEMUDA INDONSIA, JAKARTA, 2000",
3102-00-0000-0403,"FRONT AKSI MAHASISWA UNTUK PEFORMASL-DEMOKRASL, 1998",
3103-00-0000-0101,Presiden MOCI (Mpower Owners Club Inonesia) Tahun 2009-2012,
3103-00-0000-0101,Presiden FOCI ( Ferrari Owners Club Indonesia) Tahun 2012- Sekarang,
3103-00-0000-0101,Bendahara DPW Parati NasDem DKI Jakarta Tahun 2013-Sekarang,
3103-00-0000-0501,"2009-2014, BIDANG PARIWISATA, SENI DAN BUDAYA, DEWAN PIMPINAN NASIONAL SOKSI, JAKARTA",
3103-00-0000-0501,"2012-2017, PERSATUAN ARTIS PENYANY PENCIPTA LAGU (PAPPRI), KETUA UMUM, JAKARTA",
3103-00-0000-0501,"2008-2013, YAYASAN ANUGERAH MUSIK INDONESIA, KETUA UMUM, JAKARTA",
3103-00-0000-0901,Ketua HIPMI kab. Pandeglang 1990-1995,
3103-00-0000-0901,Ketua KADIN Kab. Pandeglang 1990-1995,
3103-00-0000-0901,Bendahara GAPENSI Kab. Pandeglang 1990-1995,
3103-00-0000-0901,Ketua Bidang Dana KADIN Jawa Barat 1995-2000,
3103-00-0000-0901,Ketua HIPMI jawa Barat 1995-2000,
3103-00-0000-0901,Ketua PERSIPAN 2000-2010,
3103-00-0000-0901,ketua KONI Kab. Pandeglang 2000-2010,
3103-00-0000-0901,Ketua majelis Pakar PPP Bandeglang 2000-2010,
3103-00-0000-0901,Ketua DPW PPP Banten 2006-2011,
3103-00-0000-0901,Ketua DPP PPP 2011- Sekarang,
3103-00-0000-0601,"Ketua Umam Tunas Indonesia Raya, 2008-sekarang",
3103-00-0000-0601,"Partai Gerakan Indonesia Raya (GERINDRA), 2010-sekarang",
3103-00-0000-0302,"KETUA UMUM PERSATUAN ANGKAT BESI, BINARAGA DAN ANGKAT BERAT SELURUH INDONESIA (PABBSI). SAMPAl SAAT INI",
3103-00-0000-0302,"KETUA UMUM PERHIMPUNAN DONOR DARAH INDONESIA (PDDI), SAMPAl SAAT INI",
3103-00-0000-0302,"ANGGOTA PARTAI KEADILAN SEJAHTERA DKI.JAKARTA (PKS),SAMPAl SAAT INI",
3103-00-0000-0401,Ketua Umum Punguan Simbolon Dohot Boruna Se-Indonesia Tahun 2007 -sekarang,
3103-00-0000-0401,Ketua Bidang Sumber Daya dan Dana DPP Perjuangan tahun 2010 - sekarang,
3103-00-0000-0402,MEGA CENTER (2003-2006),
3103-00-0000-0402,MEGAWATI INSTITUTE (2008-2013),
3103-00-0000-0402,Ketva Peportemen Hubungun International DPP PDI-Perjuangan (2005-2010),
3103-00-0000-0402,Wakil Ketua Bdan Pemberdayaan Ekonomi Pauyess DPP PDI Perjuangan (2010-2015),
3103-00-0000-0407,"BPP Himpunan Pengusaha Muda Indonesia, 2012",
3103-00-0000-0407,"Asosiasi Pemilik Lapangan Golf Indonesia, 2009",
3103-00-0000-0407,"BPD Palang Merah Indonesia Banten, 2012",
3103-00-0000-0407,"DPD Real Estate Indonesia DKI Jakarta, 2011",
3103-00-0000-0407,"DPD Taruna Merah Putih DKI Jakarta, 2012",
3201-00-0000-0502,,
3201-00-0000-0601,"Sekretaris Pelajar Islam Indonesia (PII) Jawa Barat, 1975 - 1980",
3201-00-0000-0601,"Sekretaris Lembaga Dakwah HMI Kota Bandung, 1977",
3201-00-0000-0601,"Wakil Ketua Umum Senat Mahasiswa Fakultas Pertanian Universitas Padjadjaran (UNPAD), 1979",
3201-00-0000-0601,"Redaktur Majalah Kampus Faperta UNPAD, 1978",
3201-00-0000-0601,Ketua Badan Musyawarah Perguruan Swasta (BMPS) Jawa Barat periode 2012 - 2017,
3201-00-0000-0601,"Ketua Dewan Penasihat Badan Musyawarah Perguruan Swasta (BMPS) Kota Bandung, 2011-2016",
3201-00-0000-0601,"Wakil Ketua Dewan Pendidikan (DPKB) Kota Bandung, 2010-2015",
3201-00-0000-0601,"Anggota Dewan Pakar Majelis Ekonomi Syariah ( MES) Jawa Barat, 2010-2017",
3201-00-0000-0601,"Sekretaris ICM1 Jawa Barat, periode 2006 - 2011 dan periode 2011-2016",
3201-00-0000-0601,"Ketua Majelis Ulama Indonesia (MUI) Jawa Barat, 2000 - 2005",
3201-00-0000-0601,"Wakil Direktur Pusat Da'wah Islam/Islamic Centre, PEMPROV Jawa Barat, 1998 - 2002",
3201-00-0000-0601,Wakil Ketua Dewan Masjid Indonesia (DMI) Jawa Barat (2004-2008) dan Badan Pembina DMI Jawa Barat (2008-2013),
3201-00-0000-0601,"Bendahara BAZIS Jawa Barat, 1998 - 2003 dan Badan Pengawas BAZ JAWA BARAT 2009-2014",
3201-00-0000-0601,Pendiri dan Ketua Majelis Syuro Aliansi Pergerakan Islam (API) Jawa Barat (mengkordinasikan 30 OKP dan LSM Islam),
3201-00-0000-0601,Anggota Badan Akreditasi Sekolah dan Madrasah Propinsi Jawa Barat.(2007-2012),
3201-00-0000-0601,Dewan Penasehat Himpunan Pendidik Anak Usia Dini (H1MPAUD) JABAR. 2007-2012,
3201-00-0000-0601,"Ketua Alumni Brigade Pelajar Islam Indonesia (PII) Jawa Barat, 1998 - 2003",
3201-00-0000-0601,Sekretaris Dewan Pakar Paguyuban Alumni PII Jawa Barat 2009-2014,
3201-00-0000-0601,"Sekretaris Jenderal Komite Peduli Reformasi (Kompres) Jawa Barat, 2000-2005",
3201-00-0000-0601,Wakil Ketua Dewan Pendidikan Kota Bandung (2011-2015),
3201-00-0000-0601,Ketua Dewan penasihat Badan Musyawarah perguruan Swasta Kota Bandung 2011-2015,
3201-00-0000-0601,"Pendiri dan Ketua Dewan pembina Bandung Maksiat Watch (BMW) Kota Bandung, 2006 sampai sekarang",
3201-00-0000-1001,Ikatan Jurnalis Televisi Indonesia (2002).,
3201-00-0000-0303,"Kaukus Perempuan Parlemen RI, 2009-sekarang",
3201-00-0000-0303,"Forum Parlemen Indonesia untuk Kependudukan dan Pembangunan, 2009-sekarang",
3201-00-0000-0303,"Wanita Persatuan Umat Islam (PUI), 2010-sekarang",
3201-00-0000-0303,"Partai Keadilan Sejahtera, 2002-sekarang",
3201-00-0000-0303,"Partai Keadilan, 1998-2002",
3201-00-0000-0701,Koordinator Bidang Kemasyarakatan Senat Mahasiswa Universitas Merdeka Malang (1987 - 1988),
3201-00-0000-0701,Koordinator Nasional Logistik Pemilu (2004),
3201-00-0000-0701,Juru Kampanye Jawa Barat Partai Demokrat (2004),
3201-00-0000-0701,Tim Kampanye Gabungan SBY - JK DKI (2004),
3201-00-0000-0701,Sekretaris Pribadi Ketua Umum Partai Demokrat (200s - 2010),
3201-00-0000-0701,Koordinator Wilayah Jawa Barat Partai Demokrat (2005 - sekarang),
3201-00-0000-0701,Sekretaris Panitia Qurban DPP Partai Demokrat (2006),
3201-00-0000-0701,Sekretaris Panitia Qurban DPP Partai Demokrat (2007),
3201-00-0000-0701,Sekretaris Panitia Qurban DPP Partai Demokrat (2008),
3201-00-0000-0701,Tim Sukses Walikota Bandung (2008),
3201-00-0000-0701,Ketua Seksi Perlengkapan PKKPD (2008),
3201-00-0000-0701,Tim Sukses SBY - Budiono (2009) m.Ketua Panitia Qurban DPP Parlai Demokrat (2009),
3201-00-0000-0701,Seketaris Fraksi Partai Demokrat DPR RI (2009 -2010),
3201-00-0000-0701,Ketua Seksi Sekretariat Kongres II Partai Demokat (2010),
3201-00-0000-0701,Koordinator Bidang Keseketariatan & Umum Silatnas Partai Demokrat (2010),
3201-00-0000-0701,Sekretaris Panitia Qurban DPP Partai Dernokrat (2010),
3201-00-0000-0701,Wakil Ketua III Fraksi Partai Demokat DPR RI (2010 -2012),
3201-00-0000-0701,Ketua Dewan Pengawas Koperasi Bina Usaha Warga Cimahi Mandiri (2010 - Sekarang),
3201-00-0000-0701,Ketua Seksi Seketariat Silatnas Partai Demokrat (201 1),
3201-00-0000-0701,Tim Sukses Walikota Cimahi (2012),
3201-00-0000-0701,Wakil Sekretaris IV Fraksi Partai Demokrat MPR RI (2012 -2014),
3201-00-0000-0701,Tim Anggaran MPR RI Fraksi Partai Demokrat (2012 - sekarang),
3201-00-0000-0701,Tim Sukses Gubemur Jawa Barat (2013),
3201-00-0000-0401,1989 - 1994: WAKIL KETUA DPC PDI KOTA BANDUNG.,
3201-00-0000-0401,1994 - 2000: SEKRETARIS DPC PDI / PDI PERJUANGAN KOTA BANDUNG.,
3201-00-0000-0401,2000 - 2005: WAKIL SEKRETARIS DPC PDI / PDI PERJUANGAN JAWA BARAT.,
3201-00-0000-0401,2005 - 2010: WAKIL SEKRETARIS DPC PDI / PDI PERJUANGAN JAWA BARAT.,
3201-00-0000-0401,2010 - 2015: WAKIL SEKRETARIS DPC PDI / PDI PERJUANGAN JAWA BARAT.,
3201-00-0000-0401,2004 - SEKARANG: KETUA DPP BANTENG MUDA INDONESIA (BMI).,
3201-00-0000-0405,PEI PERSATUAN GDF INDO 2011 -2015,
3201-00-0000-0405,TARUNA MENAH PUTIH 2011-2015,
3202-00-0000-0501,"2004-2009. PARTAI GOLKAR BID HUBLU&HANKAM, KETUA DPP, JAKARTA",
3202-00-0000-0501,"2006-2010, PPIJ. WAKIL KETUA, JAKARTA",
3202-00-0000-0501,"2006-2010, PAGUYUBAN PASUNDAN. ANGGOTA DEWAN PENASEHAT. JAKARTA",
3202-00-0000-0501,"2012-2017. WANT1M DPP MDI. ANGGOTA, JAKARTA",
3202-00-0000-0501,2011-2015. PARTAI GOLKAR BID PERTAHANAN DAN KEAMANAN. KETUA DPP. JAKARTA,
3202-00-0000-0502,"2000-2004. DPP GOLKAR. DIREKTUR EKSEKUTIVE LEMBAGA PEMENANGAN PEMILU, JAKARTA",
3202-00-0000-0502,"1998-2003. SOKSI. KETUA DEPINAS, JAKARTA",
3202-00-0000-0502,"2003-2008. SOKSI, KETUA DEPINAS. JAKARTA",
3202-00-0000-0502,"1988-1993, DPP PARTAI GOLKAR, WAKIL KETUA, JAWA BARAT",
3202-00-0000-0502,"2004-2009. DPP PARTAI GOLKAR. PENGURUS, -",
3202-00-0000-0202,Ketua MWC NU Solokan Jeruk 1998-2002,
3202-00-0000-0202,Bendahara Umum PCNU Kab. Bandung 2004-2009,
3202-00-0000-0202,Ketua PW LPNU Jawa barat 2005-2010,
3202-00-0000-0202,Wakik Bendahara DPW PKB Jawa Barat 2005-2010,
3202-00-0000-0202,Bendahara Umum DPW PKB Jawa Barat 2008-2011,
3202-00-0000-0202,Ketua DPC PKB Kab. Bandung 2010 - 2015,
3202-00-0000-0601,,
3202-00-0000-1001,,
3202-00-0000-0301,Pelajar Islam Indonesia (PII 1979 - 1980),
3202-00-0000-0301,Wk Ketua Umum DPW Partai Keadilan (1999-2000),
3202-00-0000-0301,Ketua Umum DPW Partai Keadilan (2000 - 2003),
3202-00-0000-0301,Ketua Umum DPW Partai Keadilan Sejahtera (2003 - 2004),
3202-00-0000-0301,Ketua DPP PKS Wilda Banjabar (2007 - Sekarang),
3202-00-0000-0701,Anggota Partai Demokrat,
3202-00-0000-0701,Wakil Sekjen DPP PAN Bidang Seni Budaya dan Pariwisata,
3202-00-0000-0701,Wakil Ketua Umum Persatuan Artis Film Indonesia (1997-1999),
3202-00-0000-0701,Ketua Departemen Seni Budaya PPK Kosgoro (1993 -1997),
3202-00-0000-0701,Ketua Yayasan Simpay Wargi Urang,
3202-00-0000-0401,Anggota Ikarn Sarjau Kemvuitri Indonesia,
3202-00-0000-0401,Ketua Dewan Syura 1 katan Jaweag Ahlul Bati Indonesia (11ABI),
3202-00-0000-0404,Riwayat Partar: -Ketua DPC PDI Perjuangan Kabupaten Bandung (4 periode) Periode: 2010-2015 / 2005-2010 / 2000-2005 / 1996-2000.,
3202-00-0000-0404,Riwayat Partar: - Wakil Ketua DPC PDI Kabupaten Bandung Periode: 1994-1996.,
3202-00-0000-0404,"Riwayat Partar: - Korcam PDI Kec.Ibun, Kabupaten Bandung (2 periode) Periode: 1987-1994 / 1987-1982",
3202-00-0000-0404,"Riwayat Partar: - Korcam PDI Kec.Majalaya, Kabupaten Bandung Periode: 1977-1982",
3202-00-0000-0404,"Riwayat Partar: - Kordes PDI, Desa Rancakasumba, Kec.Majalaya, Kabupaten Bandung Periode: 1974-1977",
