id,text,url_small,width_small,height_small,url_medium,width_medium,height_medium,url_large,width_large,height_large
018,Mau Perubahan? Pilih!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-18-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-18-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-18-lg.png,800,800
019,Indonesia Choose!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-19-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-19-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-19-lg.png,800,800
020,Say Your Voice!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-20-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-20-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-20-lg.png,800,800
021,Pilih Capres Idamanmu,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-21-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-21-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-21-lg.png,800,800
022,Demokrasi Dimulai Dari Sini!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-22-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-22-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-22-lg.png,800,800
023,Love to Vote,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-23-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-23-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-23-lg.png,800,800
024,Kami Butuh Suaramu!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-24-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-24-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-24-lg.png,800,800
025,Yang Gaul Yang Coblos,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-25-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-25-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-25-lg.png,800,800
026,Love to Vote Vote for Love,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-26-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-26-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-26-lg.png,800,800
027,Pilih Dengan Hati,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-27-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-27-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-27-lg.png,800,800
