id,nama_calon,nama_wakil_calon,qwords
160,"TOTO SUCARTONO, SE",DRS. H. RASTA WIGUNA,"info pasangan calon TOTO SUCARTONO, SE DRS. H. RASTA WIGUNA"
1173,Hj. YENNITA FITRIANI. MH,"HERLIAN MUCHRIM, ST","info pasangan calon Hj. YENNITA FITRIANI. MH HERLIAN MUCHRIM, ST"
901,"H. KHAYUB MOHAMAD LUTFI, SE","H. AKHMAD BAKHRUN, S.Sos, MH","info pasangan calon H. KHAYUB MOHAMAD LUTFI, SE H. AKHMAD BAKHRUN, S.Sos, MH"
902,"Ir.H. MOHAMMAD YAHYA FUAD, SE",KH. YAZID MAHFUDZ,"info pasangan calon Ir.H. MOHAMMAD YAHYA FUAD, SE KH. YAZID MAHFUDZ"
907,"H. BAMBANG WIDODO, SE, MM","H. SUNARTO, ST","info pasangan calon H. BAMBANG WIDODO, SE, MM H. SUNARTO, ST"
827,HARYANTI,H. MASYKURI DRS MM,info pasangan calon HARYANTI H. MASYKURI DRS MM
1010,"ARI PURNOMO ADI, DR",ARIFIN,"info pasangan calon ARI PURNOMO ADI, DR ARIFIN"
588,"DRS. CELSIUS WATAE, MH","MUH. MARKUM, SH","info pasangan calon DRS. CELSIUS WATAE, MH MUH. MARKUM, SH"
591,"BENNY SWENY, S.Sos",Ust. H. NURSALIM,"info pasangan calon BENNY SWENY, S.Sos Ust. H. NURSALIM"
597,"DR. YUSUF WALLY, SE, MM","SARMINANTO, SH, MM","info pasangan calon DR. YUSUF WALLY, SE, MM SARMINANTO, SH, MM"
585,"JANSEN MONIM, ST, MM.","IGNASIUS HASIM, S.Ag","info pasangan calon JANSEN MONIM, ST, MM. IGNASIUS HASIM, S.Ag"
953,dr. Hj. WIDYA KANDI SUSANTI MM,MUHAMAD HILMI,info pasangan calon dr. Hj. WIDYA KANDI SUSANTI MM MUHAMAD HILMI
955,"dr. MIRNA ANNISA, M.Si",MASRUR MASYKUR,"info pasangan calon dr. MIRNA ANNISA, M.Si MASRUR MASYKUR"
737,"BAMBANG SUGIANTO, SH.MH","ARBI, S.IP","info pasangan calon BAMBANG SUGIANTO, SH.MH ARBI, S.IP"
766,Dr.Ir.HIDAYATTULLAH SJAHID MM,"NETI HERAWATI, S.Sos","info pasangan calon Dr.Ir.HIDAYATTULLAH SJAHID MM NETI HERAWATI, S.Sos"
814,Ir. FIRDAUS JAILANI,BAHRUDIN,info pasangan calon Ir. FIRDAUS JAILANI BAHRUDIN
812,Abdul Haris.SH,Wann Zuhendra,info pasangan calon Abdul Haris.SH Wann Zuhendra
813,Azhar,Andik Mulyawarman,info pasangan calon Azhar Andik Mulyawarman
450,dr. Johan Donga,"Muin Sogalrey, SE","info pasangan calon dr. Johan Donga Muin Sogalrey, SE"
451,"Welhelm Daniel Kurnala, SH","Asis Goin, S.IP","info pasangan calon Welhelm Daniel Kurnala, SH Asis Goin, S.IP"
1137,TENGKU MUSTAFA,AMYURLIS alias UCOK,info pasangan calon TENGKU MUSTAFA AMYURLIS alias UCOK
1138,"Drs. H. IRWAN, M.Si",Drs. H. SAID HASYIM,"info pasangan calon Drs. H. IRWAN, M.Si Drs. H. SAID HASYIM"
251,"H. SAIFUL ARIF, S.H","H. M. JUNAEDI FAISAL, S.E","info pasangan calon H. SAIFUL ARIF, S.H H. M. JUNAEDI FAISAL, S.E"
249,MUH. BASLI ALI,"DR. H. ZAINUDDIN, S.H., M.H","info pasangan calon MUH. BASLI ALI DR. H. ZAINUDDIN, S.H., M.H"
819,"AJI SUMARNO, S.STP., M.M","ABD. GANI, S.Pd.I., M.PD. I","info pasangan calon AJI SUMARNO, S.STP., M.M ABD. GANI, S.Pd.I., M.PD. I"
499,Hendrata Thes,Zulfahri Abdullah,info pasangan calon Hendrata Thes Zulfahri Abdullah
502,Ir. Rusmin Latara,Ir. H. M. Saleh Marasabessy,info pasangan calon Ir. Rusmin Latara Ir. H. M. Saleh Marasabessy
503,"H. Safi Pauwah, SH",Ir. H. Farouk Bahanan,"info pasangan calon H. Safi Pauwah, SH Ir. H. Farouk Bahanan"
180,"Martin Rantan,SH",Drs. Suprapto,"info pasangan calon Martin Rantan,SH Drs. Suprapto"
182,"Ir. Aswin Fuad, M.M., M.T",Drs. Suwignjo,"info pasangan calon Ir. Aswin Fuad, M.M., M.T Drs. Suwignjo"
465,"H. Boyman Harun, S.H",Drs. H. gurdani Achmad,"info pasangan calon H. Boyman Harun, S.H Drs. H. gurdani Achmad"
630,"dr. Hj. FAIDA, MMR",Drs. KH. A. MUQIT ARIEF,"info pasangan calon dr. Hj. FAIDA, MMR Drs. KH. A. MUQIT ARIEF"
386,"H. Sugiarto, S.H","DR. Dwi Koryanto, SP.BS","info pasangan calon H. Sugiarto, S.H DR. Dwi Koryanto, SP.BS"
848,"I Putu Artha, SE., MM","I Made Kembang Hartawan, SE., MM","info pasangan calon I Putu Artha, SE., MM I Made Kembang Hartawan, SE., MM"
849,"I Komang Sinatra, SH",I Gusti Agung Ketut Sudayanasa,"info pasangan calon I Komang Sinatra, SH I Gusti Agung Ketut Sudayanasa"
686,Freddy Thie,Mohamad Lakotany,info pasangan calon Freddy Thie Mohamad Lakotany
1112,"Drs. Hasan Achmad, M.Si",Amos Uruw,"info pasangan calon Drs. Hasan Achmad, M.Si Amos Uruw"
478,"A. M. Nasir, SH","Antonius L. Ain Pamero, SH","info pasangan calon A. M. Nasir, SH Antonius L. Ain Pamero, SH"
469,"Fransiskus Diaan, S.H","Andi Aswad, S.H","info pasangan calon Fransiskus Diaan, S.H Andi Aswad, S.H"
262,"I Gusti Ayu Mas Sumantri, S.sos, M.Ap","I Wayan Artha Dipa, SH, MH","info pasangan calon I Gusti Ayu Mas Sumantri, S.sos, M.Ap I Wayan Artha Dipa, SH, MH"
867,"I Wayan Sudirta, SH","Ni Made Sumiati, SH","info pasangan calon I Wayan Sudirta, SH Ni Made Sumiati, SH"
620,"I Made Sukerana, SH",I Komang Kisid,"info pasangan calon I Made Sukerana, SH I Komang Kisid"
40,"NANAN TARYANA, S.Pd","ASEP AGUSTIAN, SH., MH.","info pasangan calon NANAN TARYANA, S.Pd ASEP AGUSTIAN, SH., MH."
