id,link,title,time,date
104,http://www.dpr.go.id/agenda/detail/id/7434,RDP Komisi II DPR RI dengan Komisi Aparatur Sipil Negara ( KASN),10:00,2015-02-04
105,http://www.dpr.go.id/agenda/detail/id/7435,"Badan Anggaran DPR RI - Rapat Panja Asumsi Dasar, Pendapatan, Defisit dan Pembiayaan dengan Pemerintah",10:00,2015-02-04
106,http://www.dpr.go.id/agenda/detail/id/7436,"RDPU Komisi III dengan Hasto Kristyanto, dkk",12:00,2015-02-04
107,http://www.dpr.go.id/agenda/detail/id/7395,Komisi IX Raker dgn Menkes RI,13:00,2015-02-04
108,http://www.dpr.go.id/agenda/detail/id/7333,Raker Komisi II DPR RI dengan Sekretaris Kabinet (APBN-P),14:00,2015-02-04
109,http://www.dpr.go.id/agenda/detail/id/7402,Rapat Dengar Pendapat Komisi VI DPR RI dengan Kepala BPKS Sabang,14:00,2015-02-04
110,http://www.dpr.go.id/agenda/detail/id/7408,Rapat Dengar Pendapat Komisi I DPR RI dengan Gubernur Lemhannas dan Sekjen Wantannas.,14:00,2015-02-04
111,http://www.dpr.go.id/agenda/detail/id/7382,RDP KOMISI V DPR RI dgn DIRJEN CIPTA KARYA KEMEN PU DAN PERA,16:00,2015-02-04
112,http://www.dpr.go.id/agenda/detail/id/7414,RDPU Komisi III,17:00,2015-02-04
113,http://www.dpr.go.id/agenda/detail/id/7409,Rapat Dengar Pendapat Komisi I DPR RI dengan Sekretaris Jenderal Kementerian Luar Negeri RI,18:00,2015-02-04
114,http://www.dpr.go.id/agenda/detail/id/7437,Rapat Kerja Komisi VI DPR RI dengan Menteri perdagangan RI,19:30,2015-02-04
115,http://www.dpr.go.id/agenda/detail/id/7383,RDP KOMISI V DPR RI dgn KA BPWS,09:00,2015-02-05
116,http://www.dpr.go.id/agenda/detail/id/7301,"Rapat Dengar Pendapat Komisi VIII DPR RI dengan Sekjen, Dirjen Rehsos, dan Dirjen Linjamsos Kementerian Sosial RI.",10:00,2015-02-05
