id,jenis_wilayah,nama_wilayah,jumlah_ppk,jumlah_pps,jumlah_tps,jumlah_kpps
341,PROPINSI,JAMBI,138,1562,7101,49707
342,KABUPATEN,KAB. BELU,60,243,357,2499
343,KABUPATEN,KAB. MERAUKE,100,504,445,3115
344,KABUPATEN,KAB. ASMAT,19,221,270,0
345,KABUPATEN,KAB. TELUK WONDAMA,13,76,0,0
346,KABUPATEN,KAB. BANTUL,17,75,1768,12376
347,PROPINSI,SUMATERA SELATAN,20,312,1528,10696
348,KOTA,KOTA MEDAN,105,453,3100,0
349,KABUPATEN,KAB. PAHUWATO,13,104,228,0
350,KOTA,KOTA PEKALONGAN,4,27,551,3857
351,KABUPATEN,KAB. BONE BOLANGO,90,495,262,0
352,KABUPATEN,KAB. OGAN KOMERING ULU,12,157,716,5012
353,KABUPATEN,KAB. PESAWARAN,55,432,925,6475
354,KOTA,KOTA PALU,40,135,621,4347
355,KABUPATEN,KAB. SLEMAN,17,86,1969,1969
356,KABUPATEN,KAB. TANA TORAJA,95,477,530,3710
357,KABUPATEN,KAB. OGAN ILIR,80,723,817,7353
358,KABUPATEN,KAB. ROKAN HULU,80,435,963,6741
359,KABUPATEN,KAB. KUTAI KARTANEGARA,18,237,0,0
360,KABUPATEN,KAB. MUSI RAWAS,70,199,842,5894
361,PROPINSI,SUMATERA SELATAN,100,936,1528,10696
362,KABUPATEN,KAB. DEMAK,14,249,1757,12299
363,KABUPATEN,KAB. RAJA AMPAT,24,121,152,0
364,KABUPATEN,KAB. ASAHAN,125,612,1881,13167
365,KABUPATEN,KAB. TOBA SAMOSIR,80,244,470,3290
366,KABUPATEN,KAB. POSO,19,0,0,0
367,KABUPATEN,KAB. SIJUNJUNG,8,61,495,3465
368,KABUPATEN,KAB. BADUNG,30,186,574,4018
369,KABUPATEN,KAB. DHARMASRAYA,11,52,0,0
370,KABUPATEN,KAB. AGAM,80,246,1134,7938
371,PROPINSI,SUMATERA SELATAN,20,312,1528,10696
372,PROPINSI,SUMATERA SELATAN,20,312,1528,10696
373,PROPINSI,SUMATERA SELATAN,100,936,1528,10696
