periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
1,7,Partai Demokrat,calon anggota legislatif,"H. TEUKU RIEFKY HARSYA B.Sc, MT",1101-00-0000-0701,Rp,,110000000,000,25000000,,135000000,
1,7,Partai Demokrat,calon anggota legislatif,"Ir. NOVA IRIANSYAH, MT",1101-00-0000-0702,Rp,,156900000,000,85700000,,242600000,
1,7,Partai Demokrat,calon anggota legislatif,Ir. Hj. NURSHANTI ADNAN,1101-00-0000-0703,Rp,,,000,,,0,
1,7,Partai Demokrat,calon anggota legislatif,M. ALI YAKOB,1101-00-0000-0704,Rp,,189970000,000,120000000,,309970000,
1,7,Partai Demokrat,calon anggota legislatif,"drg. TJUT FADLUNA PARAMITA,Sp.Ort",1101-00-0000-0705,Rp,,60000000,000,,,60000000,
1,7,Partai Demokrat,calon anggota legislatif,"H. IBNU RUSDI, SE",1101-00-0000-0706,Rp,,589238000,000,130000000,,719238000,
1,7,Partai Demokrat,calon anggota legislatif,"Ir. Hj. SRI REZEKI TAKARINA, M.Si",1101-00-0000-0707,Rp,,0,000,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"MUSLIM, SHI, MM",1102-00-0000-0701,Rp,,285750000,000,190000000,,475750000,
1,7,Partai Demokrat,calon anggota legislatif,"TEUKU IRWAN, SE",1102-00-0000-0702,Rp,,117270000,000,494900000,,612170000,
1,7,Partai Demokrat,calon anggota legislatif,MIRNAWATI,1102-00-0000-0703,Rp,,200750000,000,170000000,,370750000,
1,7,Partai Demokrat,calon anggota legislatif,MIRWAN AMIR,1102-00-0000-0704,Rp,,302700000,000,474000000,,776700000,
1,7,Partai Demokrat,calon anggota legislatif,"YUDHA JOHANSYAH, SH",1102-00-0000-0705,Rp,,213250000,,220000000,,433250000,
1,7,Partai Demokrat,calon anggota legislatif,"HJ. NAIMAH HASAN, Dra, MA",1102-00-0000-0706,Rp,,29548000,,10000000,,39548000,
1,7,Partai Demokrat,calon anggota legislatif,"Ir. JERO WACIK, SE",5101-00-0000-0701,Rp,,65000000,,35000000,,100000000,
1,7,Partai Demokrat,calon anggota legislatif,"Drs. I WAYAN SUGIANA, MM",5101-00-0000-0702,Rp,,172800000,,90000000,,262800000,
1,7,Partai Demokrat,calon anggota legislatif,"TUTIK KUSUMA WARDHANI, SE, MM, M.Kes",5101-00-0000-0703,Rp,,52940000,,79400000,,132340000,
1,7,Partai Demokrat,calon anggota legislatif,PUTU SUPADMA RUDANA,5101-00-0000-0704,Rp,,146250000,,115000000,,261250000,
1,7,Partai Demokrat,calon anggota legislatif,I NENGAH SUTISNA,5101-00-0000-0705,Rp,,92000000,,,,92000000,
1,7,Partai Demokrat,calon anggota legislatif,RENANDA LAKSITA,5101-00-0000-0706,Rp,,8500000,,20000000,,28500000,
1,7,Partai Demokrat,calon anggota legislatif,I PUTU SUDIARTANA,5101-00-0000-0707,Rp,,36800000,,40000000,,76800000,
1,7,Partai Demokrat,calon anggota legislatif,"PUTU TAMAN INDRAYANI, SH",5101-00-0000-0708,Rp,,54555000,,0,,54555000,
1,7,Partai Demokrat,calon anggota legislatif,"I GUSTI PUTU EKA MULYAWAN WIRA SENAPATI, SE, Ak",5101-00-0000-0709,Rp,,176000000,,0,,176000000,
1,7,Partai Demokrat,calon anggota legislatif,EKO WIJAYA,1901-00-0000-0701,Rp,,419250000,,95000000,,514250000,
1,7,Partai Demokrat,calon anggota legislatif,H. PAIMAN,1901-00-0000-0702,Rp,,117250000,,105050000,,222300000,
1,7,Partai Demokrat,calon anggota legislatif,"Ir. KARTINI TILAWATI, M.Hum",1901-00-0000-0703,Rp,,16600000,,16000000,,32600000,
1,7,Partai Demokrat,calon anggota legislatif,"Hj. ITI OCTAVIA JAYABAYA, SE, MM",3601-00-0000-0701,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,RATU SITI ROMLAH,3601-00-0000-0702,Rp,,271400000,,125000000,,396400000,
1,7,Partai Demokrat,calon anggota legislatif,"H. TAUFIQUROKHMAN, S.Sos, M.Si",3601-00-0000-0703,Rp,,117250000,,3000000,,120250000,
1,7,Partai Demokrat,calon anggota legislatif,SULAIMAN HAIKAL,3601-00-0000-0704,Rp,,24950000,,,,24950000,
1,7,Partai Demokrat,calon anggota legislatif,"VIVI SUMANTRI JAYABAYA,S.Sos",3601-00-0000-0705,Rp,,178000000,,35000000,,213000000,
1,7,Partai Demokrat,calon anggota legislatif,"H. MUHAMMAD HARIS, SE",3601-00-0000-0706,Rp,,249025000,,117000000,,366025000,
1,7,Partai Demokrat,calon anggota legislatif,"AHMAD RIFAI SUFTIADI, SH",3602-00-0000-0701,Rp,,92000000,,80000000,,172000000,
1,7,Partai Demokrat,calon anggota legislatif,H. A'ENG HAERUDIN,3602-00-0000-0702,Rp,,193400000,,0,,193400000,
1,7,Partai Demokrat,calon anggota legislatif,Hj. UTARI SOEKANTO,3602-00-0000-0703,Rp,,136250000,,155000000,,291250000,
1,7,Partai Demokrat,calon anggota legislatif,Drs. H. MACHYAR b MUSA,3602-00-0000-0704,Rp,,140780000,,326000000,,466780000,
1,7,Partai Demokrat,calon anggota legislatif,"SON HAJI UJAJI, M.Si",3602-00-0000-0705,Rp,,332700000,,115000000,,447700000,
1,7,Partai Demokrat,calon anggota legislatif,CEMINIA TINARI T,3602-00-0000-0706,Rp,,105000000,,0,,105000000,
1,7,Partai Demokrat,calon anggota legislatif,HARTANTO EDHIE WIBOWO,3603-00-0000-0701,Rp,,301750000,,81000000,,382750000,
1,7,Partai Demokrat,calon anggota legislatif,"Drs. H. WAHIDIN HALIM, M.Si",3603-00-0000-0702,Rp,,600000000,,,,600000000,
1,7,Partai Demokrat,calon anggota legislatif,"Hj. HIMMATUL ALYAH SETIAWATY, SH, MH",3603-00-0000-0703,Rp,,203000000,,45000000,,248000000,
1,7,Partai Demokrat,calon anggota legislatif,FERRARI ROEMAWI,3603-00-0000-0704,Rp,,440500000,,,,440500000,
1,7,Partai Demokrat,calon anggota legislatif,HARLIATI ASTERLIN ESTININGSIH,3603-00-0000-0705,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"DR. Dr. H. SARDJANA, Sp.OG-K,SH",3603-00-0000-0706,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"TATYANA S. SUTARA, SE, M.Si",3603-00-0000-0707,Rp,,75957450,,16585000,,92542450,
1,7,Partai Demokrat,calon anggota legislatif,"HARYONO EDI HERMAWAN ST, SE, MM",3603-00-0000-0708,Rp,,957110000,,221550000,,1178660000,
1,7,Partai Demokrat,calon anggota legislatif,HM. TRISNO SANTOSO,3603-00-0000-0709,Rp,,0,,,,0,
1,7,Partai Demokrat,calon anggota legislatif,BOYKE NOVRIZON,3603-00-0000-0710,Rp,,340225000,,165000000,,505225000,
1,7,Partai Demokrat,calon anggota legislatif,dr. DIAN AGRILEODA SYAKHROZA,1701-00-0000-0701,Rp,,460659000,,16317500,,476976500,
1,7,Partai Demokrat,calon anggota legislatif,"Ir. HR MUCHLIS YS., MM",1701-00-0000-0702,Rp,,94500000,,30000000,,124500000,
1,7,Partai Demokrat,calon anggota legislatif,YURIEKA AJENG SEPTIRIANA,1701-00-0000-0703,Rp,,30000000,,17000000,,47000000,
1,7,Partai Demokrat,calon anggota legislatif,"H. INDRA SUNANDAR, SE",1701-00-0000-0704,Rp,,246000000,,80000000,,326000000,
1,7,Partai Demokrat,calon anggota legislatif,KRMT. ROY SURYO NOTODIPROJO,3401-00-0000-0701,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"AGUS BASTIAN, SE, MM",3401-00-0000-0702,Rp,,123029300,,93903200,,216932500,
1,7,Partai Demokrat,calon anggota legislatif,WAHYUTI LIMIANY RAHAYU,3401-00-0000-0703,Rp,,125000000,,50000000,,175000000,
1,7,Partai Demokrat,calon anggota legislatif,AMBAR TJAHYONO,3401-00-0000-0704,Rp,,91037835,,83000005,,174037840,
1,7,Partai Demokrat,calon anggota legislatif,LUCIA DESTINA KRISTIANTI,3401-00-0000-0705,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,LULUK PUJI RAHAYU,3401-00-0000-0706,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,JEMMY SETIAWAN,3401-00-0000-0707,Rp,,753600000,,95000000,,848600000,
1,7,Partai Demokrat,calon anggota legislatif,PC PUTUT PRASETYO UJIANTO,3401-00-0000-0708,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"HAYONO ISMAN, SIP",3101-00-0000-0701,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"H. TRI YULIANTO, SH",3101-00-0000-0702,Rp,,479450000,,110000000,,589450000,
1,7,Partai Demokrat,calon anggota legislatif,DWI ASTUTI WULANDARI,3101-00-0000-0703,Rp,,111250000,,50000000,,161250000,
1,7,Partai Demokrat,calon anggota legislatif,"Letjen TNI (Purn) CORNEL SIMBOLON, M.Sc",3101-00-0000-0704,Rp,,76500000,,175500000,,252000000,
1,7,Partai Demokrat,calon anggota legislatif,"EDWIN JANNERLI TANDJUNG, SE",3101-00-0000-0705,Rp,,31000000,,12000000,,43000000,
1,7,Partai Demokrat,calon anggota legislatif,"Dra. Hj. LUKI WIDIASTUTI T,M.Hum",3101-00-0000-0706,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,Hj. MELANI LEIMENA SUHARLI,3102-00-0000-0701,Rp,,47850000,,98000000,,145850000,
1,7,Partai Demokrat,calon anggota legislatif,DR. KASTORIUS SINAGA,3102-00-0000-0702,Rp,,547701000,,385095987,,932796987,
1,7,Partai Demokrat,calon anggota legislatif,FADJAR SAMPURNO,3102-00-0000-0703,Rp,,99000000,,102000000,,201000000,
1,7,Partai Demokrat,calon anggota legislatif,JENNY RACHMAN,3102-00-0000-0704,Rp,,104595500,,342024875,,446620375,
1,7,Partai Demokrat,calon anggota legislatif,Ir. DARMIZAL MS,3102-00-0000-0705,Rp,,457400000,,110000000,,567400000,
1,7,Partai Demokrat,calon anggota legislatif,LUKMANUL HAKIM,3102-00-0000-0706,Rp,,35000000,,40000000,,75000000,
1,7,Partai Demokrat,calon anggota legislatif,"Hj. HASNAENI, SE, MM",3102-00-0000-0707,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,Dr. H. MARZUKI ALIE,3103-00-0000-0701,Rp,,476000000,,160000000,,636000000,
1,7,Partai Demokrat,calon anggota legislatif,Hj. VERA FEBYANTHY,3103-00-0000-0702,Rp,,140000000,,50000000,,190000000,
1,7,Partai Demokrat,calon anggota legislatif,PANANGIAN SIMANUNGKALIT,3103-00-0000-0703,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"Dr. MUHAMMAD FARHAT ABBAS, SH, MH",3103-00-0000-0704,Rp,,512900000,,0,,512900000,
1,7,Partai Demokrat,calon anggota legislatif,MEXICANA LEO HANANTO WIBOWO,3103-00-0000-0705,Rp,,49875000,,123000000,,172875000,
1,7,Partai Demokrat,calon anggota legislatif,"AGATHA A. LIDYAWATI RAFLI, SH, MH",3103-00-0000-0706,Rp,,1297000000,,100000000,,1397000000,
1,7,Partai Demokrat,calon anggota legislatif,"Dr. Hj. ANDI NURPATI, M.Pd",3103-00-0000-0707,Rp,,72910000,,3310000,,76220000,
1,7,Partai Demokrat,calon anggota legislatif,"JULIANTO HENDRO CAHYONO, SE, MM",3103-00-0000-0708,Rp,,74475000,,0,,74475000,
1,7,Partai Demokrat,calon anggota legislatif,"DR. Ir. H. GUSNAR ISMAIL, MM",7501-00-0000-0701,Rp,,144600000,,50000000,,194600000,
1,7,Partai Demokrat,calon anggota legislatif,"AMAN HIOLA, SH",7501-00-0000-0702,Rp,,133750000,,78750000,,212500000,
1,7,Partai Demokrat,calon anggota legislatif,"NAWIRA SYARIF DJIBRAN, SS",7501-00-0000-0703,Rp,,45000000,,47000000,,92000000,
1,7,Partai Demokrat,calon anggota legislatif,"dr. Hj. INDRAWATI SUKADIS, M.Si",1501-00-0000-0701,Rp,,112500000,,173000000,,285500000,
1,7,Partai Demokrat,calon anggota legislatif,Drs. H. SYOFYAN ALI,1501-00-0000-0702,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,Drs. H. ZULFIKAR ACHMAD,1501-00-0000-0703,Rp,,17800000,,81000000,,98800000,
1,7,Partai Demokrat,calon anggota legislatif,"DIPO NURHADI ILHAM, MBA",1501-00-0000-0704,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"H. AHMAD SUBANDI BUDIANTO, SE, MM",1501-00-0000-0705,Rp,,557423600,,390425350,,947848950,
1,7,Partai Demokrat,calon anggota legislatif,"CAMELIA PUJI ASTUTI S.Sn, MA",1501-00-0000-0706,Rp,,234000000,,700000000,,934000000,
1,7,Partai Demokrat,calon anggota legislatif,LIA YULIA SUMANTRI,1501-00-0000-0707,Rp,,0,,0,,0,
1,7,Partai Demokrat,calon anggota legislatif,"H. AGUNG BUDI SANTOSO, SH, MM",3201-00-0000-0701,Rp,,333410000,,293381000,,626791000,
1,7,Partai Demokrat,calon anggota legislatif,"DR. KIKIT WIRIANTI SUGATA, SH",3201-00-0000-0702,Rp,,20000000,,55000000,,75000000,
1,7,Partai Demokrat,calon anggota legislatif,"H. DADAY HUDAYA, SH, MH",3201-00-0000-0703,Rp,,149150000,,70000000,,219150000,
1,7,Partai Demokrat,calon anggota legislatif,"YETTI HERYATI, SH",3201-00-0000-0704,Rp,,90000000,,224000000,,314000000,
1,7,Partai Demokrat,calon anggota legislatif,"H. SUGIANTO NANGOLAH, SH, MH",3201-00-0000-0705,Rp,,130600000,,110000000,,240600000,
1,7,Partai Demokrat,calon anggota legislatif,"Drs. H.M. SANI ALAMSYAH, SH, MBL",3201-00-0000-0706,Rp,,26400000,,17500000,,43900000,
1,7,Partai Demokrat,calon anggota legislatif,"DYAH PROBONDARI, SH, M.Kn",3201-00-0000-0707,Rp,,57250000,,52500000,,109750000,
1,7,Partai Demokrat,calon anggota legislatif,"DEDE YUSUF MACAN EFFENDI, ST",3202-00-0000-0701,Rp,,75000000,,126200000,,201200000,
1,7,Partai Demokrat,calon anggota legislatif,DR. Hj. R. ADJENG RATNA SUMINAR,3202-00-0000-0702,Rp,,270000000,,190000000,,460000000,
1,7,Partai Demokrat,calon anggota legislatif,Ir. H. ROESTANTO WAHIDI D. MM,3202-00-0000-0703,Rp,,686920000,,25000000,,711920000,
1,7,Partai Demokrat,calon anggota legislatif,Dra. ERNA WISMAYA,3202-00-0000-0704,Rp,,60556000,,55324000,,115880000,
1,7,Partai Demokrat,calon anggota legislatif,DANNI G. ARSAMANGGALA,3202-00-0000-0705,Rp,,141100000,,68450000,,209550000,
1,7,Partai Demokrat,calon anggota legislatif,EFI SUSILOWATI,3202-00-0000-0706,Rp,,192750000,,0,,192750000,
1,7,Partai Demokrat,calon anggota legislatif,"H. YAN JUANDA SAPUTRA, SH, MH, MM, M.Si",3202-00-0000-0707,Rp,,325000000,,25000000,,350000000,
1,7,Partai Demokrat,calon anggota legislatif,"DIMAS ANUGERAH ADIASA, S.Sos, MM",3202-00-0000-0708,Rp,,310600000,,28000000,,338600000,
1,7,Partai Demokrat,calon anggota legislatif,"Drs. H. BUDI HENDRARTO, MM, Ph.D",3202-00-0000-0709,Rp,,46000000,,18000000,,64000000,
1,7,Partai Demokrat,calon anggota legislatif,"ASKANDI YUSRA, MM, Msi",3202-00-0000-0710,Rp,,130000000,000,50000000,,180000000,
1,7,Partai Demokrat,calon anggota legislatif,"DR. SJARIFUDDIN HASAN, MM, MBA",3203-00-0000-0701,Rp,,690000000,,325000000,,1015000000,
1,7,Partai Demokrat,calon anggota legislatif,"Prof. Dr. dr. Hj. A. DINAJANI SETIAWATI H. MAHDI, Sp. PD, Sp. KL, SH",3203-00-0000-0702,Rp,,48500000,,0,,48500000,
