periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,DESSY SUKMA,3508-00-0000-1006,Rp,,,,35000000,,35000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,AHMAD AMRULLAH,3508-00-0000-1007,Rp,,,,6650000,,6650000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"I WAYAN AGUNG SETIYAWAN RB, SE, MM",3508-00-0000-1008,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"OLIVER MARPAUNG, SE",3508-00-0000-1009,Rp,,,,0,,0,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,NANANG FARDIANSYAH,3508-00-0000-1010,Rp,,,,175000000,,175000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,IR BUDI SUSILO,3509-00-0000-1001,Rp,,,,49000000,,49000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"NIAMAT ALI, SE",3509-00-0000-1002,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,MUTIA RAZELA,3509-00-0000-1003,Rp,,,,7000000,,7000000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"Drs H. MOH FARCHAN, M.Si",3509-00-0000-1004,Rp,,,,16525000,,16525000,
2,10,Partai Hati Nurani Rakyat,calon anggota legislatif,"MUSWHIDA, SH",3509-00-0000-1005,Rp,,,,0,,0,
