lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPR,2009,31,DKI Jakarta,3102-00-0000,DKI II,3,PARTAI KEADILAN SEJAHTERA,1,DPR072,Dr. Mohammad Sohibul Iman,L,Islam,Tasikmalaya,1965-10-05,Kawin,Uswindraningsih Titus,4,,,,,,,,
DPR,2009,15,Jambi,1501-00-0000,Jambi,7,PARTAI DEMOKRAT,1,DPR073,dr. Hj. Indrawati Sukadis,P,Islam,Jakarta,1954-11-25,Belum Kawin,,,,,,,,,,
DPR,2009,15,Jambi,1501-00-0000,Jambi,7,PARTAI DEMOKRAT,3,DPR074,"Drs. H. As'ad Syam, MM",L,Islam,Jambi,1953-11-02,Kawin,Fatmawati,3,,,,,,,,"Drs. H. As'ad Syam, MM digantikan oleh Sofyan Ali melalui Pergantian Antar Waktu pada Agustus 2012 dan digantikan Suparman pada Desember 2013"
DPR,2009,15,Jambi,1501-00-0000,Jambi,5,PARTAI GOLONGAN KARYA,5,DPR075,"Selina Gita, SE",P,Islam,Jambi,1975-07-01,Kawin,,1,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR076,Drs. Effendi M.S. Simbolon,L,Kristen,Banjarmasin,1964-12-01,Kawin,Dessi Triniti,3,,,,,,,,
DPR,2009,15,Jambi,1501-00-0000,Jambi,8,PARTAI AMANAT NASIONAL,1,DPR077,Ratu Munawarah Zulkifli,P,Islam,Tasikmalaya,1977-08-30,Kawin,H. Zulkifli Nurdin Hamzah,6,,,,,,,,Ratu Munawarah Zulkifli mengundurkan diri sejak Juli 2010 digantikan oleh Chairul Naim Anik
DPR,2009,15,Jambi,1501-00-0000,Jambi,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR078,"H. Irsal Yunus, SE, MM",L,Islam,Padang,1947-11-12,Kawin,"Hj. Agnita Singedekane Irsal, M.Si",5,,,,,,,,
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,7,PARTAI DEMOKRAT,1,DPR079,Kol. Inf. (Purn) Didik Salmijardi,L,Islam,Surakarta,1946-04-21,Kawin,"RA. Sri Soerjanti, BA",3,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,7,PARTAI DEMOKRAT,1,DPR080,KMRT. Roy Suryo Notodiprojo,L,Islam,Yogyakarta,1968-07-18,Kawin,"Ismarindayani Priyanti, SH, MH, CN",,,,,,,,,KMRT. Roy Suryo Notodiprojo digantikan oleh Ambar Tjahyono melalui Pergantian Antar Waktu pada Juli 2013
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,5,PARTAI GOLONGAN KARYA,1,DPR081,"Dra. Hj. Chairun Nisa, MA",P,Islam,Surakarta,1958-12-27,Kawin,"H. Maliki, SE",1,,,,,,,,
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,DPR082,"Asdy Narang, SH, M.COMM. LAW",L,Kristen Protestan,Banjarmasin,1976-03-19,Kawin,Adelin Marsella Narang,1,,,,,,,,
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,DPR083,Sugianto Sabran,L,Islam,Sampit,1973-07-05,Kawin,,3,,,,,,,,
DPR,2009,62,Kalteng,6201-00-0000,Kalteng,8,PARTAI AMANAT NASIONAL,2,DPR084,Hang Ali Saputra Syah Pahan,L,Budha,Sampit,1961-10-25,Kawin,Rusidah,3,,,,,,,,
DPR,2009,15,Jambi,1501-00-0000,Jambi,8,PARTAI AMANAT NASIONAL,4,DPR085,"H. A. Bakri HM, SE",L,Islam,Pulau Kijang,1968-05-15,Kawin,Hj. Sri Uleng,3,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,7,PARTAI DEMOKRAT,2,DPR086,Drs. H. Abdul Gafar Patappe,L,Islam,Bone,1942-10-15,Kawin,Hj. Andi Chaerana Gaffar,6,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,5,PARTAI GOLONGAN KARYA,1,DPR087,H.M. Malkan Amin,L,Islam,"Barru, Sulsel",1948-08-11,Kawin,Indira Paramita,4,,,,,,,,"H.M. Malkan Amin digantikan oleh M. Basri Sidehabi, SIP. MBA melalui Pergantian Antar Waktu pada Maret 2013"
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,5,PARTAI GOLONGAN KARYA,5,DPR088,"Andi Rio Idris Padjalangi, SH, M.Kn",L,Islam,Bone,1973-03-13,Kawin,"Andi Shanty Listiawaty, SE",2,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,5,PARTAI GOLONGAN KARYA,2,DPR089,H. Syamsul Bacrhri S.,L,Islam,Sengkang,1956-07-31,Kawin,Dra. Haeriyah,2,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,5,PARTAI GOLONGAN KARYA,11,DPR090,Halim Kalla,L,Islam,Ujung Pandang,1957-10-01,Menikah,Era Helvani,2,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,3,PARTAI KEADILAN SEJAHTERA,1,DPR091,"Tamsil Linrung, S.Pd",L,Islam,Pangkep,1961-09-17,Kawin,Fatimah Zamy,4,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,8,PARTAI AMANAT NASIONAL,3,DPR092,"A. Taufan Tiro, ST",L,Islam,Ujung Pandang,1971-04-29,Kawin,Nieke Voniela Samsara,5,,,,,,,,
DPR,2009,73,Sulsel,7302-00-0000,Sulsel II,10,PARTAI HATI NURANI RAKYAT,1,DPR093,"Drs. Akbar Faizal, M.Si",L,Islam,Makassar,1968-12-21,Kawin,Andi Syamsartika Virawati,3,,,,,,,,"Drs. Akbar Faizal, M.Si digantikan oleh H. A. RAHMAN HALID, M.M. melalui Pergantian Antar Waktu pada April 2013"
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,7,PARTAI DEMOKRAT,1,DPR094,"Ir. Bahrum Daido, M.Si",L,Islam,Palopo,1964-09-30,,,,,,,,,,,
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,7,PARTAI DEMOKRAT,2,DPR095,Ir. Hj. A.P.A Timo Pangerang,P,Islam,Makassar,1966-02-04,Kawin,Ir. Andi Baso Sulfa,3,,,,,,,,
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,5,PARTAI GOLONGAN KARYA,1,DPR096,Idrus Marham,L,Islam,Pinrang,1962-08-14,Kawin,Ridho Ekasari,,,,,,,,,"Idrus Marham digantikan oleh Mariani Baramuli pada Juni 2011 dan Mariani Baramuli digantikan oleh Hj. RYANI SOEDIRMAN, S.Sos. pada Oktober 2012"
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,5,PARTAI GOLONGAN KARYA,4,DPR097,"Ir. Markus Nari, M.Si",L,Kristen Protestan,Makassar,1963-09-17,Kawin,Ir. Oktrin Tumimomor,2,,,,,,,,
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,3,PARTAI KEADILAN SEJAHTERA,1,DPR098,"Andi Rahmat, SE",L,Islam,Luwu - Sulawesi Selatan,1975-10-15,Kawin,Viatri Widuri,4,,,,,,,,
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,8,PARTAI AMANAT NASIONAL,1,DPR099,"Amran, SE",L,Islam,Ujung Pandang,1968-07-18,Kawin,Purwati. S.kom,1,,,,,,,,
DPR,2009,73,Sulsel,7303-00-0000,Sulsel III,10,PARTAI HATI NURANI RAKYAT,1,DPR100,"Drs. H. Muchtar Amma, MM",L,Islam,Rappang,1950-07-24,Kawin,Hj. Hasniah Kamil,3,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,7,PARTAI DEMOKRAT,2,DPR101,"Agus Bastian, SE. MM",L,Islam,Karawang,1959-08-04,Kawin,"V. Prihastiyarie, SE",3,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,5,PARTAI GOLONGAN KARYA,1,DPR102,"Drs. Gandung Pardiman, MM",L,Islam,Bantul,1953-02-25,Kawin,Tri Sudaryati,3,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR103,H. Djuwarto,L,Islam,Yogyakarta,1952-10-28,,,,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,DPR104,"Dra. Eddy Mihati, M.Si",P,Islam,Klaten,1951-03-07,Kawin,"Drs. Djoko Suseno, SU",5,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,3,PARTAI KEADILAN SEJAHTERA,1,DPR105,"Agoes Poernomo, SIP",L,Islam,Cilacap,1968-02-07,Kawin,Etty Pratiknyowati,4,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,8,PARTAI AMANAT NASIONAL,1,DPR106,"H. Totok Daryanto, SE",L,Islam,Nganjuk,1954-05-06,Kawin,Hj. Henny Alien,4,,,,,,,,
DPR,2009,34,DIY,3401-00-0000,DIY,2,PARTAI KEBANGKITAN BANGSA,1,DPR107,"H. Agus Sulistiyono, SE",L,Islam,Purworejo,1959-08-17,Kawin,"Hj.Puji Hernani, SE",2,,,,,,,,
DPR,2009,17,Bengkulu,1701-00-0000,Bengkulu,8,PARTAI AMANAT NASIONAL,2,DPR108,"Dewi Coryati, M.Si",P,Islam,Curup,1968-04-16,Kawin,Priagung Suprapto,2,,,,,,,,
DPR,2009,31,DKI Jakarta,3102-00-0000,DKI II,7,PARTAI DEMOKRAT,8,DPR109,Nurcahyo Anggorojati,L,Islam,Jayapura,1979-03-05,Kawin,Novrida Damayanti,,,,,,,,,
DPR,2009,31,DKI Jakarta,3102-00-0000,DKI II,5,PARTAI GOLONGAN KARYA,2,DPR110,"Ir. Fayakhun Andriaadi, M. Kom",L,Islam,Semarang,1972-08-24,Kawin,Erlina Kumala Esti,3,,,,,,,,
DPR,2009,31,DKI Jakarta,3102-00-0000,DKI II,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,DPR111,Ir. Eriko Sotarduga B.P.S.,L,Kristen Protestan,Medan,1969-04-10,Kawin,Drg. Roslina T Nainggolan,3,,,,,,,,
DPR,2009,81,Maluku,8101-00-0000,Maluku,7,PARTAI DEMOKRAT,3,DPR112,Sonny Waplau,L,Kristen Protestan,Maluku Tengah,1948-03-11,Kawin,Linda Gandhy,5,,,,,,,,
