lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPD,2009,82,MALUKU UTARA,8200-00-0000,MALUKU UTARA,,,13,DPD116,"Matheus Stefi Pasimanjeku, SH",L,Kristen Protestan,Ambon,1971-09-12,Kawin,,,,,,,,,,
DPD,2009,82,MALUKU UTARA,8200-00-0000,MALUKU UTARA,,,11,DPD117,Prof. Dr. Hj. Kemala Motik Gafur,P,Islam,Jakarta,1944-10-06,Kawin,dr. Abdul Gafur,6,,,,,,,,
DPD,2009,82,MALUKU UTARA,8200-00-0000,MALUKU UTARA,,,15,DPD118,"Drs. H. Mudaffar Sjah, Bc. HK.",L,Islam,Ternate,1935-04-13,Kawin,"Nita Budhi Susanti, SE",9,,,,,,,,
DPD,2009,82,MALUKU UTARA,8200-00-0000,MALUKU UTARA,,,2,DPD119,Drs. H. Abdurachman Lahabato,L,Islam,Tidore,1967-05-21,Kawin,,,,,,,,,,
DPD,2009,91,PAPUA,9100-00-0000,PAPUA,,,14,DPD120,Tonny Tesar,L,Kristen Protestan,Serui,1958-11-06,Kawin,Suhenny,2,,,,,,,,Tonny Tesar digantikan oleh FERDINANDA IBO YATIPAY melalui Pergantian Antar Waktu pada Oktober 2012
DPD,2009,91,PAPUA,9100-00-0000,PAPUA,,,6,DPD121,Helina Murib,P,Kristen Protestan,Sinak,1978-05-03,Kawin,Moseskondjol,4,,,,,,,,
DPD,2009,91,PAPUA,9100-00-0000,PAPUA,,,9,DPD122,"Drs. Paulus Yohanes Sumino, MM",L,Kristen Katolik,Magetan,1948-12-01,Kawin,,,,,,,,,,
DPD,2009,91,PAPUA,9100-00-0000,PAPUA,,,4,DPD123,"Pdt. Elion Numberi, S.Th",L,Kristen,Papua,1961-07-14,,,,,,,,,,,
DPD,2009,92,PAPUA BARAT,9200-00-0000,PAPUA BARAT,,,5,DPD124,"Ishak Mandacan, SH",L,Kristen Protestan,Manokawari,1955-06-09,Kawin,Yuliana Wanma,2,,,,,,,,
DPD,2009,92,PAPUA BARAT,9200-00-0000,PAPUA BARAT,,,12,DPD125,"Sofia Maipauw, SH",P,Kristen Protestan,Karetubun,1968-07-28,Belum Kawin,,,,,,,,,,
DPD,2009,92,PAPUA BARAT,9200-00-0000,PAPUA BARAT,,,6,DPD126,Mervin Sadipun Komber,L,Kristen Katolik,Fak-Fak,1979-06-20,Belum Kawin,,3,,,,,,,,
DPD,2009,92,PAPUA BARAT,9200-00-0000,PAPUA BARAT,,,14,DPD127,Drs. H. Wahidin Ismail,L,Islam,Kuala Simpang Aceh,1953-06-13,Kawin,Dwi Yani Sulistiowati,2,,,,,,,,
DPD,2009,19,BANGKA BELITUNG,1900-00-0000,BANGKA BELITUNG,,,20,DPD128,NOORHARI ASTUTI,P,Islam,Jakarta,1953-06-22,Kawin,"IR.H.Eko Maulana Ali S.Sip,Sap,Map,Msc",5,,,,,,,,
DPD,2009,17,BENGKULU,1700-00-0000,BENGKULU,,,3,DPD129,"Bambang Pajitno Soeroso,H.Dipl, Ing",L,Islam,Yogyakarta,1951-10-08,Kawin,"Merry Ostianti Affan, SE",5,,,,,,,,
DPD,2009,17,BENGKULU,1700-00-0000,BENGKULU,,,9,DPD130,"MAHYUDIN SHOBARI,H,.SE",L,Islam,Bengkulu,1963-05-21,Kawin,,,,,,,,,,
DPD,2009,32,JAWA BARAT,3200-00-0000,JAWA BARAT,,,1,DPD131,AMANG SYAFRUDIN,L,Islam,Sukabumi,1964-06-04,Kawin,Suryantie,5,,,,,,,,
DPD,2009,61,KALIMANTAN BARAT,6100-00-0000,KALIMANTAN BARAT,,,23,DPD132,Hj. Sri Kadarwati,P,Islam,Magelang,1947-05-28,Kawin,(Alm) Mayjend TNI H. Aspar Aswin,3,,,,,,,,Hj. Sri Kadarwati meninggal dunia dan digantikan oleh H. Ishaq Saleh pada Oktober 2012
DPD,2009,13,SUMATERA BARAT,1300-00-0000,SUMATERA BARAT,,,31,DPD133,"H. AFRIZAL SE., MBA",L,Islam,,,Kawin,Elsa Deviani,,,,,,,,,
DPD,2009,17,BENGKULU,1700-00-0000,BENGKULU,,,15,DPD134,Yuan Rasugi Sang,L,Islam,Braja Asri,1963-01-17,Kawin,"Iriana Indosari, SH",1,,,,,,,,
DPD,2009,31,DKI JAKARTA,3100-00-0000,DKI JAKARTA,,,17,DPD135,Vivi Effendy,P,Islam,Jakarta,1964-03-09,Kawin,Triyanto Saudin,2,,,,,,,,
DPD,2009,71,SULAWESI UTARA,7100-00-0000,SULAWESI UTARA,,,7,DPD136,Sintje Sondakh Mandey,P,Kristen Katolik,,,Kawin,,,,,,,,,,
DPD,2009,72,SULAWESI TENGAH,7200-00-0000,SULAWESI TENGAH,,,36,DPD137,Pdt. DR. Silviana Hendriete Pandegirot MTh,L,Islam,,,Kawin,,,,,,,,,,
DPD,2009,74,SULAWESI TENGGARA,7400-00-0000,SULAWESI TENGGARA,,,4,DPD138,Brigjend. Hoesein Effendy S.H,L,Islam,Kendari,1946-11-07,Kawin,Lia Handaya Wardanymulia,5,,,,,,,,
DPD,2009,91,PAPUA,9100-00-0000,PAPUA,,,14,DPD139,FERDINANDA IBO YATIPAY,P,Kristen Protestan,Wagete,1945-08-02,Kawin,,,,,,,,,,
DPD,2009,61,KALIMANTAN BARAT,6100-00-0000,KALIMANTAN BARAT,,,23,DPD140,H. Ishaq Saleh,L,Islam,Pontianak,1938-04-24,Kawin,Hj. Maryam,7,,,,,,,,
