lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPD,2009,19,BANGKA BELITUNG,1900-00-0000,BANGKA BELITUNG,,,3,DPD028,H. Rosman Djohan,L,Islam,Pangkal Pinang,1937-12-10,Kawin,Hj. Norma Idroes,7,,,,,,,,
DPD,2009,19,BANGKA BELITUNG,1900-00-0000,BANGKA BELITUNG,,,5,DPD029,"Bahar Buasan, ST (Bong Tjhai Bun)",L,Kristen Katolik,Pangkal Pinang,1964-03-25,Kawin,Julianti Setiadi,2,,,,,,,,
DPD,2009,21,KEPULAUAN RIAU,2100-00-0000,KEPULAUAN RIAU,,,3,DPD030,"Hj. Aida Zulaika Nasution Ismeth, SE. MM",P,Islam,Kotaraja,1948-04-01,Kawin,Drs. H. Ismeth Abdullah,4,,,,,,,,
DPD,2009,21,KEPULAUAN RIAU,2100-00-0000,KEPULAUAN RIAU,,,28,DPD031,"Drs. H. Zulbahri Majid, MPd.",L,Islam,Bukit Tinggi,1953-08-26,Kawin,Hj. Basnita,4,,,,,,,,
DPD,2009,21,KEPULAUAN RIAU,2100-00-0000,KEPULAUAN RIAU,,,9,DPD032,"Djasarmen Purba, SH",L,Kristen,Pematang Raya,1947-08-05,Kawin,Rasmi Saragih,4,,,,,,,,
DPD,2009,21,KEPULAUAN RIAU,2100-00-0000,KEPULAUAN RIAU,,,13,DPD033,Drs. Hardi Selamat Hood,L,Islam,Kep.Riau,1963-03-06,Kawin,"Dra. Hj. Koestrinie, M.Pd",3,,,,,,,,
DPD,2009,18,LAMPUNG,1800-00-0000,LAMPUNG,,,8,DPD034,Ir. Anang Prihantoro,L,Kristen Katolik,Nambahdadi,1965-04-10,Kawin,Dra. Tri Sutrisminah,2,,,,,,,,
DPD,2009,18,LAMPUNG,1800-00-0000,LAMPUNG,,,4,DPD035,"Ahmad Jajuli, HI. S.IP.",L,Islam,Serang,1968-05-11,Kawin,dr. Endang Legiarti,1,,,,,,,,
DPD,2009,18,LAMPUNG,1800-00-0000,LAMPUNG,,,11,DPD036,"Ir. H. Aryodia Febriansa, SZP., SH",L,Islam,Jakarta,1976-02-23,Kawin,Hj. Aldila Issa Suryawati,,,,,,,,,
DPD,2009,18,LAMPUNG,1800-00-0000,LAMPUNG,,,31,DPD037,"Iswandi, A.Md.",L,Islam,Bandar Agung,1973-02-15,Kawin,Cek Mas,2,,,,,,,,
DPD,2009,31,DKI JAKARTA,3100-00-0000,DKI JAKARTA,,,13,DPD038,H. Dany Anwar,L,Islam,Jakarta,1968-02-22,Kawin,Rohimatussa'diyah,1,,,,,,,,
DPD,2009,31,DKI JAKARTA,3100-00-0000,DKI JAKARTA,,,5,DPD039,Dr (HC). H. A.M. Fatwa,L,Islam,Bone,1939-02-12,Kawin,Nurdjannah S.Ag,5,,,,,,,,
DPD,2009,31,DKI JAKARTA,3100-00-0000,DKI JAKARTA,,,17,DPD040,H. Djan Faridz,L,Islam,Jakarta,1950-08-05,Kawin,Nini Widjaja,7,,,,,,,,H. Djan Faridz digantikan oleh Vivi Effendy melalui Pergantian Antar Waktu pada tahun 2011
DPD,2009,31,DKI JAKARTA,3100-00-0000,DKI JAKARTA,,,31,DPD041,Pardi,L,Islam,Jakarta,1969-09-15,Duda,,1,,,,,,,,
DPD,2009,32,JAWA BARAT,3200-00-0000,JAWA BARAT,,,8,DPD042,Prof. Dr. Ir. H. Ginandjar Kartasasmita,L,Islam,Bandung,1941-04-09,Kawin,Yultin Harlotina,4,,,,,,,,
DPD,2009,32,JAWA BARAT,3200-00-0000,JAWA BARAT,,,6,DPD043,Dra. Hj. R. Ella M. Giri Komala,P,Islam,Bandung,1955-04-26,Kawin,Drs. H. Man Muhammad Iskandar,4,,,,,,,,
DPD,2009,32,JAWA BARAT,3200-00-0000,JAWA BARAT,,,23,DPD044,"K.H. Sofyan Yahya, MA.",L,Islam,Bandung,1955-07-27,Kawin,Hj. Neneng Jubaedah,3,,,,,,,,
DPD,2009,36,BANTEN,3600-00-0000,BANTEN,,,11,DPD045,Andika Hazrumy,L,Islam,Bandung,1985-12-16,Kawin,Adde Rosi Khaerunnisa,2,,,,,,,,
DPD,2009,36,BANTEN,3600-00-0000,BANTEN,,,2,DPD046,"Drs. H. Abdurachman, M.Ap.",L,Islam,Cirebon,1954-02-05,Kawin,Maslikhah,2,,,,,,,,
DPD,2009,36,BANTEN,3600-00-0000,BANTEN,,,1,DPD047,Drs. Abdi Sumaithi,L,Islam,Serang,1949-04-04,Kawin,Reti Riseti,8,,,,,,,,
DPD,2009,36,BANTEN,3600-00-0000,BANTEN,,,8,DPD048,H. Ahmad Subadri,L,Islam,Tangerang,1973-07-09,Kawin,Erni Herlina,3,,,,,,,,
DPD,2009,33,JAWA TENGAH,3300-00-0000,JAWA TENGAH,,,27,DPD049,"Drs. Sulistiyo, M.Pd.",L,Islam,Banjarnegara,1962-02-12,,,,,,,,,,,
DPD,2009,33,JAWA TENGAH,3300-00-0000,JAWA TENGAH,,,6,DPD050,G.K.R. Ayu Koes Indriyah,P,Islam,Solo,1961-10-19,Cerai Hidup,,,,,,,,,,
DPD,2009,33,JAWA TENGAH,3300-00-0000,JAWA TENGAH,,,7,DPD051,"Denty Eka Widi Pratiwi, SE.",P,Islam,Temanggung,1975-07-04,,,,,,,,,,,
DPD,2009,33,JAWA TENGAH,3300-00-0000,JAWA TENGAH,,,18,DPD052,Poppy Susanti Dharsono,P,Islam,Garut,1951-07-08,Cerai,,,,,,,,,,
DPD,2009,34,DI YOGYAKARTA,3400-00-0000,DI YOGYAKARTA,,,3,DPD053,Gusti Kanjeng Ratu Hemas,P,Islam,Jakarta,1952-10-31,Kawin,Sri Sultan Hamengku Buwono X,5,,,,,,,,
DPD,2009,34,DI YOGYAKARTA,3400-00-0000,DI YOGYAKARTA,,,2,DPD054,"H. Cholid Mahmud, ST, MT",L,Islam,Semarang,1966-01-31,Kawin,drg. Sapto Rini,5,,,,,,,,
DPD,2009,34,DI YOGYAKARTA,3400-00-0000,DI YOGYAKARTA,,,1,DPD055,"Drs.. H. A. Hafidh Asrom, MM.",L,Islam,Jepara,1957-11-23,Kawin,"Hj. Eni Yustini, SE",3,,,,,,,,
DPD,2009,34,DI YOGYAKARTA,3400-00-0000,DI YOGYAKARTA,,,4,DPD056,Muhammad Afnan Hadikusumo,L,Islam,Yogyakarta,1967-02-06,Kawin,R.R. Retno Dyah Astuti,1,,,,,,,,
DPD,2009,35,JAWA TIMUR,3500-00-0000,JAWA TIMUR,,,18,DPD057,"Prof. Dr. Dra. Hj. Istibsjaroh, SH. MA.",P,Islam,Jombang,1955-12-19,Kawin,KH. Zaimmuddin,6,,,,,,,,
DPD,2009,35,JAWA TIMUR,3500-00-0000,JAWA TIMUR,,,31,DPD058,"Wasis Siswoyo, SH",L,Islam,Malang,1957-08-23,Kawin,Siti Chotimah,4,,,,,,,,
DPD,2009,35,JAWA TIMUR,3500-00-0000,JAWA TIMUR,,,1,DPD059,Drs. H. Abd. Sudarsono,L,Islam,Situbondo,1954-10-12,Kawin,Hj. Nur Asroh,3,,,,,,,,
DPD,2009,35,JAWA TIMUR,3500-00-0000,JAWA TIMUR,,,28,DPD060,Ir. Supartono,L,Islam,Babat,1962-01-16,Kawin,Sri Wahyuni Katulistyowati,1,,,,,,,,
DPD,2009,51,BALI,5100-00-0000,BALI,,,10,DPD061,"I GN Kesuma Kelakan, ST, M.Si",L,Hindu,Denpasar,1967-04-04,Kawin,"AA. SG Rosyawati, SE, MM",2,,,,,,,,
DPD,2009,51,BALI,5100-00-0000,BALI,,,19,DPD062,"I Nengah Wiratha, SE",L,Hindu,Badung,1969-08-14,Kawin,Ni Putu Eny Setiati,4,,,,,,,,
DPD,2009,51,BALI,5100-00-0000,BALI,,,23,DPD063,"I Wayan Sudirta, SH",L,Hindu,Pidpid,1950-12-20,Kawin,Dr. Sulil Indrawati D.,2,,,,,,,,
DPD,2009,51,BALI,5100-00-0000,BALI,,,17,DPD064,I Kadek Arimbawa,L,Hindu,Kamasan,1976-12-31,Kawin,Ni Made Suastini,2,,,,,,,,
DPD,2009,52,NUSA TENGGARA BARAT,5200-00-0000,NUSA TENGGARA BARAT,,,4,DPD065,Prof. Dr. Farouk Muhammad,L,Islam,Bima,1949-10-17,Kawin,Sarah Faridah Farouk,3,,,,,,,,
DPD,2009,52,NUSA TENGGARA BARAT,5200-00-0000,NUSA TENGGARA BARAT,,,18,DPD066,"H. LL. Abdul Muhyi Abidin, MA",L,Islam,Lombok timur,1966-04-09,Kawin,"Hj. Lale Syifa'un Nufus, S.Farm",1,,,,,,,,
DPD,2009,52,NUSA TENGGARA BARAT,5200-00-0000,NUSA TENGGARA BARAT,,,2,DPD067,"Baiq Diyah Ratu Ganefi, SH",P,Islam,Mataram,1963-10-20,Kawin,"Suratman, SH",1,,,,,,,,
DPD,2009,52,NUSA TENGGARA BARAT,5200-00-0000,NUSA TENGGARA BARAT,,,16,DPD068,"H. Lalu Supardan, S.AG",L,Islam,Mangkung,1970-02-13,Kawin,"Baiq Agustina Dinihari, S.Ag",3,,,,,,,,
DPD,2009,53,NUSA TENGGARA TIMUR,5300-00-0000,NUSA TENGGARA TIMUR,,,1,DPD069,Ir. Abraham Liyanto,L,Kristen Protestan,Kupang,1956-10-24,Kawin,Dra. F. Anastasia Wirastari,2,,,,,,,,
DPD,2009,53,NUSA TENGGARA TIMUR,5300-00-0000,NUSA TENGGARA TIMUR,,,10,DPD070,"Ir. Emanuel Babu Eha,M.Si",L,Kristen Katolik,Waingapu,1952-12-31,Kawin,Maria Martha Sendow,3,,,,,,,,
DPD,2009,53,NUSA TENGGARA TIMUR,5300-00-0000,NUSA TENGGARA TIMUR,,,3,DPD071,Ny. Carolina Nubatonis Kondo,P,Kristen Protestan,Kodi,1955-09-06,Kawin,Drs. Jonathan Nubatonis,4,,,,,,,,
DPD,2009,53,NUSA TENGGARA TIMUR,5300-00-0000,NUSA TENGGARA TIMUR,,,35,DPD072,Ir. Sarah Lery Mboeik,P,Kristen Protestan,Rote,1965-02-20,Kawin,,,,,,,,,,
DPD,2009,61,KALIMANTAN BARAT,6100-00-0000,KALIMANTAN BARAT,,,14,DPD073,"Maria Goreti, S.Sos. M.Si",P,Kristen Katolik,Kebadu Pahauman,1972-02-29,Kawin,Devi Agung Prasetya Kaseger,,,,,,,,,
DPD,2009,61,KALIMANTAN BARAT,6100-00-0000,KALIMANTAN BARAT,,,8,DPD074,"Hj. Hairiah, SH, MH",P,Islam,Pontianak,1966-03-27,Kawin,Usman Damiri,,,,,,,,,
DPD,2009,61,KALIMANTAN BARAT,6100-00-0000,KALIMANTAN BARAT,,,7,DPD075,"Erma Suryani Ranik, SH",P,Kristen,Ketapang,1975-05-14,Belum Kawin,,,,,,,,,,
DPD,2009,62,KALIMANTAN TENGAH,6200-00-0000,KALIMANTAN TENGAH,,,18,DPD076,"Hj. Permana Sari, S.Si, MM, MBA",P,Islam,Palangkaraya,1970-12-24,Kawin,H.Ir.Hedi Raua Samsuri,3,,,,,,,,
DPD,2009,62,KALIMANTAN TENGAH,6200-00-0000,KALIMANTAN TENGAH,,,9,DPD077,"H. Hamdhani, S.IP",L,Islam,Pangkalan Bun,1964-09-19,Kawin,Eny Suherdiyani,3,,,,,,,,
DPD,2009,62,KALIMANTAN TENGAH,6200-00-0000,KALIMANTAN TENGAH,,,22,DPD078,"H. Said Akhmad Fawzy Zain Bachsin, S.HI.",L,Islam,Pembuang Hulu,1950-06-07,Kawin,"Hj. Jainah, SE",5,,,,,,,,
DPD,2009,62,KALIMANTAN TENGAH,6200-00-0000,KALIMANTAN TENGAH,,,21,DPD079,"Pdt. Dr. Rugas Binti, BD. M.Div. D.Min",L,Kristen Protestan,Buntoi,1952-10-11,Kawin,Lantika R. Binti,3,,,,,,,,
DPD,2009,63,KALIMANTAN SELATAN,6300-00-0000,KALIMANTAN SELATAN,,,14,DPD080,"H. Gusti Farid Hasan Aman, SE., Akt., MBA",L,Islam,Banjarmasin,1967-09-21,Kawin,Laila,3,,,,,,,,
DPD,2009,63,KALIMANTAN SELATAN,6300-00-0000,KALIMANTAN SELATAN,,,4,DPD081,"Ir. Adhariani, SH, MH",L,Islam,Banjarmasin,1964-09-16,Kawin,"Azizah, SH",2,,,,,,,,
DPD,2009,63,KALIMANTAN SELATAN,6300-00-0000,KALIMANTAN SELATAN,,,15,DPD082,"H. Habib Hamid Abdullah, SH, MH",L,Islam,Banjarmasin,1948-08-03,Kawin,Naimah Al-Hamid,3,,,,,,,,
DPD,2009,63,KALIMANTAN SELATAN,6300-00-0000,KALIMANTAN SELATAN,,,23,DPD083,"Drs. H. Mohammad Sofwat Hadi, SH",L,Islam,Serang,1950-07-10,Kawin,Hj. Titiek Setyawati,4,,,,,,,,
DPD,2009,64,KALIMANTAN TIMUR,6400-00-0000,KALIMANTAN TIMUR,,,8,DPD084,Awang Ferdian Hidayat,L,Islam,Malang,1975-04-03,Kawin,Rima Hartati,2,,,,,,,,
DPD,2009,64,KALIMANTAN TIMUR,6400-00-0000,KALIMANTAN TIMUR,,,20,DPD085,Luther Kombong,L,Kristen,Rantepao,1950-09-27,Kawin,Soeharjati Haryanti,3,,,,,,,,
DPD,2009,64,KALIMANTAN TIMUR,6400-00-0000,KALIMANTAN TIMUR,,,23,DPD086,"KH. Muslihuddin Abdurrasyid, Lc.M.Pdi",L,Islam,Samarinda,1952-04-27,Kawin,Hj. Najmatul Khairiah,,,,,,,,,
DPD,2009,64,KALIMANTAN TIMUR,6400-00-0000,KALIMANTAN TIMUR,,,10,DPD087,"Ir. H. Bambang Susilo, MM",L,Islam,Banyuwangi,1962-09-24,Kawin,"Hj. Rahmatica, S.Kom",4,,,,,,,,
DPD,2009,71,SULAWESI UTARA,7100-00-0000,SULAWESI UTARA,,,5,DPD088,"Aryanti Baramuli Putri, SH, MH",P,Islam,Jakarta,1964-10-18,Pernah Kawin,,,,,,,,,,
DPD,2009,71,SULAWESI UTARA,7100-00-0000,SULAWESI UTARA,,,13,DPD089,Ir. Marhany Victor Poly Pua,L,Kristen Protestan,Manado,1963-05-29,Kawin,"Sherley Runtunuwu, STSherley Runtunuwu, ST",2,,,,,,,,
DPD,2009,71,SULAWESI UTARA,7100-00-0000,SULAWESI UTARA,,,7,DPD090,Mayjen. TNI (Purn) Ferry F.X. Tinggogoy,L,Kristen Katolik,Bintauna,1944-12-29,Kawin,dr. Lenny Helena Makalew,3,,,,,,,,Mayjen. TNI (Purn) Ferry F.X. Tinggogoy meninggal dunia dan digantikan oleh Sintje Sondakh Mandey pada April 2013
DPD,2009,71,SULAWESI UTARA,7100-00-0000,SULAWESI UTARA,,,2,DPD091,"Drs. Alvius Lomban, M.SI",L,Kristen Protestan,Temboan,1949-11-24,Kawin,Dra. Olga Carolin Sumilat,3,,,,,,,,
