id,time_serie_id,indicator_id,value
1,1,1,66.2905402955
2,1,2,64.4201115942
3,1,3,90
4,1,4,90
5,1,5,90
6,1,6,26.1166666667
7,1,7,23.3333333333
8,1,8,40
9,1,9,67.9386956522
10,1,10,78.2608695652
11,1,11,0
12,1,12,70
13,1,13,61.7366666667
14,1,14,83.3333333333
15,1,15,65
16,1,16,33.3333333333
17,1,17,70.3893171308
18,1,18,45.7965840022
19,1,19,76.9230769231
20,1,20,50
21,1,21,30
22,1,22,75.31
23,1,23,19.3236714976
24,1,24,94.9820502593
25,1,25,95.652173913
26,1,26,94.3119266055
27,1,27,62.1322147279
28,1,28,57.7675489068
29,1,29,63.6363636364
30,1,30,51.8987341772
31,1,31,47.6014285714
32,1,32,68.1
33,1,33,60.4
34,1,34,25
35,1,35,7.1428571429
36,1,36,16.0408665682
37,1,37,10
38,1,38,70.4086656819
39,1,39,92.297423575
40,1,40,93.6857562408
41,1,41,90.9090909091
42,1,42,87.5
43,1,43,75
44,1,44,100
45,2,1,60.1973986386
46,2,2,84.1558136232
47,2,3,100
48,2,4,100
49,2,5,100
50,2,6,55.5533333333
51,2,7,56.6666666667
52,2,8,50
53,2,9,86.4327173913
54,2,10,86.9565217391
55,2,11,77.5
56,2,12,90
57,2,13,84.1533333333
58,2,14,66.6666666667
59,2,15,90
60,2,16,100
61,2,17,41.2628668103
62,2,18,49.3745569153
63,2,19,87.1794871795
64,2,20,50
65,2,21,30
66,2,22,65.35
67,2,23,53.8720538721
68,2,24,33.1511767052
69,2,25,52.1739130435
70,2,26,14.128440367
71,2,27,60.1418599659
72,2,28,25.4315304948
73,2,29,9.0909090909
74,2,30,41.7721518987
75,2,31,48.3054285714
76,2,32,22.3
77,2,33,100
78,2,34,21.4285714286
79,2,35,25
80,2,36,15.8065268065
81,2,37,10
82,2,38,68.0652680653
83,2,39,92.274062208
84,2,40,95.154185022
85,2,41,89.3939393939
86,2,42,100
87,2,43,100
88,2,44,100
89,3,1,60.2909641441
90,3,2,63.0587331159
91,3,3,91.25
92,3,4,90
93,3,5,100
94,3,6,91.67
95,3,7,90
96,3,8,100
97,3,9,45.9135869565
98,3,10,34.7826086957
99,3,11,77.5
100,3,12,70
101,3,13,83.9116666667
102,3,14,83.3333333333
103,3,15,77.5
104,3,16,90
105,3,17,53.5730217879
106,3,18,50.7599247086
107,3,19,96.7948717949
108,3,20,50
109,3,21,30
110,3,22,70.46
111,3,23,42.4242424242
112,3,24,56.3861188672
113,3,25,91.3043478261
114,3,26,21.4678899083
115,3,27,67.4811554492
116,3,28,97.4683544304
117,3,29,100
118,3,30,94.9367088608
119,3,31,28.1497142857
120,3,32,46.8
121,3,33,36.5
122,3,34,0
123,3,35,3.5714285714
124,3,36,29.380952381
125,3,37,24.2857142857
126,3,38,75.2380952381
127,3,39,87.0811640635
128,3,40,78.7077826725
129,3,41,95.4545454545
130,3,42,95
131,3,43,100
132,3,44,90
133,4,1,75.8459694669
134,4,2,93.14476
135,4,3,98.75
136,4,4,100
137,4,5,90
138,4,6,77.7866666667
139,4,7,73.3333333333
140,4,8,100
141,4,9,100
142,4,10,100
143,4,11,100
144,4,12,100
145,4,13,80.4
146,4,14,50
147,4,15,100
148,4,16,100
149,4,17,65.4001689145
150,4,18,51.6898472028
