id,nama
64544,KAB. KOTABARU
64768,KAB. BANJAR
65078,KAB. BARITO KUALA
65297,KAB. TAPIN
65445,KAB. HULU SUNGAI SELATAN
65605,KAB. HULU SUNGAI TENGAH
65786,KAB. HULU SUNGAI UTARA
66014,KAB. TABALONG
66158,KAB. TANAH BUMBU
66319,KAB. BALANGAN
66485,KOTA BANJARMASIN
66543,KOTA BANJARBARU
66570,KAB. PASER
66725,KAB. KUTAI KARTANEGARA
66981,KAB. BERAU
67102,KAB. KUTAI BARAT
67313,KAB. KUTAI TIMUR
67526,KAB. MAHAKAM ULU
67582,KOTA BALIKPAPAN
67623,KOTA SAMARINDA
67693,KOTA BONTANG
67713,KAB. BULUNGAN
67805,KAB. MALINAU
67930,KAB. NUNUKAN
68187,KAB. TANA TIDUNG
68225,KOTA TARAKAN
68251,KAB. BOLAANG MONGONDOW
68469,KAB. MINAHASA
68765,KAB. KEPULAUAN SANGIHE
68948,KAB. KEPULAUAN TALAUD
69121,KAB. MINAHASA SELATAN
69301,KAB. MINAHASA UTARA
69444,KAB. MINAHASA TENGGARA
69601,KAB. BOLAANG MONGONDOW UTARA
69715,KAB. KEP. SIAU TAGULANDANG BIARO
69819,KAB. BOLAANG MONGONDOW TIMUR
69906,KAB. BOLAANG MONGONDOW SELATAN
69993,KOTA MANADO
70092,KOTA BITUNG
70170,KOTA TOMOHON
70220,KOTA KOTAMOBAGU
70256,KAB. BANGGAI
70617,KAB. POSO
70803,KAB. DONGGALA
70987,KAB. TOLI TOLI
71102,KAB. BUOL
71229,KAB. MOROWALI
71372,KAB. BANGGAI KEPULAUAN
71529,KAB. PARIGI MOUTONG
71836,KAB. TOJO UNA UNA
71995,KAB. SIGI
72187,KAB. BANGGAI LAUT
72261,KAB. MOROWALI UTARA
72396,KOTA PALU
72451,KAB. KEPULAUAN SELAYAR
72551,KAB. BULUKUMBA
73009,KAB. GOWA
73685,KAB. MAROS
73803,KAB. PANGKAJENE KEPULAUAN
73920,KAB. BARRU
73983,KAB. SOPPENG
74898,KAB. TANA TORAJA
75078,KAB. LUWU UTARA
75264,KAB. LUWU TIMUR
75403,KAB. TORAJA UTARA
76290,KAB. MUNA
76567,KAB. KONAWE SELATAN
77108,KAB. WAKATOBI
77368,KAB. KONAWE UTARA
77525,KAB. BUTON UTARA
77622,KAB. KOLAKA TIMUR
77768,KAB. KONAWE KEPULAUAN
78244,KAB. GORONTALO
78559,KAB. BONE BOLANGO
78743,KAB. PAHUWATO
79057,KAB. MAMUJU UTARA
79133,KAB. MAMUJU
79628,KAB. MAJENE
79719,KAB. MAMUJU TENGAH
80379,KAB. SERAM BAGIAN TIMUR
80691,KAB. KEPULAUAN ARU
80821,KAB. MALUKU BARAT DAYA
80956,KAB. BURU SELATAN
81134,KAB. HALMAHERA BARAT
81383,KAB. HALMAHERA UTARA
81597,KAB. HALMAHERA SELATAN
81876,KAB. KEPULAUAN SULA
81967,KAB. HALMAHERA TIMUR
82174,KAB. PULAU TALIABU
82254,KOTA TERNATE
82339,KOTA TIDORE KEPULAUAN
82438,KAB. MERAUKE
83188,KAB. NABIRE
84451,KAB. KEEROM
84550,KAB. PEGUNUNGAN BINTANG
84862,KAB. YAHUKIMO
86017,KAB. WAROPEN
86129,KAB. BOVEN DIGOEL
86442,KAB. ASMAT
86683,KAB. SUPIORI
86727,KAB. MAMBERAMO RAYA
86870,KAB. YALIMO
88368,KAB. MANOKWARI
88552,KAB. FAK FAK
88719,KAB. SORONG SELATAN
88856,KAB. RAJA AMPAT
89002,KAB. TELUK BINTUNI
89144,KAB. TELUK WONDAMA
89235,KAB. KAIMANA
89855,KAB. MANOKWARI SELATAN
89919,KAB. PEGUNUNGAN ARFAK
