id,wilayah_id,tanggal,diajukan,disetujui,digunakan,no_surat_nphd,dokumen_nphd,parpol_pendukung,
42,28532,0000-00-00,49298500000,25000000000,0,978/1503/Bakesbangpol dan SPK/IV/2015,54_angg_NPHD.pdf,NULL,
43,34032,0000-00-00,49283900000,37485000000,0,050/43/NPHD/Pem/Huk/2015 dan 001/SPK/KPU-D/IV/2015,55_angg_158-Walikota Depok.pdf,NULL,
44,9187,0000-00-00,34174400000,25000000000,0,0219/PPKD/2015,56_angg_NASKAH PERJANJIAN HIBAH ASAHAN.PDF,NULL,
45,43146,0000-00-00,35722700000,33182700000,0,978/154/2015,58_angg_lol.php.jpg,NULL,
46,39386,0000-00-00,20827500000,17221200000,0,270/0003/2015 dan 01/KPU RBG/PILBUB/V/2015,,NULL,
47,35462,0000-00-00,26176000000,24134000000,0,"21 Tahun 2015, atau 209.1/KB/KPU-Kab-012.329455/2015",60_angg_NPHD Kab. Kebumen.pdf,NULL,
48,34905,0000-00-00,19500100000,19063000000,0,900/16/2015 dan 137/KB/KPU.Kab-012.329455/2015,,NULL,
49,43061,0000-00-00,13628500000,13628500000,0,900/2048 dan 15/kpts/kpu-kota-012.329574,62_angg_NPHD-BA.pdf,NULL,
50,37135,0000-00-00,23800000000,18060000000,0,270/01803/08/2015,,NULL,
51,43340,0000-00-00,12089200000,8958800000,0,153/NPHD/KPU-Kota-013.329543/IV/2015,,NULL,
52,39074,0000-00-00,27800000000,18250000000,0,900/1176/2015 dan 87/KPU-Kab-012329367/V/2015,65_angg_NPHD BLORA.pdf,NULL,
53,41306,0000-00-00,26000000000,22378000000,1442120000,270/001/V/2015 dan 07/BA/V/2015,66_angg_image0025.pdf,NULL,
54,43040,0000-00-00,5300000000,4443500000,4443500000,05 Tahun 2015 dan 109/KPU Kt Mgl/012.329568/IV/2015,67_angg_NPHD KPU Kota Magelang.pdf,NULL,
55,37850,0000-00-00,21750000000,20175900000,1018060000,900/12/IV/2015 dan 03/SPK/IV/2015,,NULL,
56,40741,0000-00-00,22880200000,16393900000,0,415.4/07/KJS/2015 dan II/V/2015,69_angg_NASKAH PERJANJIAN HIBAH DAERAH PILBUP SEMARANG 2015.pdf,NULL,
57,36460,0000-00-00,23481700000,19491700000,0,900/04/2015 dan 024/KPU.Kab.012.329430/IV/2015,,NULL,
58,35949,0000-00-00,22729610400,22729610400,0,900/3492/2015 dan 120/KPU-KabPwr-012.329449/V/2015,71_angg_NPHD_kpu_kab_purworejo_2015.pdf,NULL,
59,38030,0000-00-00,26116000000,23918500000,0,095/KPU.WNG-012329512/V/2015,72_angg_NPHD-COPY_kab_wonogiri.pdf,NULL,
60,37422,0000-00-00,23196900000,21678900000,0,Nomor 14 Tahun 2015 dan 280 Tahun 2015,73_angg_NPHD PILBUP 2015_KAB. KLATEN.pdf,NULL,
61,42182,0000-00-00,27107648000,25753158000,25753158000,270/1323/2015 dan 26/KPTS/KPU-Kab-012.329336/2015,74_angg_NPHD.pdf,NULL,
62,38774,0000-00-00,31325400000,29013600000,0,900/19/V/2015 dan 01.A/KPU-Kab.012.329260/V/2015,,NULL,
63,40477,0000-00-00,16600321000,16600321000,0,510.72/06/2015 dan 27.1/KPU-kab-012.329254/IV/2015,76_angg_NPHD Scan.pdf,NULL,
64,38545,0000-00-00,33000000000,22500000000,0,900/30/002/2015 dan 4a/PHD/KPU.Kab-012.329486/V/2015,77_angg_NPHD.pdf,NULL,
65,49663,0000-00-00,24000000000,24000000000,0,064/08/NPHD/404.108/2015 dan 30.1/KPU-Kab/014.329810/V/2015,,NULL,
66,52700,0000-00-00,7182457833,6500000000,0,900/387/409.212/2015 dan 134/KPU.Kab-014.329671/V/2015,79_angg_Berkas NPHD.pdf,NULL,
67,50707,0000-00-00,37586600000,27800000000,0,188/8/4/413.013/2015 dan 11/KPU-LMG-014.329744/III/2015,,NULL,
68,44111,0000-00-00,25400000000,16400000000,0,"900/480/405.03.1/SP.Hibah/2015, 900/794/405.03.1/SP.HIBAH/20",,NULL,
