sumber,tanggal,judul,link,kind,tags
brain metro,8/17/2015,"Rasiyo Dan Dhimam Siap Lengkapi Semua Berkas, Rekom Dhimam Abror Aman",http://brainmetro.com/berita-rekom-dhimam-abror-aman.html,news,Rasiyo
brain metro,13-Aug-15,"Bahwa KPU Kota Surabaya Melanggar Undang-Undang, Koalisi Majapahit Tuntut Panwaslu Kota Surabaya segera keluarkan rekom",http://brainmetro.com/berita-koalisi-majapahit-tuntut-panwaslu-kota-surabaya-segera-keluarkan-rekom.html,news,
brain metro,13-Aug-15,"Terkait Rekomendasi Rasiyo Dan Dhimam Abror,Kpu dan Panwas berbeda pendapat",http://brainmetro.com/berita-kpu-dan-panwas-kota-surabaya-beda-pendapat.html,news,Rasiyo
suara surabaya,8/18/2015,KPU: Berdasarkan UU Dokumen Hasil Scan Adalah Alat Bukti yang Sah,http://politik.suarasurabaya.net/news/2015/157487-KPU:-Berdasarkan-UU-Dokumen-Hasil-Scan-Adalah-Alat-Bukti-yang-Sah,news,
suara surabaya,8/18/2015,Berkas Persyaratan PDIP untuk Risma-Wisnu Hampir Komplit,http://politik.suarasurabaya.net/news/2015/157483-Berkas-Persyaratan-PDIP-untuk-Risma-Wisnu-Hampir-Komplit,news,Risma
suara surabaya,8/18/2015,Berkas Dua Pasangan Calon Masih Belum Sesuai Persyaratan,http://politik.suarasurabaya.net/news/2015/157468-Berkas-Dua-Pasangan-Calon-Masih-Belum-Sesuai-Persyaratan,news,
suara surabaya,8/18/2015,Soekarwo Bantah Pasang Nurwiyatno untuk Menangkan Rasiyo,http://politik.suarasurabaya.net/news/2015/157456-Soekarwo-Bantah-Pasang-Nurwiyatno-untuk-Menangkan-Rasiyo,news,Rasiyo
suara surabaya,8/18/2015,PKS: Pilwali Surabaya Nodai Konstitusi,http://politik.suarasurabaya.net/news/2015/157449-PKS:-Pilwali-Surabaya-Nodai-Konstitusi,news,
suara surabaya,8/18/2015,"Besok, MK Sidangkan Gugatan PDIP Soal Calon Tunggal","http://politik.suarasurabaya.net/news/2015/157472-Besok,-MK-Sidangkan-Gugatan-PDIP-Soal-Calon-Tunggal",news,
suara surabaya,8/18/2015,Soekarwo Bantah Pasang Nurwiyatno untuk Menangkan Rasiyo,http://politik.suarasurabaya.net/news/2015/157456-Soekarwo-Bantah-Pasang-Nurwiyatno-untuk-Menangkan-Rasiyo,news,Rasiyo
detik news,8/18/2015,KPU: Berkas Dua Bakal Calon Pilkada Surabaya Belum Lengkap,http://news.detik.com/berita/2995032/kpu-berkas-dua-bakal-calon-pilkada-surabaya-belum-lengkap,news,
jawa pos,8/18/2015,"Perppu Tak Diperlukan, Lebih Baik Pilkada Dimundurkan",http://www.jawapos.com/read/2015/08/18/967/perppu-tak-diperlukan-lebih-baik-pilkada-dimundurkan,news,
jawa pos,11-Aug-15,Demokrat Siapkan Penantang Risma di Pilkada Surabaya,http://www.jawapos.com/read/2015/08/11/704/-demokrat-siapkan-penantang-risma-di-pilkada-surabaya,news,Risma
jpnn,8/13/2015,Berkas Rasiyo-Dhimam Masih Memungkinkan untuk Diperbaiki,http://www.jpnn.com/read/2015/08/13/320370/Berkas-Rasiyo-Dhimam-Masih-Memungkinkan-untuk-Diperbaiki-,news,Rasiyo
jpnn,11-Aug-15,"Jadi Penantang Risma, Rasiyo-Abror Sudah Lengkapi Berkas di KPU Surabaya","http://www.jpnn.com/read/2015/08/11/319944/Jadi-Penantang-Risma,-Rasiyo-Abror-Sudah-Lengkapi-Berkas-di-KPU-Surabaya-",news,Risma
jpnn,12-Aug-15,KPU Legalkan Surat Dukungan Hasil Pemindaian untuk Penantang Risma,http://www.jpnn.com/read/2015/08/12/320012/KPU-Legalkan-Surat-Dukungan-Hasil-Pemindaian-untuk-Penantang-Risma-,news,Risma
jpnn,11-Aug-15,"Pilkada Surabaya Bakal Selamat, Tiga Partai Malah Menggugat","http://www.jpnn.com/read/2015/08/11/319916/Pilkada-Surabaya-Bakal-Selamat,-Tiga-Partai-Malah-Menggugat-",news,
surabaya kita,8/18/2015,Besok PAN Akan Serahkan Rekomnya Untuk Rasiyo - Abror,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10250:besok-pan-akan-serahkan-rekomnya-untuk-rasiyo-abror&catid=29:politik&Itemid=47,news,Rasiyo
Pojok pitu,8/19/2015,"Berkas Risma Wisnu Sakti, Klir",http://pojokpitu.com/baca.php?idurut=12666&&top=1&&ktg=&&keyrbk=Pilkada&&keyjdl=pilkada%20surabaya,news,Risma
Pojok pitu,8/18/2015,"Demokrat - Pan Bakal Hengkang, Ah.Toni kami masih solit",http://pojokpitu.com/baca.php?idurut=12653&&top=1&&ktg=Jatim&&keyrbk=Pilkada&&keyjdl=Rekom%20demokrat,news,
cakrawala news,8/10/2015,"Soal surat edaran itu,KPU siap disengketakan",http://cakrawalanews.co/2015/08/10/soal-surat-edaran-itu-kpu-siap-disengketakan/,news,
cakrawala news,8/10/2015,"Demokrat - Pan Bermanver, Koalisi  majapahit pastikan menarik diri",http://cakrawalanews.co/2015/08/10/demokrat-pan-bermanuver-koalisi-majapahit-pastikan-menarik-diri/,news,
cakrawala news,8/9/2015,Dhiman Abror Akui tak punya pilihan,http://cakrawalanews.co/2015/08/09/dhimam-abror-akui-tak-punya-pilihan/,news,
cakrawala news,8/11/2015,Akhirnya Rasio lawanya Risma,http://cakrawalanews.co/2015/08/11/akhirnya-rasiyo-lawannya-risma/,news,Risma
lensa indonesia,8/19/2015,KPU Surabaya nyatakan rekom scan PAN untuk Rasiyo-Dhimam Abror sah,http://www.lensaindonesia.com/2015/08/18/kpu-surabaya-nyatakan-rekom-scan-pan-untuk-rasiyo-dhimam-abror-sah.html,news,Rasiyo
lensa indonesia,8/18/2015,PKS ogah dukung Rasiyo-Dhimam Abror dalam Pilwali Surabaya 2015,http://www.lensaindonesia.com/2015/08/18/pks-ogah-dukung-rasiyo-dhimam-abror-dalam-pilwali-surabaya-2015.html#r=bacajuga,news,Rasiyo
lensa indonesia,8/18/2015,Soekarwo siapkan mesin politik dukung Rasiyo-Dhimam Abror,http://www.lensaindonesia.com/2015/08/18/soekarwo-siapkan-mesin-politik-dukung-rasiyo-dhimam-abror.html#r=bacajuga,news,Rasiyo
harian bhirawa,12-Aug-15,Pakde Karwo Optimistis Rasiyo Menangi Pilkada Surabaya,http://harianbhirawa.co.id/2015/08/pakde-karwo-optimistis-rasiyo-menangi-pilkada-surabaya/,news,Rasiyo
harian bhirawa,8/18/2015,"KPU Merujuk UU ITE, Dokumen Hasil Scan Adalah Alat Bukti yang Sah",http://harianbhirawa.co.id/2015/08/kpu-merujuk-uu-ite-dokumen-hasil-scan-adalah-alat-bukti-yang-sah/,news,
radar surabaya,8/20/2015,KPU Slintutan Terima Rekom PAN,http://www.radarsby.com/radarsurabaya%20pdf/1.pdf,news,
suara surabaya,8/19/2015,MK Minta PDIP Surabaya Perbaiki Materi Gugatan,http://politik.suarasurabaya.net/news/2015/157559-MK-Minta-PDIP-Surabaya-Perbaiki-Materi-Gugatan-,news,
suara surabaya,8/19/2015,Koalisi Majapahit: Penerimaan Rekom Asli Rasiyo-Abror Tambah Jumlah Pelanggaran KPU,http://politik.suarasurabaya.net/news/2015/157545-Koalisi-Majapahit:-Penerimaan-Rekom-Asli-Rasiyo-Abror-Tambah-Jumlah-Pelanggaran-KPU,news,Rasiyo
suara surabaya,8/19/2015,Koalisi Majapahit Adukan Pendaftaran Paslon Surabaya ke Komisi II DPR RI,http://politik.suarasurabaya.net/news/2015/157543-Koalisi-Majapahit-Adukan-Pendaftaran-Paslon-Surabaya-ke-Komisi-II-DPR-RI,news,
suara surabaya,8/19/2015,"Rekomendasi PAN Diterima KPU, Bukti Fisik Masih Misterius","http://politik.suarasurabaya.net/news/2015/157541-Rekomendasi-PAN-Diterima-KPU,-Bukti-Fisik-Masih-Misterius",news,
suara surabaya,8/19/2015,Soekarwo Memastikan Keaslian Surat Rekomendasi PAN untuk Rasiyo-Dhimam,http://politik.suarasurabaya.net/news/2015/157529-Soekarwo-Memastikan-Keaslian-Surat-Rekomendasi-PAN-untuk-Rasiyo-Dhimam,news,Rasiyo
suara surabaya,8/19/2015,PAN Serahkan Rekomendasi Rasiyo-Dhimam Abror ke KPU,http://politik.suarasurabaya.net/news/2015/157525-PAN-Serahkan-Rekomendasi-Rasiyo-Dhimam-Abror-ke-KPU,news,Rasiyo
suara publik,8/19/2015,"Akui Rasiyo-Abror Kompetitif, PDIP Surabaya Tetap Targetkan 90% Suara",http://www.suarapubliknews.net/politik/item/3668-akui-rasiyo-abror-kompetitif-pdip-surabaya-tetap-targetkan-90-suara,news,Rasiyo
suara publik,8/19/2015,Koalisi Majapahit Adukan KPU Surabaya ke DPR RI,http://www.suarapubliknews.net/politik/item/3666-koalisi-majapahit-adukan-kpu-surabaya-ke-dpr-ri,news,
suara publik,8/19/2015,Penyerahan Bukti Rekom PAN ke KPU Surabaya Masih Mencurigakan,http://www.suarapubliknews.net/politik/item/3665-penyerahan-bukti-rekom-pan-ke-kpu-surabaya-masih-mencurigakan,news,
surabaya news,8/19/2015,Pengamat: PAN Tidak akan Bermain-Main dengan Rekomendasi Abror,http://surabayanews.co.id/2015/08/19/32756/pengamat-pan-tidak-akan-bermain-main-dengan-rekomendasi-abror.html,news,
surabaya news,8/19/2015,KPU Harus Terbuka Kepada Masyarakat Terkait Misteri Rekom PAN,http://surabayanews.co.id/2015/08/19/32749/kpu-harus-terbuka-kepada-masyarakat-terkait-misteri-rekom-pan.html,news,
surabaya news,8/19/2015,Koalisi Demokrat-PAN Bantah Sengaja Hambat Pilwali Surabaya 2015,http://surabayanews.co.id/2015/08/19/32739/koalisi-demokrat-pan-bantah-sengaja-hambat-pilwali-surabaya-2015.html,news,
surabaya news,8/19/2015,KPU : Rekom Scan Tidak Menyalahi Aturan,http://surabayanews.co.id/2015/08/19/32718/kpu-rekom-scan-tidak-menyalahi-aturan.html,news,
surabaya news,8/19/2015,Demokrat Nilai Rekom Rasiyo-Abror Baru Dibuat Beberapa Hari Ini,http://surabayanews.co.id/2015/08/19/32751/demokrat-nilai-rekom-rasiyo-abror-baru-dibuat-beberapa-hari-ini.html,news,Rasiyo
suarabaya kita,8/19/2015,"PAN Serahkan Rekom, KPU Tak Transparan",http://www.surabayakita.com/index.php?option=com_content&view=article&id=10252:pan-serahkan-rekom-kpu-tak-transparan&catid=29:politik&Itemid=47,news,
kabar surabaya,8/19/2015,"Pemutakhiran Data Pemilih dan Coklit, Selesai Dilakukan",http://kabarsurabaya.com/?p=3463,news,
cakrawala news,8/19/2015,Kpu Surabaya Belum mau tunjukan bukti rekom,http://cakrawalanews.co/2015/08/19/kpu-surabaya-belum-mau-tunjukkan-bukti-rekom/,news,
Pojok pitu,8/19/2015,"Pengurus Nasdem versi Zainal protes , Awey : salah alamat",http://pojokpitu.com/baca.php?idurut=12715&&top=1&&ktg=Jatim&&keyrbk=Politik&&keyjdl=nasdem%20pecah,news,
Pojok pitu,8/20/2015,Demokrat - PAN siapkan tim pemenangan Rasio - Dhiman Abror,http://pojokpitu.com/baca.php?idurut=12741&&top=1&&ktg=&&keyrbk=Pilkada&&keyjdl=pilkada%20surabaya,news,
liputan 6,3-Aug-15,PDIP: Calon Tunggal Bukan Alasan Tunda Pilkada Serentak 2015,http://m.liputan6.com/pilkada-serentak-2015/read/2285214/pdip-calon-tunggal-bukan-alasan-tunda-pilkada-serentak-2015,news,
detik news,"16 Aug 2015,",Apa Kabar Surat Rekomendasi Asli untuk Rasiyo-Dhimam Abror?,http://news.detik.com/berita-jawa-timur/2993293/apa-kabar-surat-rekomendasi-asli-untuk-rasiyo-dhimam-abror,news,Rasiyo
jawa pos,"11 Aug 2015,","Pilwali Surabaya, Muncul Dua Pasangan Baru,Rasiyo - Abror dan syamsul warsito hari ini daftar",http://www2.jawapos.com/baca/artikel/21446/Pilwali-Surabaya-Muncul-Dua-Pasangan-Baru,news,Rasiyo
kompas,21-Aug-15,Edaran Bawaslu Tanpa Rujukan Hukum,http://nasional.kompas.com/read/2015/08/21/15000021/Edaran.Bawaslu.Tanpa.Rujukan.Hukum,news,
suara surabaya,21-Aug-15,Massa Segel Kantor KPU Surabaya,http://politik.suarasurabaya.net/news/2015/157657-Massa-Segel-Kantor-KPU-Surabaya,news,
suara surabaya,20-Aug-15,"KPU: Soal Surat Rekomendasi PAN, Kami Tidak Menutup-Nutupi","http://politik.suarasurabaya.net/news/2015/157623-KPU:-Soal-Surat-Rekomendasi-PAN,-Kami-Tidak-Menutup-Nutupi-",news,
suara surabaya,20-Aug-15,SK Pensiun Risma Belum Diserahkan ke KPU Kota Surabaya,http://politik.suarasurabaya.net/news/2015/157620-SK-Pensiun-Risma-Belum-Diserahkan-ke-KPU-Kota-Surabaya,news,Risma
suara surabaya,24-Aug-15,Penelitian Berkas Paslon di KPU Surabaya Molor,http://politik.suarasurabaya.net/news/2015/157793-Penelitian-Berkas-Paslon-di-KPU-Surabaya-Molor,news,
suara surabaya,23-Aug-15,KPU dan Panwaslu Saling Tunggu Teliti Hasil Perbaikan Berkas Paslon,http://politik.suarasurabaya.net/news/2015/157761-KPU-dan-Panwaslu-Saling-Tunggu-Teliti-Hasil-Perbaikan-Berkas-Paslon,news,
suara surabaya,22-Aug-15,"Besok, KPU Mulai Verifikasi Berkas Perbaikan Pasangan Calon","http://politik.suarasurabaya.net/news/2015/157727-Besok,-KPU-Mulai-Verifikasi-Berkas-Perbaikan-Pasangan-Calon",news,
suara surabaya,20-Aug-15,"Coklit DPS Selesai, KPU Surabaya Minta Masyarakat Aktif","http://politik.suarasurabaya.net/news/2015/157608-Coklit-DPS-Selesai,-KPU-Surabaya-Minta-Masyarakat-Aktif",news,
suara surabaya,24-Aug-15,Tim Risma Masih Yakin Kalahkan Rasiyo,http://politik.suarasurabaya.net/news/2015/157784-Tim-Risma-Masih-Yakin-Kalahkan-Rasiyo,news,Risma
suara publik,19-Aug-15,Koalisi Majapahit Adukan KPU Surabaya ke DPR RI,http://suarapubliknews.net/politik/item/3666-koalisi-majapahit-adukan-kpu-surabaya-ke-dpr-ri,news,
suara publik,23-Aug-15,KPU dan Panwaslu Surabaya Lakukan Validasi Berkas 2 Paslon,http://suarapubliknews.net/pemerintahan/item/3684-kpu-dan-panwaslu-surabaya-lakukan-validasi-berkas-2-paslon,news,
sindo news,23-Aug-15,KPU Segera Tetapkan Calon Kepala Daerah,http://nasional.sindonews.com/read/1036166/12/kpu-segera-tetapkan-calon-kepala-daerah-1440333773,news,
sindo news,22-Aug-15,Irman: Bawaslu Tidak Mutlak Harus Tunduk pada KPU,http://nasional.sindonews.com/read/1035673/12/irman-bawaslu-tidak-mutlak-harus-tunduk-pada-kpu-1440170733,news,
sindo news,23-Aug-15,Lima Pihak Bisa Jadi Biang Kerok Konflik Pilkada,http://nasional.sindonews.com/read/1036141/12/lima-pihak-bisa-jadi-biang-kerok-konflik-pilkada-1440325317,news,
kompas,22-Aug-15,"Risma: Mau Jadi Kek, Mau Enggak Jadi, Itu Bukan Urusan Saya",http://regional.kompas.com/read/2015/08/22/18150021/Risma.Mau.Jadi.Kek.Mau.Enggak.Jadi.Itu.Bukan.Urusan.Saya?utm_campaign=related_left&utm_medium=bp&utm_source=news,news,Risma
lensa indonesia,23-Aug-15,"KPU belum bisa sahkan Calon Pilkada Surabaya, Pacitan, Samarinda",http://www.lensaindonesia.com/2015/08/23/kpu-belum-bisa-sahkan-calon-pilkada-surabaya-pacitan-samarinda.html,news,
lensa indonesia,23-Aug-15,"Jangan ngamuk dijalanan, KPU endus potensi konflik tahapan Pilkada",http://www.lensaindonesia.com/2015/08/23/jangan-ngamuk-dijalanan-kpu-endus-potensi-konflik-tahapan-pilkada.html#r=bacajuga,news,
lensa indonesia,21-Aug-15,JPN: Sidang perdana gugatan Koalisi Majapahit digelar 25 Agustus,http://www.lensaindonesia.com/2015/08/21/jpn-sidang-perdana-gugatan-koalisi-majapahit-digelar-25-agustus.html#r=bacajuga,news,
lensa indonesia,21-Aug-15,PKS Jatim bantah beri rekomendasi ke Dhimam Abror,http://www.lensaindonesia.com/2015/08/21/pks-jatim-bantah-beri-rekomendasi-ke-dhimam-abror.html,news,
lensa indonesia,22-Aug-15,"Besok, KPU Surabaya teliti berkas Cawali-Cawawali",http://www.lensaindonesia.com/2015/08/22/besok-kpu-surabaya-teliti-berkas-pasangan-cawali-cawawali.html#r=bacajuga,news,
lensa indonesia,23-Aug-15,KPU kembali dipertanyakan tunda Pilkada berdalih calon tunggal. Budayawan : Buat apa dipaksakan lawan Risma kalau tahu kalah,http://www.lensaindonesia.com/2015/08/23/budayawan-buat-apa-dipaksakan-lawan-risma-kalau-tahu-kalah.html#r=bacajuga,news,Risma
lensa indonesia,22-Aug-15,Pasangan Cawali-Cawawali Risma-Wisnu lengkapi berkas pencalonan,http://www.lensaindonesia.com/2015/08/22/pasangan-cawali-cawawali-risma-wisnu-lengkapi-berkas-pencalonan.html#r=bacajuga,news,Risma
berita jatim,23-Aug-15,Panwas: Berkas Risma-Whisnu dan Rasiyo-Abror Lengkap,http://beritajatim.com/politik_pemerintahan/245948/panwas:_berkas_risma-whisnu_dan_rasiyo-abror_lengkap.html#.Vdqh3PDqeM8,news,Risma
berita jatim,22-Aug-15,Tim Risma-Wishnu: Pasangan Rasiyo-Abror Lawan yang Tangguh,http://beritajatim.com/politik_pemerintahan/245864/tim_risma-wishnu:_pasangan_rasiyo-abror_lawan_yang_tangguh.html#.VdqiPPDqeM8,news,Risma
berita jatim,22-Aug-15,"Besok, KPU Teliti Berkas Pasangan Calon Pilkada Surabaya","http://beritajatim.com/politik_pemerintahan/245850/besok,_kpu_teliti_berkas_pasangan_calon_pilkada_surabaya.html#.VdqibfDqeM8",news,
berita jatim,24-Aug-15,"Cek Rekom Pilwali Surabaya, KPU Minta Bantuan Polisi","http://beritajatim.com/politik_pemerintahan/245985/cek_rekom_pilwali_surabaya,_kpu_minta_bantuan_polisi.html#.VdrTkfDqeM8",news,
antara jatim,23-Aug-15,KPU Surabaya Teliti SK Pensiun Risma dan Rekomendasi Rasiyo-Abror,http://www.antarajatim.com/berita/163100/kpu-surabaya-teliti-sk-pensiun-risma-dan-rekomendasi-rasiyo-abror?utm_source=fly&utm_medium=related&utm_campaign=news,news,Risma
antara jatim,23-Aug-15,KPU Surabaya Teliti SK Pensiun Risma dan Rekomendasi Rasiyo-Abror,http://www.antarajatim.com/berita/163100/kpu-surabaya-teliti-sk-pensiun-risma-dan-rekomendasi-rasiyo-abror?utm_source=fly&utm_medium=related&utm_campaign=news,news,Risma
antara jatim,19-Aug-15,Penyerahan Rekomendasi Cawali-Cawawali Surabaya Rasiyo-Abror Tidak Transparan,http://www.antarajatim.com/berita/162864/penyerahan-rekomendasi-cawali-cawawali-surabaya-rasiyo-abror-tidak-transparan?utm_source=related_news&utm_medium=related&utm_campaign=news,news,Rasiyo
antara jatim,19-Aug-15,Penyerahan Rekomendasi Cawali-Cawawali Surabaya Rasiyo-Abror Tidak Transparan,http://www.antarajatim.com/berita/162864/penyerahan-rekomendasi-cawali-cawawali-surabaya-rasiyo-abror-tidak-transparan?utm_source=fly&utm_medium=related&utm_campaign=news,news,Rasiyo
antara jatim,21-Aug-15,Dua Pasangan Cawali-Cawawali Surabaya Lengkapi Berkas,http://www.antarajatim.com/berita/163010/dua-pasangan-cawali-cawawali-surabaya-lengkapi-berkas?utm_source=fly&utm_medium=related&utm_campaign=news,news,
Suara surabaya,25-Aug-15,KPU Nyatakan 765 Pasangan Calon Pilkada Penuhi Syarat,http://politik.suarasurabaya.net/news/2015/157828-KPU-Nyatakan-765-Pasangan-Calon-Pilkada-Penuhi-Syarat,news,
berita jatim,25-Aug-15,PDIP Surabaya Pastikan Gugatan MK Terhadap PKPU,http://beritajatim.com/politik_pemerintahan/246061/pdip_surabaya_pastikan_gugatan_mk_terhadap_pkpu.html#.VdvgdPDqeM8,news,
antara jatim,24-Aug-15,PAN Optimistis Rekomendasi Rasiyo-Abror Lolos Uji Forensik,http://www.antarajatim.com/lihat/berita/163163/pan-optimistis-rekomendasi-rasiyo-abror-lolos-uji-forensik,news,Rasiyo
antara jatim,24-Aug-15,Tim Risma-Whisnu : Uji Forensik Berkas Cawali-Cawawali Surabaya Berlebihan,http://www.antarajatim.com/berita/163155/tim-risma-whisnu--uji-forensik-berkas-cawali-cawawali-surabaya-berlebihan?utm_source=fly&utm_medium=related&utm_campaign=news,news,Risma
kompas,25-Aug-15,Penetapan Calon Pilkada Surabaya dan 2 Daerah Lain Diumumkan 30 Agustus,http://nasional.kompas.com/read/2015/08/25/04020061/Penetapan.Calon.Pilkada.Surabaya.dan.2.Daerah.Lain.Diumumkan.30.Agustus,news,
 harian merdeka ,25-Aug-15,KPU Surabaya akan libatkan Polda Jatim verifikasi berkas Pilkada,http://www.merdeka.com/peristiwa/kpu-surabaya-akan-libatkan-polda-jatim-verifikasi-berkas-pilkada.html,news,
Suara surabaya,25-Aug-15,KPU Surabaya Lempar Bola Panas Rekom PAN ke Panwas,http://politik.suarasurabaya.net/news/2015/157892-KPU-Surabaya-Lempar-Bola-Panas-Rekom-PAN-ke-Panwas,news,
Suara surabaya,25-Aug-15,"KPU Gelar Pleno, Perlukah Uji Forensik Berkas Rekomendasi Rasiyo-Abror?","http://politik.suarasurabaya.net/news/2015/157874-KPU-Gelar-Pleno,-Perlukah-Uji-Forensik-Berkas-Rekomendasi-Rasiyo-Abror?",news,Rasiyo
detik com,24-Aug-15,Penelitian Berkas Paslon Pilkada Surabaya Libatkan Mabes Polri,http://news.detik.com/jawatimur/2999558/penelitian-berkas-paslon-pilkada-surabaya-libatkan-mabes-polri,news,
berita jatim,24-Aug-15,Panwas Surabaya: Gandeng Labfor Polda Jatim Alternatif Terakhir,http://beritajatim.com/politik_pemerintahan/246113/panwas_surabaya:_gandeng_labfor_polda_jatim_alternatif_terakhir.html#.Vd0z3_DqeM8,news,
kabar gress,24-Aug-15,KPU Akan Lakukan Uji Forensik Paslon Rasiyo-Dhimam Abror,http://kabargress.com/2015/08/24/kpu-akan-lakukan-uji-forensik-paslon-rasiyo-dhimam-abror/,news,Rasiyo
Suara surabaya,26-Aug-15,KPU-Panwaslu Masih Kaji Perlu Tidaknya Libatkan Labfor Polda,http://politik.suarasurabaya.net/news/2015/157942-KPU-Panwaslu-Masih-Kaji-Perlu-Tidaknya-Libatkan-Labfor-Polda,news,
Suara surabaya,26-Aug-15,Polda Tunggu Laporan Keaslian Rekomendasi Paslon Surabaya,http://kelanakota.suarasurabaya.net/news/2015/157937-Polda-Tunggu-Laporan-Keaslian-Rekomendasi-Paslon-Surabaya-,news,
detik com,26-Aug-15,Berapa Dana Kampanye Risma dan Rasiyo? Ini Penjelasan Tim Sukses,http://news.detik.com/jawatimur/3001714/berapa-dana-kampanye-risma-dan-rasiyo-ini-penjelasan-tim-sukses,news,Risma
sindo news,27-Aug-15,"Kampanye Pilkada Dimulai, Ini yang Perlu Diperhatikan Pasangan Calon",http://nasional.sindonews.com/read/1037650/12/kampanye-pilkada-dimulai-ini-yang-perlu-diperhatikan-pasangan-calon-1440655005,news,
sindo news,27-Aug-15,DPR Ingatkan KPU Tak Pandang Bulu,http://nasional.sindonews.com/read/1037198/12/dpr-ingatkan-kpu-tak-pandang-bulu-1440558455,news,
antara jatim,25-Aug-15,NasDem Bantah Kampanye Hitam Jelang Pilkada Surabaya,http://www.antarajatim.com/lihat/berita/163247/nasdem-bantah-kampanye-hitam-jelang-pilkada-surabaya,news,
suara publik,26-Aug-15,"Untuk Nilai Rekom PAN, Tak Perlu Tim Forensik, Cukup Tukang Becak Saja",http://suarapubliknews.net/politik/item/3706-untuk-nilai-rekom-pan-tak-perlu-tim-forensik-cukup-tukang-becak-saja,news,
surabaya news,23-Aug-15,"Tak Tegas, KPU Akar Masalah Polemik Pilwali Surabaya",http://surabayanews.co.id/2015/08/23/33328/tak-tegas-kpu-akar-masalah-polemik-pilwali-surabaya.html,news,
surabaya news,26-Aug-15,Uji Forensik Dinilai Perlu untuk Memastikan Keabsahan Rekom,http://surabayanews.co.id/2015/08/26/33735/uji-forensik-dinilai-perlu-untuk-memastikan-keabsahan-rekom%E2%80%A8.html,news,
surabaya news,26-Aug-15,Uji Forensik Dinilai Terlalu Berlebihan,http://surabayanews.co.id/2015/08/26/33737/uji-forensik-dinilai-terlalu-berlebihan.html,news,
surabaya news,26-Aug-15,KPU: Uji Forensik Alternatif Terakhir,http://surabayanews.co.id/2015/08/26/33742/kpu-uji-forensik-alternatif-terakhir.html,news,
surabaya kita,26-Aug-15,Komisioner KPU Surabaya Diminta Mundur,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10273:komisioner-kpu-surabaya-diminta-mundur&catid=29:politik&Itemid=47,news,
surabaya kita,26-Aug-15,Rasiyo Tolak Wacana Uji Forensik Surat Rekom,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10275:rasiyo-tolak-wacana-uji-forensik-surat-rekom&catid=29&Itemid=47,news,Rasiyo
Suara surabaya,27-Aug-15,Rasiyo-Dhimam Segera Menghadap SBY,http://politik.suarasurabaya.net/news/2015/158013-Rasiyo-Dhimam-Segera-Menghadap-SBY,news,Rasiyo
Suara surabaya,27-Aug-15,"Dikejar Deadline, Komisioner KPU Surabaya Bagi Tugas","http://politik.suarasurabaya.net/news/2015/158009-Dikejar-Deadline,-Komisioner-KPU-Surabaya-Bagi-Tugas",news,
suara publik,27-Aug-15,KPU : Pilkada Surabaya Bisa Saja Tertunda 2017,http://suarapubliknews.net/politik/item/3711-kpu--pilkada-surabaya-bisa-saja-tertunda-2017,news,
suara publik,27-Aug-15,"Berkas Abror Bermasalah, Pilkada Surabaya 2015 Diujung Tanduk",http://suarapubliknews.net/politik/item/3710-berkas-abror-bermasalah-pilkada-surabaya-2015-diujung-tanduk,news,
antara jatim,27-Aug-15,Hubungan Abror-PAN Renggang Jelang Pilkada Surabaya,http://www.antarajatim.com/berita/163360/hubungan-abror-pan-renggang-jelang-pilkada-surabaya?utm_source=fly&utm_medium=related&utm_campaign=news,news,
antara jatim,27-Aug-15,Panwaslu Surabaya Minta KPU Lakukan Verifikasi Faktual Berkas Abror,http://www.antarajatim.com/lihat/berita/163347/panwaslu-surabaya-minta-kpu-lakukan-verifikasi-faktual-berkas-abror,news,
antara jatim,27-Aug-15,Cawawali Surabaya Abror Jelaskan Perbedaan Tanda Tangan,http://www.antarajatim.com/berita/163356/cawawali-surabaya-abror-jelaskan-perbedaan-tanda-tangan?utm_source=fly&utm_medium=related&utm_campaign=news,news,
antara jatim,28-Aug-15,PDIP Surabaya Optimistis KPU-Panwaslu Kedepankan Verifikasi Substantif,http://www.antarajatim.com/berita/163415/pdip-surabaya-optimistis-kpu-panwaslu-kedepankan-verifikasi-substantif?utm_source=fly&utm_medium=related&utm_campaign=news,news,
antara jatim,28-Aug-15,PAN Surabaya Siapkan Pengganti Abror Jika TMS,http://www.antarajatim.com/berita/163406/pan-surabaya-siapkan-pengganti-abror-jika-tms?utm_source=related_news&utm_medium=related&utm_campaign=news,news,
surabaya kita,27-Aug-15,KPU Verifikasi Surat Rekom Ke DPP PAN,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10280:kpu-verifikasi-surat-rekom-ke-dpp-pan&catid=29:politik&Itemid=47,news,
Suara surabaya,26-Aug-15,KPU : Sah Tidaknya Rasiyo-Dhimam di Tangan KPU Surabaya,http://politik.suarasurabaya.net/news/2015/157939-KPU-:-Sah-Tidaknya-Rasiyo-Dhimam-di-Tangan-KPU-Surabaya,news,Rasiyo
