kategori,tanggal,judul,deskripsi,page_url,,,
M.K.D.,13 Januari 2016,Wakil Ketua MKD Kahar Muzakir Digantikan Saiful Bahri Ruray,Wakil Ketua DPR-RI Fahri Hamzah meresmikan pergatian keanggotaan Mahkamah Kehormatan Dewan (MKD) dari Fraksi Partai Golongan Karya (FPG) Kahar Muzakir...,http://dpr.go.id/berita/detail/id/11963,,,
KOMISI VIII,13 Januari 2016,"Jika Meresahkan Masyarakat, Ijin Ormas Harus Dicabut","Mencuatnya kasus dr Rica yang menghilang akibat mengikuti ormas (organisasi massa) Gafatar menurut Wakil Ketua Komisi VIII DPR RI, Sodik...",http://dpr.go.id/berita/detail/id/11962,,,
KOMISI II,12 Januari 2016,Komisi II Uji Kelayakan Anggota ORI 18 s/d 20 Januari,Komisi II DPR akan melaksanakan uji kepatutan dan kelayakan (fit and proper test) terhadap 18 calon anggota Ombudsman RI (ORI)...,http://dpr.go.id/berita/detail/id/11961,,,
KOMISI II,12 Januari 2016,Warga Negara Berhak Mendapatkan Pelayanan Publik Secara Baik,"Negara memiliki kewajiban untuk melayani setiap warga negara dan penduduk, guna memenuhi hak dan kebutuhan dasarnya dalam kerangka pelayanan publik...",http://dpr.go.id/berita/detail/id/11960,,,
KOMISI VI,12 Januari 2016,Fungsi Pengawasan Masih Lemah,"Ketua Komisi VI DPR, Hafisz Tohir menilai, fungsi pengawasan untuk keamanan bagasi penumpang masih lemah. Hal ini terkait pencurian bagasi...",http://dpr.go.id/berita/detail/id/11959,,,
PIMPINAN,12 Januari 2016,Fahri Hamzah Tidak Bisa Dilengserkan Begitu Saja,"Menurut Undang-Undang MPR, DPR, DPD, dan DPRD (MD3) pasal 87 ayat 1 diatur soal syarat pemberhentian seorang pimpinan DPR. Kemudian...",http://dpr.go.id/berita/detail/id/11958,,,
LAIN-LAIN,12 Januari 2016,Serah Terima Pertanggungjawaban Ketua PIA DPR-RI,"Semoga anggota PIA (Persaudaraan Isteri Anggota) tetap kompak, dan silaturahim tetap terjalin dengan baik. Hal itulah yang sama-sama menjadi harapan...",http://dpr.go.id/berita/detail/id/11957,,,
PIMPINAN,12 Januari 2016,Selandia Baru Harapkan Kerjasama Pertanian dengan Indonesia,New Zealand atau Selandia baru berharap dapat bekerjasama dengan Indonesia dalam bidang Pertanian. Hal tersebut menjadi salah satu topik yang...,http://dpr.go.id/berita/detail/id/11956,,,
KOMISI V,12 Januari 2016,Anggota Dewan pun Jadi Korban Pencurian Bagasi,"Terungkapnya sejumlah sindikat pencurian bagasi penumpang yang dilakukan oleh pekerja Porter di Bandara Soekarno-Hatta (Soetta), Tangerang, cukup mencuri perhatian dari...",http://dpr.go.id/berita/detail/id/11955,,,
PARIPURNA,12 Januari 2016,DPR Harus Lebih Produktif Lagi,"Ketua DPR RI yang baru dilantik, Ade Komarudin menilai, kinerja legislasi DPR selama setahun kurang produktif. Mengingat, DPR hanya mengesahkan...",http://dpr.go.id/berita/detail/id/11954,,,
KOMISI II,12 Januari 2016,Komisi II Gelar Jumpa Pers Terkait Uji Kelayakan Anggota Ombudsman,"Komisi II DPR RI mengundang wartawan untuk Konferensi Pers mengenai Uji Kelayakan dan Kepatutan Anggota Ombudsman, pada Selasa (12/1) pukul...",http://dpr.go.id/berita/detail/id/11953,,,
PIMPINAN,11 Januari 2016,Ketua DPR Baru Segera Benahi Fungsi Dewan,"Ketua DPR RI yang baru saja dilantik Ade Komaruddin bertekad akan segera membenahi fungsi dewan, baik legislasi, anggaran, dan pengawasan....",http://dpr.go.id/berita/detail/id/11952,,,
PARIPURNA,11 Januari 2016,Ade Komarudin Dilantik Menjadi Ketua DPR,"Politisi Fraksi Partai Golkar, Ade Komarudin (A-261) secara resmi dilantik menjadi Ketua DPR RI, menggantikan Ketua DPR RI sebelumnya, Setya...",http://dpr.go.id/berita/detail/id/11951,,,
PARIPURNA,11 Januari 2016,DPR Akan Tindaklanjuti IHPS II BPK Tahun 2015,"Dewan Perwakilan Rakyat segera akan menindaklanjuti Ikhtisar Hasil Pemeriksaan Semester II (IHPS II), Badan Pemeriksa Keuangan (BPK) Tahun 2015. Terutama...",http://dpr.go.id/berita/detail/id/11950,,,
PARIPURNA,11 Januari 2016,DPR Dukung Komitmen Pemerintah Percepat Pelaksanaan Program,DPR mendukung komitmen Pemerintah untuk percepatan pelaksanaan program atau kegiatan mulai awal tahun anggaran dapat diwujudkan. Demikian dikatakan Plt Ketua...,http://dpr.go.id/berita/detail/id/11949,,,
PARIPURNA,11 Januari 2016,Eva Kusuma Sundari Dilantik Kembali Jadi Anggota DPR,Politikus PDI Perjuangan Eva Kusuma Sundari dilantik kembali menjadi anggota DPR periode 2014-2019 pengganti antar waktu (PAW) dalam Sidang Paripurna...,http://dpr.go.id/berita/detail/id/11948,,,
KOMISI VI,11 Januari 2016,Indonesia Belum Cukup Kuat Hadapi MEA,"Menghadapi Masyarakat Ekonomi ASEAN (MEA), Indonesia dinilai belum cukup kuat, terutama menyangkut kesiapan daya saing. Apalagi, neraca perdagangan Indonesia dengan...",http://dpr.go.id/berita/detail/id/11947,,,
PARIPURNA,11 Januari 2016,DPR Ingin Pembahasan RUU Lebih Optimal,Wakil Ketua DPR RI Fadli Zon menyoroti beberapa hal yang disampaikan oleh masyarakat dan merupakan masukan bahwa masih minimnya produk...,http://dpr.go.id/berita/detail/id/11946,,,
KOMISI VIII,11 Januari 2016,Pemerintah dan BP POM Proaktif Teliti Makanan-Minuman Terindikasi Zat Adiktif,"Anggota Komisi VIII DPR Endang Maria Astuti mengatakan, ada beberapa pihak yang ingin menghancurkan bangsa Indonesia dengan cara melemahkan generasi...",http://dpr.go.id/berita/detail/id/11945,,,
PARIPURNA,11 Januari 2016,Dewan Harap Transportasi Publik Lebih Baik,"Dewan Perwakilan Rakyat (DPR RI) berharap kepada pemerintah, agar dimasa mendatang persoalan transportasi publik baik darat laut dan udara menjadi...",http://dpr.go.id/berita/detail/id/11944,,,
BADAN LEGISLASI,11 Januari 2016,"Tahun 2016, Pembentukan Perundang-undangan Jadi Konsen DPR","Pada masa Persidangan DPR RI Tahun 2016, anggota Dewan mengharapkan DPR tidak dihebohkan lagi dengan masalah kekisruhan politik, tetapi harus...",http://dpr.go.id/berita/detail/id/11943,,,
PARIPURNA,11 Januari 2016,DPR Akan Terus Perkuat Posisi Indonesia Di Forum International,"Berkaitan dengan peran diplomasi Parlemen, DPR RI akan terus menata berbagai bentuk kunjungan kerja luar negeri delegasi DPR agar mengemban...",http://dpr.go.id/berita/detail/id/11942,,,
KOMISI V,11 Januari 2016,Legislator Apresiasi Mundurnya Dirjen Perhubdar,Anggota Komisi V DPR Anton Sukartono Suratto mengapresiasi langkah Dirjen Perhubungan Darat Djoko Sasono yang mengundurkan diri sebagai bentuk tanggungjawab...,http://dpr.go.id/berita/detail/id/11941,,,
KOMISI VIII,11 Januari 2016,Pemerintah Perlu Evaluasi Program Bantuan Masyarakat Miskin,"Ketua Komisi VIII DPR RI, Saleh Partaonan Daulay menilai pemerintah perlu menangani dengan serius kenaikan angka kemiskinan di Indonesia yang...",http://dpr.go.id/berita/detail/id/11940,,,
LAIN-LAIN,08 Januari 2016,Selamat Ulang Tahun TV Parlemen,"Pemotongan tumpeng pertama oleh Sekretaris Jenderal DPR RI, Winantuningtyastiti, menjadi penanda perayaan ulang tahun Sub Bagian TV Parlemen tahun ini....",http://dpr.go.id/berita/detail/id/11939,,,
LAIN-LAIN,08 Januari 2016,Good-minton' Menutup Masa Reses,Reses Masa Persidangan II tahun 2015-2016 akan segera berakhir. Sejumlah anggota dewan menyiapkan kegiatan terutama agar dapat efektif dalam menyerap...,http://dpr.go.id/berita/detail/id/11938,,,
PIMPINAN,08 Januari 2016,Palestina Apresiasi Pembangunan RS Indonesia di Gaza,Pemerintah Palestina lewat Menteri Kesehatannya mengapresiasi sekaligus mengucapkan terima kasihnya kepada rakyat Indonesia yang telah menyumbangkan donasinya bagi pembangunan Rumah...,http://dpr.go.id/berita/detail/id/11937,,,
LAIN-LAIN,08 Januari 2016,TV Parlemen Segera Jadi TV Publik,Regulasi dan fasilitas sedang disiapkan oleh DPR agar TV Parlemen segera menjadi tv publik seperti TVRI. Momentum ulang tahun kesembilan...,http://dpr.go.id/berita/detail/id/11936,,,
LAIN-LAIN,08 Januari 2016,"Bangun Pagar Gedung, Sekjen DPR Tegaskan Tidak Ada Anggaran Pembangunan Gedung Dipecah","Kondisi pagar gedung DPR cukup memprihatinkan, tidak sedikit yang terlihat berkarat dan keropos sehingga sangat rentan terhadap goncangan, bahkan bisa...",http://dpr.go.id/berita/detail/id/11935,,,
KOMISI III,07 Januari 2016,Nilai Kejagung Selalu Buruk,Kinerja institusi Kejaksaan Agung (Kejagung) selalu mendapat nilai buruk pada setiap pemerintahan. Apalagi selama ini Renstra Kejagung tidak pernah jelas....,http://dpr.go.id/berita/detail/id/11934,,,
PIMPINAN,06 Januari 2016,Pimpinan DPR Apresiasi Pertukaran Mahasiswa oleh Korea Utara,"Wakil Ketua DPR RI Kordinator bidang industri dan pembangunan, Agus Hermanto mengapresiasi langkah Korea Utara menyelenggarakan pertukaran mahasiswa dengan Indonesia....",http://dpr.go.id/berita/detail/id/11933,,,
PIMPINAN,06 Januari 2016,Korut Berharap Tingkatkan Hubungan Perdagangan Langsung dengan Indonesia,"DPR RI mengamini permintaan Korea Utara untuk meningkatkan hubungan kerjasama antara Indonesia dan Korea utara, khususnya di bidang perdagangan. Hal...",http://dpr.go.id/berita/detail/id/11932,,,
LAIN-LAIN,06 Januari 2016,Sekjen DPR Resmikan Pengurus P3S Periode 2015-2019,"Sekjen DPR Winantuningtyastiti di ruang rapat KK I Gedung Nusantara, Senayan, Jakarta, Rabu (6/1) meresmikan Pengurus Persatuan Pensiunan Pegawai Setjen...",http://dpr.go.id/berita/detail/id/11931,,,
PIMPINAN,06 Januari 2016,Fahri Hamzah Kecam Pemecatan Ketua BEM UNJ,"Wakil Ketua DPR RI Fahri Hamzah mengecam Rektor UNJ yang memecat mahasiswanya. Justru, rektor harus bangga punya mahasiswa yang kritis,...",http://dpr.go.id/berita/detail/id/11930,,,
LAIN-LAIN,05 Januari 2016,Komisi II Perlu Dalami Berlanjutnya Pembangunan Bekas Taman Ria,Anggota Komisi VI DPR RI Refrizal menyampaikan keprihatinannya atas berlanjutnya pembangunan kawasan bisnis di bekas kawasan Taman Ria Senayan. Berdasarkan...,http://dpr.go.id/berita/detail/id/11929,,,
KOMISI VII,05 Januari 2016,Komisi VII Perlu Menginisiasi Lahirnya UU Perubahan Iklim,"Wakil Ketua Komisi VII DPR Satya W. Yudha berharap, Komisi VII perlu menginisiasi lahirnya UU tentang Perubahan Iklim. Pasalnya Indonesia...",http://dpr.go.id/berita/detail/id/11928,,,
KOMISI XI,05 Januari 2016,Penurunan Harga BBM Diharapkan Kurangi Beban Masyarakat,"Pemerintah telah mengumumkan pemberlakuan harga baru bahan bakar minyak (BBM) terhitung mulai Selasa, 5 Januari 2016 pukuk 00.00 WIB. Hal...",http://dpr.go.id/berita/detail/id/11927,,,
KOMISI X,05 Januari 2016,Penetapan Bali Sebagai Pulau Wisata Terbaik Justru Mengecewakan,"Pulau Bali mendapat predikat pulau wisata terbaik kedua di dunia pada 2015 setelah Kepulauan Galapagos, Ekuador, versi majalah Travel and...",http://dpr.go.id/berita/detail/id/11926,,,
KOMISI VII,05 Januari 2016,Pemerintah Harus Lebih Transparan Tentukan Harga BBM,Rencana pemerintah memungut dana ketahanan energi dari harga penjualan premium dan solar kepada masyarakat tanpa koordinasi dengan DPR ditanggapi serius...,http://dpr.go.id/berita/detail/id/11925,,,
KOMISI VII,05 Januari 2016,"Revisi UU Minerba, Ubah Rezim Kontrak ke Rezim Izin","Wakil Ketua Komisi VII DPR Satya W. Yudha mengakui, tahun 2015 memang tugas legislasi mengalami kelambatan. Karena Revisi UU Minerba...",http://dpr.go.id/berita/detail/id/11924,,,
PIMPINAN,05 Januari 2016,"Hadapi MEA, Sektor Pertanian Harus Diperkuat","Tahun 2016 penuh tantangan bagi sektor pertanian, satu diantaranya adalah mulai efektifnya implementasi Masyarakat Ekonomi ASEAN (MEA). Hal ini disampaikan...",http://dpr.go.id/berita/detail/id/11923,,,
KOMISI VIII,04 Januari 2016,Komisi VIII Sesalkan Berulangnya Kasus Salah Tangkap,"Ketua Komisi VIII DPR RI,Saleh Partaonan Daulay menyesalkan berulangnya kasus salah tangkap yang dilakukan oleh Densus 88. Hal tersebut diungkapkannya kepada...",http://dpr.go.id/berita/detail/id/11922,,,
KOMISI VII,04 Januari 2016,Indonesia Perlu Segera Bangun PLTN,"Anggota Komisi VII DPR Kurtubi meminta pemerintah mengubah Kebijakan Energi Nasional (KEN), dengan menghapus kalimat dalam Kebijakan Energi Nasional yang...",http://dpr.go.id/berita/detail/id/11921,,,
KOMISI I,31 Desember 2015,Amnesti Din Minimi Perlu Ditimbang Matang,Anggota Komisi I DPR Supiadin Aries Saputra menyambut baik pilihan kelompok bersenjata Din Minimi bersama 120 anggotanya untuk menyerahkan diri...,http://dpr.go.id/berita/detail/id/11920,,,
KOMISI I,30 Desember 2015,Komisi I Apresiasi Langkah BIN Rangkul Din Minimi,Anggota Komisi I DPR RI Darizal Basir mengapresiasi kinerja Badan Intelijen Negara (BIN) yang berhasil merangkul kelompok bersenjata Din Minimi...,http://dpr.go.id/berita/detail/id/11919,,,
KOMISI X,29 Desember 2015,Kegagalan Riset Jangan Dipandang Sebagai Kerugian Negara,"Jika kita perhatikan teknologi yang ada di Indonesia mayoritas masih impor, sebut saja teknologi di bidang kesehatan 97,2% impor. Mulai...",http://dpr.go.id/berita/detail/id/11918,,,
KOMISI X,29 Desember 2015,Komisi X Dorong Pemerintah Bantu Promosikan Wisata Kalbar,Anggota Komisi X DPR Zulfadhli mengharapkan pemerintah pusat memberikan bantuan untuk promosi pariwisata di Kalimantan Barat. Hal itu dikatakannya seusai...,http://dpr.go.id/berita/detail/id/11917,,,
KOMISI X,29 Desember 2015,UGM Butuh SDM Untuk Penuhi Rasio Ideal Universitas Kelas Dunia,Universitas Gajdah Mada (UGM) sebagai perguruan tinggi negeri berbadan hukum memiliki tanggung jawab yang lebih itu diantaranya dengan menggunakan otonomi...,http://dpr.go.id/berita/detail/id/11916,,,
KOMISI IX,28 Desember 2015,Komisi IX Sesalkan Minimnya Alkes RSUD Gunung Tua,"Anggota Komisi IX Handayani menyesalkan minimnya alat kesehatan maupun sarana prasarana di Rumah Sakit Umum Daerah (RSUD) Gunung Tua, Kabupaten...",http://dpr.go.id/berita/detail/id/11914,,,
KOMISI X,28 Desember 2015,UKT di Universitas Nasional Yogyakarta Masih Bermasalah,"Ada yang menarik dari pertemuan Tim Kunjungan Kerja Komisi X DPR RI dengan Rektor-rektor Perguruan Tinggi Negeri di Yogyakarta, yaitu...",http://dpr.go.id/berita/detail/id/11913,,,
KOMISI X,28 Desember 2015,Komisi X Akan Perjuangkan BOPTN Berkeadilan,Komisi X DPR bersama pemerintah pada Pebruari mendatang akan membahas APBN Perubahan bidang pendidikan. Beberapa program kegiatan yang tertunda menjadi...,http://dpr.go.id/berita/detail/id/11912,,,
KOMISI X,28 Desember 2015,ISI Diminta Berperan Perpanjang Masa Wisatawan di Yogyakarta,Wakil Ketua Komisi X DPR RI Abdul Kharis Almasyhari meminta Institut Seni Indonesia Yogyakarta (ISI) berperan penting dalam memperpanjang masa...,http://dpr.go.id/berita/detail/id/11910,,,
KOMISI X,28 Desember 2015,Komisi X Janji Bantu Masalah Status Pegawai UPN Yogyakarta,Perjalanan satu tahun Universitas Pembangunan Nasional Veteran Yogyakarta (UPN Yogyakarta) dari perguruan tinggi swasta menjadi perguruan tinggi negeri menyisakan masalah...,http://dpr.go.id/berita/detail/id/11909,,,
KOMISI VI,28 Desember 2015,Pemerintah Tak Jujur Tentukan Harga BBM,Pemerintah dinilai tak jujur dan transparan dalam menentukan harga bahan bakar minyak (BBM). Banyak titik kebijakan menyangkut harga BBM yang...,http://dpr.go.id/berita/detail/id/11907,,,
KOMISI VI,23 Desember 2015,Bank BUMN Jangan Persulit Persetujuan KUR,Tim Kunker Komisi VI DPR menyoroti rumitnya proses persetujuan Kredit Usaha Rakyat (KUR) terutama untuk sektor Usaha Kecil Menengah (UKM)....,http://dpr.go.id/berita/detail/id/11915,,,
KOMISI IX,23 Desember 2015,"Mangkir Rapat, Bupati Paluta Dinilai Tidak Peduli Daerah",Kunjungan Kerja (Kunker) DPR ialah bagian dari agenda pengawasan dewan sekaligus menghimpun masukan dari segenap stakeholder di daerah. Ketidakhadiran Bupati...,http://dpr.go.id/berita/detail/id/11911,,,
KOMISI VII,23 Desember 2015,Kunker Komisi VII Temukan Sengkarut Lahan Pertambangan Non-CNC,Tim Kunjungan Kerja (Kunker) Komisi VII di Provinsi Nusa Tenggara Barat menemukan sengkarut permasalahan terkait koordinasi pencabutan sertifikat lahan pertambangan...,http://dpr.go.id/berita/detail/id/11908,,,
KOMISI XI,23 Desember 2015,Paket Kebijakan Ekonomi Harus kurangi Ketergantungan Impor,"Anggota Komisi XI DPR Willgo Zainar mengingatkan, apapun kebijakan bidang ekonomi yang dikeluarkan Pemerintah, sebaiknya diarahkan kepada pengurangan ketergantungan impor,...",http://dpr.go.id/berita/detail/id/11906,,,
KOMISI XI,23 Desember 2015,Kenaikan Suku Bunga The Fed Sudah Ditunggu,"Bank sentral AS, atau Federal Reserve, pekan lalu akhirnya mengumumkan kenaikan suku bunga acuan, menjadi 0,25-0,5 persen. Ini adalah kenaikan...",http://dpr.go.id/berita/detail/id/11905,,,
KOMISI XI,23 Desember 2015,Legislator Pesimis Target Penerimaan Pajak 2015 Tercapai,"Tahun anggaran 2015 tak lama lagi berakhir. Wakil Ketua Komisi XI Marwan Cik Asan menilai, realisasi penerimaan pajak tahun ini,...",http://dpr.go.id/berita/detail/id/11903,,,
KOMISI XI,23 Desember 2015,Pebaikan Infrastruktur Bisa Mengundang Minat Investasi,Untuk mendukung target-target pembangunan yang sudah disepakati antara Komisi XI DPR RI dengan Pemerintah (Menteri Keuangan) maka percepatan pembangunan di...,http://dpr.go.id/berita/detail/id/11901,,,
KOMISI X,23 Desember 2015,Komisi X Diminta Perjuangkan Daerah Angkat Guru Honorer,Masalah guru honorer menjadi salah satu masukan yang diterima Tim Komisi X DPR yang dipimpin Wakil Ketua Komisi Ridwan Hisyam...,http://dpr.go.id/berita/detail/id/11900,,,
KOMISI X,23 Desember 2015,Evaluasi Kembali Program Indonesia Pintar,Masih minimnya siswa-siswi sekolah mendapatkan bantuan bea siswa dalam Program Indonesia Pintar (PIP) menjadi sorotan Komisi X DPR ketika melakukan...,http://dpr.go.id/berita/detail/id/11899,,,
KOMISI VII,23 Desember 2015,Komisi VII Inginkan Solusi Masalah Energi NTB,"Tim Kunjungan Kerja Komisi VII DPR yang dipimpin Wakil Ketua Komisi VII Mulyadi, menyerap masukan dengan mitra kerja khususnya bidang...",http://dpr.go.id/berita/detail/id/11896,,,
KOMISI VII,23 Desember 2015,"Listrik Sering Padam, Komisi VII Kunjungi PLTU Jeranjang","Rakyat Nusa Tenggara Barat begitu menderita dengan seringya pemadaman listrik, sekali pemadaman bisa 5 jam. Tentu hal ini menjadi tanggung...",http://dpr.go.id/berita/detail/id/11895,,,
KOMISI VII,23 Desember 2015,Kontrak Karya Freeport Perlu Pendalaman Lebih Dulu,"Wakil Ketua Komisi VII DPR Mulyadi menilai, pembentukan Panitia Khusus Hak Angket Freeport sah saja, tetapi harus dimengerti terlebih dahulu...",http://dpr.go.id/berita/detail/id/11894,,,
KOMISI VII,23 Desember 2015,Andriyanto Dukung Pembentukan Pansus Freeport,"Anggota DPR Komisi VII Andriyanto Johan Syah, sangat mendukung segera dibentuk Panitia Khusus (Pansus) Freeport. Bahkan Partai Amanat Nasional (PAN)...",http://dpr.go.id/berita/detail/id/11893,,,
KOMISI II,22 Desember 2015,Pemerintah Diminta Buat Regulasi Atasi Masalah Otsus Papua Barat,Penggunaan dan pengelolaan dana otonomi khusus (otsus) hingga saat ini dirasa belum meningkatkan kemakmuran masyarakat Papua baik dari kualitas pembangunan...,http://dpr.go.id/berita/detail/id/11904,,,
KOMISI VI,22 Desember 2015,Komisi VI Kritisi Tingginya NPL Penyaluran KUR Bank BUMN,"Anggota Komisi VI DPR RI, Ihsan Yunus mengkritisi masih tingginya NPL (Non Performance loan) terkait KUR (Kredit Usaha Rakyat) yang...",http://dpr.go.id/berita/detail/id/11902,,,
KOMISI X,22 Desember 2015,Potensi Wisata Religi Palembang Menjanjikan,Wakil Ketua Komisi X DPR RI Nuroji mendorong Dinas Pariwisata Provinsi Sumatra Selatan mengembangkan program destinasi wisata religi. Sekitar 20...,http://dpr.go.id/berita/detail/id/11898,,,
KOMISI X,22 Desember 2015,"Kalau Jakarta Tidak Siap, Komisi X Dorong Palembang Tuan Rumah Tungal",Tim Kunjungan Kerja (Kunker) Komisi X ke Provinsi Sumsel meninjau sejumlah fasilitas yang akan digunakan untuk agenda olah raga Asian...,http://dpr.go.id/berita/detail/id/11897,,,
LAIN-LAIN,22 Desember 2015,"Peringati Hari Ibu, Setjen DPR Gelar Tanam Pohon di DPR","Dalam rangka memperingati Hari Ibu 22 Desember 2015, Sekretariat Jenderal DPR menggelar kegiatan penanaman pohon di lingkungan DPR. Setelah menggelar...",http://dpr.go.id/berita/detail/id/11892,,,
LAIN-LAIN,22 Desember 2015,Peringatan Hari Ibu Sebagai Perjuangan Kaum Perempuan Indonesia,"Hari Ibu merupakan hari peringatan terhadap peran seorang ibu dalam keluarganya, baik untuk suami, anak-anak, maupun lingkungan sosialnya. Hari Ibu pertama kali setelah...",http://dpr.go.id/berita/detail/id/11891,,,
KOMISI X,21 Desember 2015,Komisi X DPR Dukung Destinasi Wisata Religi di Palembang,Komisi X DPR RI mendorong Dinas Pariwisata Sumatera Selatan di tahun 2016 mengembangkan program destinasi wisata religi. Dukungan ini disampaikan...,http://dpr.go.id/berita/detail/id/11890,,,
KOMISI VI,21 Desember 2015,Pemda dan BUMN Perlu Sinergis,"Untuk meningkatkan pertumbuhan ekonomi di daerah, Pemda dan BUMN perlu membangun sinergitas. Kemajuan ekonomi rakyat juga terlihat dari seberapa baik...",http://dpr.go.id/berita/detail/id/11889,,,
KOMISI VI,21 Desember 2015,Komisi VI Tinjau UKM Binaan BRI,"Komisi VI DPR RI meninjau langsung dua pelaku usaha kecil menengah (UKM) binaan BRI di Kota Padang, Sumatera Barat. Keduanya...",http://dpr.go.id/berita/detail/id/11888,,,
KOMISI IV,21 Desember 2015,Komisi IV Dorong Ekspor Salak Pondoh,Tim Kunjungan Kerja (Kunker) Komisi IV DPR berkunjung ke Rumah Kemas Buah Salak yang dikelola Asosiasi Petani Salak Sleman Prima...,http://dpr.go.id/berita/detail/id/11887,,,
KOMISI IV,21 Desember 2015,Komisi IV Apresiasi Mina Padi Sayegan Percontohan Internasional,"Tim Kunjungan Kerja (Kunker) Komisi IV DPR meninjau langsung Kelompok Tani Mina Padi di Sayegan, Sleman, Provinsi DI Yogyakarta. Keberhasilan...",http://dpr.go.id/berita/detail/id/11886,,,
KOMISI IV,21 Desember 2015,Pemerintah Harus Dukung Kebutuhan Gas Pupuk Kaltim,"Anggota Komisi IV DPR dari Fraksi Partai Gerindra, Luther Kombong mengatakan pemerintah harus memberikan dukungan kepada Pupuk Kaltim agar kebutuhan...",http://dpr.go.id/berita/detail/id/11885,,,
KOMISI IV,21 Desember 2015,DPR Susun Payung Hukum Bagi Nelayan dan Petambak Garam,"Wakil Ketua Komisi IV DPR Herman Khaeron mengatakan, DPR sedang menyusun UU Perlindungan Pemberdayaan Nelayan dan Petambak Garam yang nantinya...",http://dpr.go.id/berita/detail/id/11884,,,
KOMISI IV,21 Desember 2015,Pupuk Kaltim V Hasilkan Pupuk Berkualitas,"DPR berkeyakinan pabrik Pupuk Kaltim V yang berada di Bontang, Kalimantan Timur (Kaltim) mampu memproduksi pupuk urea yang berkualitas baik...",http://dpr.go.id/berita/detail/id/11883,,,
KOMISI X,21 Desember 2015,Komisi X Kagumi Pantai Gua Cemara,Tim Kunjungan Kerja Komisi X DPR RI dipimpin Ketua Komisi X Teuku Rifki Harsya mengagumi wisata Pantai Gua Cemara yang...,http://dpr.go.id/berita/detail/id/11882,,,
KOMISI IX,21 Desember 2015,Komisi IX Apresiasi Usulan Sertifikat Imunisasi,"Wakil Ketua Komisi IX DPR, Syamsul Bachri, mengapresiasi usulan terkait kewajiban melampirkan sertifikat dasar imunisasi kepada calon anak didik, untuk...",http://dpr.go.id/berita/detail/id/11881,,,
KOMISI IV,21 Desember 2015,Wanagama Yogya Harus Bisa lebih Baik,"Tim Kunker Komisi IV DPR menyampaikan kekaguman pada Kawasan Hutan Dengan Tujuan Khusus (KHDTK) Wanagama, yang terletak di desa Banaran,...",http://dpr.go.id/berita/detail/id/11880,,,
PARIPURNA,18 Desember 2015,Sidang Paripurna DPR Tetapkan Pimpinan KPK Terpilih,Sidang Paripurna DPR menerima secara bulat hasil kerja Komisi III yang telah melakukan uji kepatutan dan kelayakan calon Pimpinan KPK....,http://dpr.go.id/berita/detail/id/11879,,,
PARIPURNA,18 Desember 2015,DPR Soroti Belum Optimalnya Serapan Anggaran Kementerian/Lembaga,"DPR menilai masih banyak Kementrian/Lembaga yang belum optimal menyerap anggaran APBN Tahun Anggaran 2015. Dikhawatirkan, kurang optimalnya penyerapan anggaran ini...",http://dpr.go.id/berita/detail/id/11878,,,
PARIPURNA,18 Desember 2015,DPR Apresiasi Pelaksanaan Pilkada Serentak,DPR mengapresiasi kinerja para penyelenggara Pemilihan Kepala Daerah (Pilkada) serentak pada tanggal 9 Desember 2015 lalu. Meski Pilkada serentak ini...,http://dpr.go.id/berita/detail/id/11877,,,
PARIPURNA,18 Desember 2015,Salam Perpisahan Setya Novanto Sebagai Ketua DPR,Anggota DPR Setya Novanto dalam Rapat Paripurna ke-15 DPR Masa Persidangan II Tahun Sidang 2015-2016 membacakan pidato pengunduran dirinya sebagai...,http://dpr.go.id/berita/detail/id/11876,,,
PIMPINAN,18 Desember 2015,Pansus Freeport Sudah Mendesak Dibentuk,Wacana pembentukan Pansus Hak Angket Freeport terus bergulir kuat. Saatnya merebut kedaulatan negara dengan mengembalikan lahan tambang Freeport ke pangkuan...,http://dpr.go.id/berita/detail/id/11875,,,
KOMISI XI,18 Desember 2015,"ATBI 2016 Disetujui Rp. 9,454 Triliun","Anggaran Tahunan Bank Indonesia (ATBI) tahun 2016 akhirnya disetujui Komisi XI, setelah rapat hingga tengah malam dan melalui dua kali...",http://dpr.go.id/berita/detail/id/11874,,,
PANITIA KHUSUS,18 Desember 2015,Pansus Persoalkan Kebijakan Meneg BUMN,Pansus Pelindo II DPR RI mempersoalkan kebijakan Menteri Negara BUMN Rini Soemarno yang memberi izin prinsip kepada Pelindo II untuk...,http://dpr.go.id/berita/detail/id/11873,,,
PANITIA KHUSUS,17 Desember 2015,Pansus Pelindo II Ajukan 7 Rekomendasi Penting,"Dalam laporan pendahuluan kinerja Pansus di hadapan Rapat Paripurna DPR, ada tujuh rekomendasi penting yang diajukan kepada pemerintah. Rekomendasi itu...",http://dpr.go.id/berita/detail/id/11872,,,
KOMISI III,17 Desember 2015,Komisi III Selesaikan Fit Proper Capim KPK,Komisi III DPR RI berhasil menuntas uji kepatutan dan kelayakan calom pimpinan KPK. Rapat pleno yang diikuti 54 orang anggota...,http://dpr.go.id/berita/detail/id/11871,,,
