kategori,tanggal,judul,deskripsi,page_url,,,
KOMISI IV,5/12/2016,"Komisi IV Tinjau Pencetakan Sawah di Kecamatan Lambuya, Konawe",Tim Kunker Komisi IV DPR RI meninjau ke lokasi cetak sawah di Kabupaten Konawe wilayah Kodim 1417/Kendari. Kunjungan ini bertujuan...,http://dpr.go.id/berita/detail/id/13124,,,
SEKRETARIAT JENDERAL,5/12/2016,Sekjen DPR Ajak Pegawai Solat Tepat Waktu,"Sekretaris Jenderal DPR RI Winantuningtyas Titi Swasanany mengajak pegawai di Komplek Parlemen untuk dapat menjalankan ibadah secara tepat waktu, khususnya...",http://dpr.go.id/berita/detail/id/13123,,,
B.K.S.A.P.,5/12/2016,Parlemen Perempuan Dunia Desak Pemberdayaan Secara Politis,Perempuan dan politik kini sudah kian dekat dan hampir sulit dipisahkan lagi. Lewat aktivitas politiklah para perempuan di dunia bisa...,http://dpr.go.id/berita/detail/id/13121,,,
LAIN-LAIN,5/11/2016,Badan Keahlian DPR Terima Mahasiswa Universitas Mahendradatta,"Kepala Badan Keahlian DPR RI (BKD) Johnson Rajagukguk menerima kunjungan mahasiswa Universitas Mahendradatta Bali , Rabu, (11/05) di Ruang Rapat...",http://dpr.go.id/berita/detail/id/13118,,,
KOMISI IV,5/11/2016,Bulog Jangan Sembarangan Serap Gabah,Wakil Ketua Komisi IV DPR Herman Khaeron mengatakan dirinya mengatakan agar Bulog tidak sembarangan dalam melakukan serapan atas gabah. “Saya adalah...,http://dpr.go.id/berita/detail/id/13117,,,
KOMISI X,5/11/2016,Pencabutan Pembekuan PSSI Adalah Jalan Benar,"Ketua Komisi X DPR RI Teuku Riefky Harsya, memberikan tanggapan terkait kebijakan yang baru-baru ini dikeluarkan Menteri Pemuda dan Olahraga...",http://dpr.go.id/berita/detail/id/13116,,,
INSPEKTORAT UTAMA,5/11/2016,Tujuan PMPRB Untuk Perbaikan Lembaga Berkelanjutan,Inspektur Utama (Irtama) Sekretariat Jenderal DPR RI Setyanta Nugraha menjelaskan tentang Penilaian Mandiri Pelaksanaan Reformasi Birokrasi (PMPRB) kepada pejabat-pejabat di...,http://dpr.go.id/berita/detail/id/13115,,,
KOMISI VIII,5/11/2016,BP3AKB Kalbar Perlu Buat Program Inovatif,"Komisi VIII DPR mengharapkan adanya inovasi baru yang dilakukan Badan Pemberdayaan Perempuan, Pelindungan Anak dan Keluarga Berencana (BP3AKB). Badan ini...",http://dpr.go.id/berita/detail/id/13114,,,
KOMISI IV,5/11/2016,Petani Kakao Sultra Inginkan Program Gernas Kakao Dilanjutkan,"Komisi IV DPR yang membidangi pertanian, kehutanan dan perikanan mengunjungi lokasi perkebunan Kakao (Program Pengembangan Peningkatan Produksi dan Mutu Kakao) di...",http://dpr.go.id/berita/detail/id/13113,,,
SEKRETARIAT JENDERAL,5/11/2016,Reformasi Setjen DPR Mengacu pada Nawa Cita,"Sekretaris Jenderal DPR RI Winantuningtyas Titi Swasanany menegaskan, pelaksanaan reformasi birokrasi di lingkungan Sekretaris Jenderal dan Badan Keahlian DPR RI,...",http://dpr.go.id/berita/detail/id/13112,,,
KOMISI IV,5/11/2016,Keberadaan Bulog Masih Penting,Wakil Ketua Komisi IV DPR RI Herman Khaeron menilai keberadaan Perum Badan Usaha Logistik (Bulog) masih penting untuk menjaga ketersediaan...,http://dpr.go.id/berita/detail/id/13111,,,
LAIN-LAIN,5/11/2016,DPRD Nias Konsultasikan Penyusunan Perda dengan Badan Keahlian DPR,Badan Keahlian DPR RI menerima kunjungan DPRD Kabupaten Nias. Dalam diskusi ini BK Dewan menyoroti mengenai fungsi legislasi DPRD dan...,http://dpr.go.id/berita/detail/id/13110,,,
KOMISI VIII,5/11/2016,RUU PIHU Lindungi Kepentingan Jemaah,RUU Penyelengaraan Ibadah Haji dan Umroh (PIHU) dirumuskan untuk melindungi kepentingan jemaah haji Indonesia. RUU ini menjadi payung bagi semua...,http://dpr.go.id/berita/detail/id/13109,,,
KOMISI IV,5/10/2016,Komisi IV DPR Sambangi Tempat Penyimpanan Rastra Bulog Kendari,Dalam Kunjungan Kerja (Kunker) Komisi IV Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) menyambangi gudang Bulog untuk melihat dan memastikan...,http://dpr.go.id/berita/detail/id/13108,,,
KOMISI V,5/10/2016,Komisi V Dukung Kupang Bangun Embung,Dalam rangakaian Kunjungan Kerja Komisi V DPR RI ke Provinsi NTT berkesempatan mengunjungi PDAM Kota Kupang. Dalam kunjungannya ini Tim...,http://dpr.go.id/berita/detail/id/13107,,,
LAIN-LAIN,5/10/2016,BKD dan DPR DIY Bahas Tiga Poin Inti,"Badan Keahlian DPR RI menerima kunjungan DPR Daerah Istimewa Yogyakarta, dalam diskusi dua institusi ini menyoroti tiga poin inti. Program...",http://dpr.go.id/berita/detail/id/13106,,,
KOMISI VIII,5/10/2016,"DPR Harapkan IAIN Tetap Istiqomah, Jangan Buru-buru Jadi UIN",Anggota Komisi VIII DPR Hamka Haq mengharapkan kalangan perguruan tinggi Islam harus setia dan istiqomah pada IAIN jangan menjadi UIN....,http://dpr.go.id/berita/detail/id/13105,,,
PIMPINAN,5/10/2016,Wakil Ketua DPR Dorong Eksplorasi Energi Geothermal,Wakil Ketua DPR RI Agus Hermanto menerima kunjungan Atase Kedutaan Besar Jepang untuk Indonesia Takashi Kitamura dan Direktur Japan International...,http://dpr.go.id/berita/detail/id/13104,,,
KOMISI IV,5/10/2016,DPR Apresiasi Pengembangan Usaha Masyarakat Raja Ampat,"DPR mengapresiasi pengembangan usaha masyarakat berbasis perikanan di Kampung Saonek, Kabupaten Raja Ampat, Provinsi Papua Barat. Selain memiliki kualitas yang...",http://dpr.go.id/berita/detail/id/13103,,,
KOMISI IV,5/10/2016,DPR Harapkan Wisata Pianemo Tetap Terjaga,"Wakil Ketua Komisi IV DPR RI Herman Khaeron berharap keindahan kawasan konservasi laut di Pianemo, Kabupaten Raja Ampat, Papua Barat,...",http://dpr.go.id/berita/detail/id/13102,,,
KOMISI III,5/10/2016,"Sosok Andi Ghalib, Pekerja Keras dan Petarung Sejati","Berpulangnya almarhum Andi Muhammad Ghalib ke haribaan Sang Pencipta, meninggalkan banyak kesan di mata para sahabat dan kerabatnya. Salah seorang...",http://dpr.go.id/berita/detail/id/13101,,,
KOMISI III,5/10/2016,"Almarhum Andi Ghalib, Lambang Keberhasilan Transformasi TNI ke Politisi",Barisan karangan bungan duka cita serta ratusan pelayat dari berbagai instansi dan lembaga tinggi negara hadir untuk memberikan do’a dan...,http://dpr.go.id/berita/detail/id/13100,,,
KOMISI IV,5/10/2016,Kebijakan Menteri Susi Hendaknya Perhatikan Nasib Nelayan Kecil,"Sejumlah kebijakan Menteri Kelautan dan Perikanan, Susi Pudjiastuti, diakui cukup tegas dan bikin takut pelaku pencurian ikan. Namun disisi lain...",http://dpr.go.id/berita/detail/id/13099,,,
KOMISI X,5/09/2016,Legislator Berharap UN SMP Diwarnai Semangat Kejujuran,"Ujian Nasional (UN) Tingkat SMP dan sederajat telah dimulai per Senin (9/5/2016), dan akan berakhir pada Kamis (12/5/2016). Wakil Ketua...",http://dpr.go.id/berita/detail/id/13098,,,
KOMISI X,5/09/2016,Gubernur Jambi Harapkan Komisi X Bantu Pembangunan Daerahnya,"Komisi X DPR RI dalam kunjungan kerja ke Provinsi Jambi menggelar pertemuan dengan Gubernur Jambi Zumi Zola Zulkifli beserta jajarannya,...",http://dpr.go.id/berita/detail/id/13097,,,
B.U.R.T.,5/09/2016,Sosialisasi BPJS Kesehatan Perjelas Hak dan Kewajiban Peserta,"Lewat sosialisasi kepesertaan Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan, keselamatan dan kesehatan pegawai di lingkungan DPR RI diperhatikan dengan serius. Wakil...",http://dpr.go.id/berita/detail/id/13096,,,
KOMISI X,5/09/2016,Komisi X Tinjau Sekolah Apung di Kota Jambi,"Bangunan sekolah di Kota Jambi, ternyata masih ada yang tidak layak dan membutuhkan perhatian dari pemerintah. Salah satunya adalah SD...",http://dpr.go.id/berita/detail/id/13095,,,
KOMISI X,5/09/2016,Legislator Desak Pemerintah Peduli Kreatfitas Guru dan Siswa,Daya saing suatu bangsa ditentukan seberapa kuat modal manusia yang dihasilkan pendidikan. Kreativitas yang dihasilkan guru dan siswa perlu mendapat...,http://dpr.go.id/berita/detail/id/13094,,,
KOMISI X,5/09/2016,Komisi X Sayangkan Menurunnya Kunjungan Wisata ke Bantimurung,Dalam Reses Masa Persidangan IV Tahun Sidang 2015-2016 Komisi X DPR RI mengadakan Kunjungan Kerja ke tiga Provinsi yaitu Prov....,http://dpr.go.id/berita/detail/id/13093,,,
KOMISI I,5/09/2016,Anggota DPR Andi M. Ghalib Meninggal Dunia,Anggota Komisi I DPR RI Andi Muhammad Ghalib wafat pada Senin pagi sekitar pukul 06.00 WIB. Almarhum adalah Anggota Fraksi...,http://dpr.go.id/berita/detail/id/13092,,,
KOMISI X,5/09/2016,DPR Minta Jokowi Serius Dorong Proyek Mobil Esemka,"Anggota Komisi X DPR RI Muslim, mengharapkan Pemerintahan Presiden Joko Widodo serius dalam rangka mendorong proyel mobil Esemka, sehingga Produk...",http://dpr.go.id/berita/detail/id/13091,,,
KOMISI X,5/09/2016,Pendidikan di Jambi Masih Butuh Pembenahan Besar-besaran,Komisi X DPR dalam kunjungan kerjanya ke Jambi menggelar pertemuan dengan Gubernur Jambi beserta jajaranya serta dihadiri oleh Bupati dan...,http://dpr.go.id/berita/detail/id/13089,,,
INSPEKTORAT UTAMA,5/04/2016,Inspektorat Utama DPR Launching E-LIT,Inspektorat Utama (Irtama) DPR me-launching sebuah aplikasi baru bernama E-learning Inspektorat Utama atau yang disingkat E-LIT. Aplikasi ini merupakan sarana...,http://dpr.go.id/berita/detail/id/13122,,,
KOMISI III,5/04/2016,Kasus PETI Jambi Harus Segera Selesai,Tim Komisi III DPR RI dalam kunjungen kerja ke Provinsi Jambi mengadakan pertemuan dengan Institusi Penegak Hukum pada (02/05) di...,http://dpr.go.id/berita/detail/id/13120,,,
PIMPINAN,5/04/2016,Fadli Zon Tegaskan Kasus Pemerkosaan Tidak Boleh Terulang,Wakil Ketua DPR RI Fadli Zon berkomentar soal kasus kekerasan seksual yang berakibat pada kematian terhadap anak di bawah umur...,http://dpr.go.id/berita/detail/id/13088,,,
LAIN-LAIN,5/04/2016,Kepala Badan Keahlian Dewan Terima DPRD Wonogiri,"Kepala Badan Keahlian Dewan, Jhonson Rajagukguk didampinggi oleh Kepala Pusat Perancangan Undang-Undang BKD Inosentius Samsul menerima sekaligus melakukan audiensi dengan...",http://dpr.go.id/berita/detail/id/13087,,,
KOMISI VIII,5/04/2016,"Perppu Kebiri, Perlu Kesungguhan Pemerintah",Ketua Komisi VIII DPR Saleh Partaonan Daulay mengakui belum ada aturan yang tegas terhadap pelaku kejahatan seksual kepada anak-anak yang...,http://dpr.go.id/berita/detail/id/13086,,,
KOMISI IV,5/04/2016,Bulog Sumut Perlu Inovasi,"Ketua Komisi IV DPR RI, Edhie Prabowo menilai Bulog Divisi Regional Sumatera Utara bisa dikatakan yang terbaik dari segi kerapihan...",http://dpr.go.id/berita/detail/id/13085,,,
PIMPINAN,5/04/2016,Parlemen Indonesia-Korea Bahas Empat Topik Utama,"Wakil Ketua DPR RI Fadli Zon, menerima kunjungan Ketua Asosiasi Persahabatan Anggota Parlemen Indonesia-Korea dan Ketua Komite Ekonomi Partnership, Ahn...",http://dpr.go.id/berita/detail/id/13084,,,
B.K.S.A.P.,5/04/2016,Ketua BKSAP Terima Kunjungan Kehormatan Dubes Iran,Ketua BKSAP DPR RI Nurhayati Ali Assegaf menerima kunjungan kehormatan Duta Besar Republik Islam Iran untuk Indonesia Valiollah Mohammad di...,http://dpr.go.id/berita/detail/id/13083,,,
KOMISI III,5/04/2016,Komisi III DPR RI Apresiasi Kinerja Kapolda NTB,Anggota Komisi III DPR RI Wihadi Wiyanto mengapresiasi upaya persuasif Kapolda NTB dalam mengatasi persoalan konflik antar masyarakat yang kerap...,http://dpr.go.id/berita/detail/id/13082,,,
KOMISI III,5/04/2016,Komisi III DPR RI Soroti Pemindahan Napi,Ketua Komisi III DPR RI Bambang Soesatyo menilai perpindahan narapidana antar lapas adalah langkah yang cuma-cuma dalam menindaklanjuti over capacity...,http://dpr.go.id/berita/detail/id/13081,,,
KOMISI VIII,5/04/2016,Cut Nyak Dien Sosok Inspiratif Pemberdayaan Perempuan Aceh,Sosok pahlawan perempuan Aceh Cut Nyak Dien bisa menjadi inspirasi dalam membangkitkan berbagai program pemberdayaan perempuan di Aceh. Demikian diungkapkan...,http://dpr.go.id/berita/detail/id/13080,,,
KOMISI III,5/04/2016,Komisi III DPR Lakukan Sinergi Dengan Gubernur Sulut,"Usai melakukan pertemuan dengan beberapa instansi penegak hukum, Komisi III DPR melakukan pertemuan dengan Gubernur Sulut dalam rangka melakukan sinergitas...",http://dpr.go.id/berita/detail/id/13079,,,
KOMISI III,5/04/2016,Komisi III DPR Dukung Peningkatan Sarana dan Prasarana Polda Sulut,"Anggota Komisi III DPR Herman Hery menilai, perlu langkah cepat meningkatkan sarana dan prasarana Polda Sulawesi Utara terutama di daerah...",http://dpr.go.id/berita/detail/id/13078,,,
KOMISI III,5/04/2016,Komisi III DPR Serap Masukan Kejati Sulut,"Jumlah jajaran kejaksaan Tinggi Sulawesi Utara belum memadai , bahkan ada satu Kejaksaan Negeri (Kejari) yang membawahi beberapa Kabupaten seperti...",http://dpr.go.id/berita/detail/id/13077,,,
KOMISI X,5/04/2016,Komisi X Aspresiasi Fasilitas Perpustakaan Kalimantan Tengah,"Anggota Komisi X DPR RI Lathifah Shohib, menilai fasilitas dan jumlah buku yang tersedia di Perpustakaan Provinsi Kalimantan Tengah (Kaltim)...",http://dpr.go.id/berita/detail/id/13076,,,
KOMISI III,5/04/2016,DPR Pertanyakan Lolosnya Marry Jane Dalam Eksekusi Mati Jilid Tiga,Ketua Komisi III DPR RI Bambang Soesatyo mempertanyakan posisi Marry Jane sebagai narapidana yang sebelumnya masuk dalam daftar eksekuti mati...,http://dpr.go.id/berita/detail/id/13075,,,
KOMISI III,5/04/2016,Komisi III DPR Tanggapi Rencana Pemerintah Merevisi PP 99/2012 Terkait Remisi,"Ketua Komisi III DPR Bambang Soesatyo menunggu jalannya rencana pemerintah untuk merevisi aturan tentang remisi, yang tercantum dalam Peraturan Pemerintah...",http://dpr.go.id/berita/detail/id/13074,,,
KOMISI IV,5/04/2016,Perda RTRW di Sumut Harus Didiskusikan dengan Matang,"Anggota Komisi IV DPR RI, Darori Wonodipuro berharap Perda RTRW (Rencana Tata Ruang dan Wilayah) yang tengah digodok Pemerintah Sumatera...",http://dpr.go.id/berita/detail/id/13073,,,
KOMISI VIII,5/04/2016,Kinerja BPBD Papua Barat Diapresiasi,Kinerja Badan Penanggulangan Bencana Daerah (BPBD) Papua Barat mendapat apresiasi dari Komisi VIII DPR RI. Tidak saja dari sisi pelayanan...,http://dpr.go.id/berita/detail/id/13072,,,
KOMISI III,5/04/2016,Komisi III DPR Apresiasi Kinerja Penegak Hukum NTB,Ketua Komisi III DPR RI Bambang Soesatyo mengapresiasi kinerja aparat penegak hukum provinsi nusa tenggara barat dalam menyikapi seluruh persoalan...,http://dpr.go.id/berita/detail/id/13071,,,
KOMISI V,5/04/2016,Komisi V DPR Apresiasi Kinerja Kantor SAR Medan,Komisi V DPR RI mengapresiasi kinerja Kantor SAR Kota Medan. Pasalnya Kantor SAR Medan telah melakukan aktivitas dan tanggungjawabnya dengan...,http://dpr.go.id/berita/detail/id/13070,,,
PIMPINAN,5/04/2016,DPR Harap Revolusi Mental Jangan Hanya Sekedar Jargon,"Wakil Ketua DPR Fadli Zon mengharapkan konsep revolusi mental yang diusung Pemerintahan Jokowi tidak hanya sebagai jargon politik semata, melainkan...",http://dpr.go.id/berita/detail/id/13069,,,
INSPEKTORAT UTAMA,5/04/2016,Irtama Harapkan Kesekjenen DPR Bebas Korupsi dan Melayani Publik,"Inspektur Utama (Irtama) Sekretariat Jenderal DPR RI, melakukan sosialisasi bertajuk ""Pembangunan Zona Integritas Menuju Wilayah Bebas Korupsi (WBK) dan Wilayah...",http://dpr.go.id/berita/detail/id/13068,,,
KOMISI V,5/04/2016,Hindari Sistem Kontrak Untuk Pendamping Desa,"Ketua Komisi V DPR Fary Djemi Prancis di Kupang, Selasa, (3/5/2016) mengatakan bahwa Komisi V DPR telah bersepakat untuk menghindari...",http://dpr.go.id/berita/detail/id/13067,,,
KOMISI V,5/03/2016,Pembangunan Penanggulangan Banjir Sungai Deli Terkendala Sampah,Pembangunan penanggulangan banjir Sungai Deli di Medan Sumatera Utara terkendala masalah sampah. Hal tersebut disampaikan Ketua Tim Kunjungan Kerja Komisi...,http://dpr.go.id/berita/detail/id/13066,,,
