id,region_id,endorsement_type,endorsement,vote_type,acceptance_status,document_completeness,research_result,acceptance_document_repair,amount_support,amount_support_repair,amount_support_determination,eligibility_support,eligibility_support_repair,pertahana,dynasty,amount_women,incumbent
1240,52914,PARPOL,"PDI, Partai Demokrat, Partiai Amanat Nasional",KURSI,DITERIMA,,,,Tidak diset,,,,,0,,0,
253,52914,PARPOL,PDI Perjuangan,KURSI,DITERIMA,,,,Tidak diset,,,,,2,,1,Ya
