id,id_provinsi,name,kind
41306,33,KAB. KENDAL,KABUPATEN
41877,33,KAB. PEKALONGAN,KABUPATEN
42182,33,KAB. PEMALANG,KABUPATEN
43040,33,KOTA MAGELANG,KOTA
43061,33,KOTA SURAKARTA,KOTA
43146,33,KOTA SEMARANG,KOTA
43340,33,KOTA PEKALONGAN,KOTA
43506,34,KAB. BANTUL,KABUPATEN
43599,34,KAB. GUNUNG KIDUL,KABUPATEN
43762,34,KAB. SLEMAN,KABUPATEN
43927,35,KAB. PACITAN,KABUPATEN
44111,35,KAB. PONOROGO,KABUPATEN
44440,35,KAB. TRENGGALEK,KABUPATEN
44903,35,KAB. BLITAR,KABUPATEN
45174,35,KAB. KEDIRI,KABUPATEN
45545,35,KAB. MALANG,KABUPATEN
46195,35,KAB. JEMBER,KABUPATEN
46475,35,KAB. BANYUWANGI,KABUPATEN
46960,35,KAB. SITUBONDO,KABUPATEN
47859,35,KAB. SIDOARJO,KABUPATEN
48231,35,KAB. MOJOKERTO,KABUPATEN
49663,35,KAB. NGAWI,KABUPATEN
50358,35,KAB. TUBAN,KABUPATEN
50707,35,KAB. LAMONGAN,KABUPATEN
51209,35,KAB. GRESIK,KABUPATEN
52288,35,KAB. SUMENEP,KABUPATEN
52700,35,KOTA BLITAR,KOTA
52823,35,KOTA PASURUAN,KOTA
52914,35,KOTA SURABAYA,KOTA
53129,36,KAB. PANDEGLANG,KABUPATEN
54182,36,KAB. SERANG,KABUPATEN
54656,36,KOTA CILEGON,KOTA
54781,36,KOTA TANGERANG SELATAN,KOTA
54844,51,KAB. JEMBRANA,KABUPATEN
54901,51,KAB. TABANAN,KABUPATEN
55045,51,KAB. BADUNG,KABUPATEN
55256,51,KAB. BANGLI,KABUPATEN
55333,51,KAB. KARANGASEM,KABUPATEN
55578,51,KOTA DENPASAR,KOTA
55760,52,KAB. LOMBOK TENGAH,KABUPATEN
56187,52,KAB. SUMBAWA,KABUPATEN
56377,52,KAB. DOMPU,KABUPATEN
56467,52,KAB. BIMA,KABUPATEN
56677,52,KAB. SUMBAWA BARAT,KABUPATEN
56750,52,KAB. LOMBOK UTARA,KABUPATEN
56789,52,KOTA MATARAM,KOTA
57403,53,KAB. TIMOR TENGAH UTARA,KABUPATEN
57621,53,KAB. BELU,KABUPATEN
58660,53,KAB. NGADA,KABUPATEN
58824,53,KAB. MANGGARAI,KABUPATEN
58998,53,KAB. SUMBA TIMUR,KABUPATEN
59177,53,KAB. SUMBA BARAT,KABUPATEN
59519,53,KAB. MANGGARAI BARAT,KABUPATEN
60220,53,KAB. SABU RAIJUA,KABUPATEN
60289,53,KAB. MALAKA,KABUPATEN
60488,61,KAB. SAMBAS,KABUPATEN
60963,61,KAB. KETAPANG,KABUPATEN
61233,61,KAB. SINTANG,KABUPATEN
61535,61,KAB. KAPUAS HULU,KABUPATEN
61841,61,KAB. BENGKAYANG,KABUPATEN
62153,61,KAB. SEKADAU,KABUPATEN
62248,61,KAB. MELAWI,KABUPATEN
62674,62,KAB. KOTAWARINGIN BARAT,KABUPATEN
62775,62,KAB. KOTAWARINGIN TIMUR,KABUPATEN
62978,62,KAB. KAPUAS,KABUPATEN
63227,62,KAB. BARITO SELATAN,KABUPATEN
63327,62,KAB. BARITO UTARA,KABUPATEN
63440,62,KAB. KATINGAN,KABUPATEN
63615,62,KAB. SERUYAN,KABUPATEN
63726,62,KAB. SUKAMARA,KABUPATEN
63764,62,KAB. LAMANDAU,KABUPATEN
63861,62,KAB. GUNUNG MAS,KABUPATEN
64001,62,KAB. PULANG PISAU,KABUPATEN
64109,62,KAB. MURUNG RAYA,KABUPATEN
64245,62,KAB. BARITO TIMUR,KABUPATEN
64360,62,KOTA PALANGKARAYA,KOTA
64397,63,KAB. TANAH LAUT,KABUPATEN
64544,63,KAB. KOTABARU,KABUPATEN
64768,63,KAB. BANJAR,KABUPATEN
65078,63,KAB. BARITO KUALA,KABUPATEN
65297,63,KAB. TAPIN,KABUPATEN
65445,63,KAB. HULU SUNGAI SELATAN,KABUPATEN
65605,63,KAB. HULU SUNGAI TENGAH,KABUPATEN
65786,63,KAB. HULU SUNGAI UTARA,KABUPATEN
66014,63,KAB. TABALONG,KABUPATEN
66158,63,KAB. TANAH BUMBU,KABUPATEN
66319,63,KAB. BALANGAN,KABUPATEN
66485,63,KOTA BANJARMASIN,KOTA
66543,63,KOTA BANJARBARU,KOTA
66570,64,KAB. PASER,KABUPATEN
66725,64,KAB. KUTAI KARTANEGARA,KABUPATEN
66981,64,KAB. BERAU,KABUPATEN
67102,64,KAB. KUTAI BARAT,KABUPATEN
67313,64,KAB. KUTAI TIMUR,KABUPATEN
67526,64,KAB. MAHAKAM ULU,KABUPATEN
67582,64,KOTA BALIKPAPAN,KOTA
67623,64,KOTA SAMARINDA,KOTA
67693,64,KOTA BONTANG,KOTA
67713,65,KAB. BULUNGAN,KABUPATEN
67805,65,KAB. MALINAU,KABUPATEN
67930,65,KAB. NUNUKAN,KABUPATEN
68187,65,KAB. TANA TIDUNG,KABUPATEN
68225,65,KOTA TARAKAN,KOTA
68251,71,KAB. BOLAANG MONGONDOW,KABUPATEN
68469,71,KAB. MINAHASA,KABUPATEN
68765,71,KAB. KEPULAUAN SANGIHE,KABUPATEN
68948,71,KAB. KEPULAUAN TALAUD,KABUPATEN
69121,71,KAB. MINAHASA SELATAN,KABUPATEN
69301,71,KAB. MINAHASA UTARA,KABUPATEN
69444,71,KAB. MINAHASA TENGGARA,KABUPATEN
69601,71,KAB. BOLAANG MONGONDOW UTARA,KABUPATEN
69715,71,KAB. KEP. SIAU TAGULANDANG BIARO,KABUPATEN
69819,71,KAB. BOLAANG MONGONDOW TIMUR,KABUPATEN
69906,71,KAB. BOLAANG MONGONDOW SELATAN,KABUPATEN
69993,71,KOTA MANADO,KOTA
70092,71,KOTA BITUNG,KOTA
70170,71,KOTA TOMOHON,KOTA
70220,71,KOTA KOTAMOBAGU,KOTA
70256,72,KAB. BANGGAI,KABUPATEN
70617,72,KAB. POSO,KABUPATEN
70803,72,KAB. DONGGALA,KABUPATEN
70987,72,KAB. TOLI TOLI,KABUPATEN
71102,72,KAB. BUOL,KABUPATEN
71229,72,KAB. MOROWALI,KABUPATEN
71372,72,KAB. BANGGAI KEPULAUAN,KABUPATEN
71529,72,KAB. PARIGI MOUTONG,KABUPATEN
71836,72,KAB. TOJO UNA UNA,KABUPATEN
71995,72,KAB. SIGI,KABUPATEN
72187,72,KAB. BANGGAI LAUT,KABUPATEN
72261,72,KAB. MOROWALI UTARA,KABUPATEN
72396,72,KOTA PALU,KOTA
72451,73,KAB. KEPULAUAN SELAYAR,KABUPATEN
72551,73,KAB. BULUKUMBA,KABUPATEN
73009,73,KAB. GOWA,KABUPATEN
73685,73,KAB. MAROS,KABUPATEN
73803,73,KAB. PANGKAJENE KEPULAUAN,KABUPATEN
73920,73,KAB. BARRU,KABUPATEN
73983,73,KAB. SOPPENG,KABUPATEN
74898,73,KAB. TANA TORAJA,KABUPATEN
75078,73,KAB. LUWU UTARA,KABUPATEN
75264,73,KAB. LUWU TIMUR,KABUPATEN
