id,candidate_id,vision,mision
1,1240,"Surabaya Lebih Sejahtera, Berkeadilan, Berdaya Saing, dan Berkepribadian.","1. Meningkatkan kesejahteraan rakyat yang berkeadilan.
2. Meningkatkan pembangunan ekonomi yang inklusif, dan berdaya saing.
3. Meningkatkan pembangunan pariwisata, dan revitalisasi budaya lokal, serta kesalehan sosial.
4. Meningkatkan pembangunan infrastuktur yang merata, dan pelestarian lingkungan hidup.
5. Meningkatkan reformasi birokrasi dan pelayanan publik."
2,253,SURABAYA KOTA SENTOSA YANG BERKARAKTER DAN BERDAYA SAING GLOBAL BERBASIS EKOLOGI,"1. Mewujudkan sumber daya masyarakat yang berkualitas
2. Memberdayakan masyarakat dan menciptakan seluas-luasnya kesempatan berusaha
3. Memelihara keamanan dan ketertiban umum
4. Mewujudkan penataan ruang yang terintegrasi dan memperhatikan daya dukung kota
5. Memantapkan sarana dan prasarana lingkungan dan permukiman yang ramah lingkungan
6. Memperkuat nilai-nilai budaya lokal dalam sendi-sendi kehidupan masyarakat
7. Mewujudkan Surabaya sebagai pusat penghubung perdagangan dan jasa antar pulau dan internasional
8. Memantapkan tata kelola pemerintahan yang baik
9. Memantapkan daya saing usaha-usaha ekonomi lokal, inovasi produk dan jasa, serta pengembangan industri kreatif
10. Mewujudkan infrastruktur dan utilitas kota yang terpadu dan efisien"
