id,province_id,name,link,other_link,explanation,member_link
265,15,Kabupaten Merangin,http://meranginkab.kpu.go.id/,,Tidak Aktif,
266,15,Kabupaten Muaro Jambi,http://muarojambikab.kpu.go.id/,,Tidak Aktif,
267,15,Kabupaten Sarolangun,http://sarolangunkab.kpu.go.id/,,Tidak Aktif,
268,15,Kabupaten Tanjung Jabung Barat,http://kpud.tanjabbarkab.go.id/,,,
269,15,Kabupaten Tanjung Jabung Timur,http://www.kpu-tanjabtim.go.id/,,,
270,15,Kabupaten Tebo,http://tebokab.kpu.go.id/,,Tidak Aktif,
271,15,Kota Jambi,http://www.kpu-jambikota.go.id/,,,
272,15,Kota Sungai Penuh,http://www.kpu-sungaipenuhkota.go.id/,,,
273,21,Kabupaten Bintan,http://www.kpud-bintankab.go.id/html/,,,
274,21,Kabupaten Karimun,http://kpu-karimunkab.go.id/home,,,
275,21,Kabupaten Kepulauan Anambas,http://kpud-kepanambaskab.go.id/,,Suspend,
276,21,Kabupaten Lingga,https://linggakab.kpu.go.id/,,Tidak Aktif ,
277,21,Kabupaten Natuna,https://natunakab.kpu.go.id/index.php,,Tidak Aktif ,
278,21,Kota Batam,http://kpud-batamkota.go.id/,,Suspend,
279,21,Kota Tanjung Pinang,https://tanjungpinangkota.kpu.go.id/,,Tidak Aktif ,
280,17,Kabupaten Bengkulu Selatan,http://kpu-bengkuluselatan.go.id/,,,
281,17,Kabupaten Bengkulu Tengah,https://bengkulutengahkab.kpu.go.id/,,Tidak Aktif,
282,17,Kabupaten Bengkulu Utara,http://bengkuluutarakab.kpu.go.id/,,Tidak Aktif,
283,17,Kabupaten Kaur,http://www.kpu-kaurkab.go.id/index.php/en/36-kegiatan/37-tim-seleksi-anggota-kpu-kabupaten-kaur,,,
284,17,Kabupaten Kepahiang,http://www.kpu-kepahiangkab.go.id/,,,
285,17,Kabupaten Lebong,http://lebongkab.kpu.go.id/,,Tidak Aktif,
286,17,Kabupaten Mukomuko,http://kpu-mukomukokab.go.id/cgi-sys/suspendedpage.cgi,http://kpumukomuko.blogspot.com/,Suspend,
287,17,Kabupaten Rejang Lebong,http://kpu-rejanglebongkab.go.id/,,Suspend,
288,17,Kabupaten Seluma,http://selumakab.kpu.go.id/index.php,,Tidak Aktif,
289,17,Kota Bengkulu,http://bengkulukota.kpu.go.id/,https://kpukota.wordpress.com/,Tidak Aktif,
290,18,Kabupaten Lampung Tengah,http://lampungtengahkab.kpu.go.id/,http://kpulamteng.blogspot.com/,Tidak Aktif,
291,18,Kabupaten Lampung Utara,,http://kpulampungutara.blogspot.com/,,
292,18,Kabupaten Lampung Selatan,https://lampungselatankab.kpu.go.id/,http://kpulamsel.blogspot.com/,Tidak Aktif,
293,18,Kabupaten Lampung Barat,https://lampungbaratkab.kpu.go.id/,http://kpulampungbarat.blogspot.com/,Tidak Aktif,
294,18,Kabupaten Lampung Timur,http://lampungtimurkab.kpu.go.id/,http://kpu-lampungtimur.blogspot.com/,Tidak Aktif,
295,18,Kabupaten Mesuji,,,,
296,18,Kabupaten Pesawaran,https://pesawarankab.kpu.go.id/,http://kpupesawaran.blogspot.com/p/komisioner-kpu-kab-pesawaran.html,Tidak Aktif,
297,18,Kabupaten Pesisir Barat,,,,
298,18,Kabupaten Pringsewu,http://www.kpudpringsewu.com/,http://kpupringsewu.blogspot.com/,,
299,18,Kabupaten Tulang Bawang,http://tulangbawangkab.go.id/,,,
300,18,Kabupaten Tulang Bawang Barat,http://tulangbawangbaratkab.kpu.go.id/,,Tidak Aktif,
301,18,Kabupaten Tanggamus,https://tanggamuskab.kpu.go.id/,http://kputanggamus.blogspot.com/,Tidak Aktif,
302,18,Kabupaten Way Kanan,http://waykanankab.kpu.go.id/,http://kpuwaykanan.blogspot.com/,Tidak Aktif,
303,18,Kota Bandar Lampung,http://kpu-bandarlampungkota.go.id/,http://kpu-bandarlampung.blogspot.com/,,
304,18,Kota Metro,http://kpu-metrokota.go.id/,,,
305,71,Kabupaten Bolaang Mongondow,http://bolaangmongondowkab.kpu.go.id/,http://kpu-bolmong.blogspot.com/,Tidak Aktif,
306,71,Kabupaten Bolaang Mongondow Selatan,,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_BOLAANG_MONGONDOW_SELATAN_001.pdf
307,71,Kabupaten Bolaang Mongondow Timur,,,,
308,71,Kabupaten Bolaang Mongondow Utara,,,,
309,71,Kabupaten Kepulauan Sangihe,http://kepsangihekab.kpu.go.id/,,Tidak Aktif,
310,71,Kabupaten Kepulauan Siau Tagulandang Biaro,,,,
311,71,Kabupaten Kepulauan Talaud,http://keptalaudkab.kpu.go.id/,http://kpudkepulauantalaud.blogspot.com/,Tidak Aktif,
312,71,Kabupaten Minahasa,,http://kpu-minahasa.blogspot.com/,,
313,71,Kabupaten Minahasa Selatan,http://minutkab.kpu.go.id/,,Tidak Aktif,
314,71,Kabupaten Minahasa Tenggara,http://www.kpu-mitrakab.go.id/,,,
315,71,Kabupaten Minahasa Utara,http://minselkab.kpu.go.id/,,Tidak Aktif,
316,71,Kota Bitung,http://www.kpukotabitung.com/media.php?module=home,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_BITUNG.pdf
317,71,Kota Kotamobagu,http://kotamobagukota.kpu.go.id/,,Tidak Aktif ,
318,71,Kota Manado,http://manadokota.kpu.go.id/,,Tidak Aktif ,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_MANADO.pdf
319,71,Kota Tomohon,http://tomohonkota.kpu.go.id/,,Tidak Aktif ,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_TOMOHON.pdf
320,72,Kabupaten Banggai,,,,
321,72,Kabupaten Banggai Kepulauan,http://banggaikepkab.kpu.go.id/,,Tidak Aktif ,
322,72,Kabupaten Buol,http://buolkab.kpu.go.id/,,Tidak Aktif ,
323,72,Kabupaten Donggala,http://donggalakab.kpu.go.id/,,Tidak Aktif ,
324,72,Kabupaten Morowali,http://morowalikab.kpu.go.id/,,Tidak Aktif ,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KAB_MOROWALI.pdf
325,72,Kabupaten Parigi Moutong,http://parimokab.kpu.go.id/,,Tidak Aktif ,
326,72,Kabupaten Poso,http://kpu.posokab.go.id/,,,
