kategori,tahun,judul,pengusul,page_url
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 30 Tahun 2001 tentang Energi,DPR,http://dpr.go.id/prolegnas/index/id/113
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi,DPR,http://dpr.go.id/prolegnas/index/id/114
PROLEGNAS 2015-2016,,RUU tentang Keadilan dan Kesetaraan Gender,"DPR, PEMERINTAH, DPD",http://dpr.go.id/prolegnas/index/id/115
PROLEGNAS 2015-2016,,RUU tentang Tanggung Jawab Sosial Perusahaan,DPR,http://dpr.go.id/prolegnas/index/id/116
PROLEGNAS 2015-2016,,RUU tentang Pengelolaan Ibadah Haji dan Penyelenggaraan Umrah,DPR,http://dpr.go.id/prolegnas/index/id/27
PROLEGNAS 2015-2016,,RUU tentang Penyandang Disabilitas,DPR,http://dpr.go.id/prolegnas/index/id/26
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 1 Tahun 1974 tentang Perkawinan,"DPR, DPD",http://dpr.go.id/prolegnas/index/id/118
PROLEGNAS 2015-2016,,RUU tentang Kepalangmerahan,DPR,http://dpr.go.id/prolegnas/index/id/119
PROLEGNAS 2015-2016,,RUU tentang Praktik Pekerjaan Sosial,DPR,http://dpr.go.id/prolegnas/index/id/120
PROLEGNAS 2015-2016,,RUU tentang Lembaga Pendidikan Keagamaan,DPR,http://dpr.go.id/prolegnas/index/id/121
PROLEGNAS 2015-2016,,RUU tentang Ketahanan Keluarga,DPR,http://dpr.go.id/prolegnas/index/id/122
PROLEGNAS 2015-2016,,RUU tentang Perlindungan Umat Beragama,"DPR, PEMERINTAH",http://dpr.go.id/prolegnas/index/id/123
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 23 Tahun 2004 tentang Penghapusan Kekerasan Dalam Rumah Tangga,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/124
PROLEGNAS 2015-2016,,RUU tentang Perlindungan Pekerja Indonesia di Luar Negeri,DPR,http://dpr.go.id/prolegnas/index/id/28
PROLEGNAS 2015-2016,,RUU tentang Perlindungan Pekerja Rumah Tangga,DPR,http://dpr.go.id/prolegnas/index/id/125
PROLEGNAS 2015-2016,,"RUU tentang Pembinaan, Pengembangan dan Pengawasan Sediaan Farmasi, Alat Kesehatan, dan Perbekalan Kesehatan Rumah Tangga","DPR, DPD",http://dpr.go.id/prolegnas/index/id/126
PROLEGNAS 2015-2016,,RUU tentang Perubahan Atas UU Nomor 2 Tahun 2004 Tentang Penyelesaian Perselisi han Hubungan Industrial,DPR,http://dpr.go.id/prolegnas/index/id/30
PROLEGNAS 2015-2016,,RUU tentang Kebidanan,"DPR, DPD",http://dpr.go.id/prolegnas/index/id/127
PROLEGNAS 2015-2016,,RUU tentang Kekarantinaan Kesehatan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/29
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 36 Tahun 2014 tentang Tenaga Kesehatan,DPR,http://dpr.go.id/prolegnas/index/id/128
PROLEGNAS 2015-2016,,RUU tentang Praktik Kefarmasian,DPR,http://dpr.go.id/prolegnas/index/id/129
PROLEGNAS 2015-2016,,RUU tentang Pengawasan Obat dan Makanan serta Pemanfaatan Obat Asli Indonesia,DPR,http://dpr.go.id/prolegnas/index/id/130
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 4 Tahun 1984 tentang Wabah Penyakit Menular,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/131
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/132
PROLEGNAS 2015-2016,,RUU tentang Pengawasan Ketenagakerjaan,"DPR, PEMERINTAH",http://dpr.go.id/prolegnas/index/id/133
PROLEGNAS 2015-2016,,RUU tentang Sistem Pengupahan,"DPR, PEMERINTAH",http://dpr.go.id/prolegnas/index/id/134
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 20 Tahun 2003 tentang Sistem Pendidikan Nasional,"DPR, PEMERINTAH, DPD",http://dpr.go.id/prolegnas/index/id/135
PROLEGNAS 2015-2016,,RUU tentang Kebudayaan,DPR,http://dpr.go.id/prolegnas/index/id/136
PROLEGNAS 2015-2016,,RUU tentang Bahasa dan Kesenian Daerah,DPD,http://dpr.go.id/prolegnas/index/id/137
PROLEGNAS 2015-2016,,RUU tentang Sistem Perbukuan,DPR,http://dpr.go.id/prolegnas/index/id/31
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 10 Tahun 2009 tentang Kepariwisataan,"DPR, DPD",http://dpr.go.id/prolegnas/index/id/138
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 4 Tahun 1990 tentang Serah-simpan Karya Cetak dan Karya Rekam,DPR,http://dpr.go.id/prolegnas/index/id/139
PROLEGNAS 2015-2016,,RUU tentang Perubahan Kelima Atas UU Nomor 6 Tah un 1983 tentang Ketentuan Umum Dan Tata Cara Perpajakan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/37
PROLEGNAS 2015-2016,,RUU tentang Perubahan Kedua atas UU Nomor 23 Tahun 1999 Tentang Bank Indonesia,DPR,http://dpr.go.id/prolegnas/index/id/33
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal,"DPR, PEMERINTAH",http://dpr.go.id/prolegnas/index/id/140
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang - Undang Nomor 20 Tahun 1997 tentang Penerimaan Negara Bukan Pajak,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/36
PROLEGNAS 2015-2016,,RUU tentang Pengurusan Piutang Negara dan Piutang Daerah,"DPR, PEMERINTAH",http://dpr.go.id/prolegnas/index/id/141
PROLEGNAS 2015-2016,,RUU tentang Jaring Pengaman Sistem Keuangan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/35
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara,"DPR, DPD",http://dpr.go.id/prolegnas/index/id/142
PROLEGNAS 2015-2016,,RUU tentang Perubahan Kedua atas Undang - Undang Nomor 7 Tahun 1992 tentang Perbankan,DPR,http://dpr.go.id/prolegnas/index/id/32
PROLEGNAS 2015-2016,,RUU tentang Pembatasan Transaksi Penggunaan Uang Kartal,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/143
PROLEGNAS 2015-2016,,RUU tentang Pajak Penghasilan,"PEMERINTAH, DPD",http://dpr.go.id/prolegnas/index/id/144
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 28 Tahun 2009 tentang Pajak Daerah dan Retribusi Daerah,"PEMERINTAH, DPD",http://dpr.go.id/prolegnas/index/id/145
PROLEGNAS 2015-2016,,RUU tentang Pengelolaan Kekayaan Negara,"PEMERINTAH, DPD",http://dpr.go.id/prolegnas/index/id/146
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 24 Tahun 1999 tentang Lalu Lintas Devisa dan Sistem Nilai Tukar,DPR,http://dpr.go.id/prolegnas/index/id/147
PROLEGNAS 2015-2016,,RUU tentang Perubahan Harga Rupiah,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/148
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 11 Tahun 1992 tentang Dana Pensiun,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/149
PROLEGNAS 2015-2016,,RUU tentang Lelang,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/150
PROLEGNAS 2015-2016,,RUU tentang Penjaminan,DPR,http://dpr.go.id/prolegnas/index/id/34
PROLEGNAS 2015-2016,,RUU tentang Penjaminan Polis,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/151
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 24 Tahun 2004 tentang Lembaga Penjamin Simpanan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/152
PROLEGNAS 2015-2016,,RUU tentang Penilai,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/153
PROLEGNAS 2015-2016,,RUU tentang Pengadaan Barang dan Jasa,DPD,http://dpr.go.id/prolegnas/index/id/154
PROLEGNAS 2015-2016,,RUU tentang Perekonomian Nasional,"DPR, DPD",http://dpr.go.id/prolegnas/index/id/155
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas Undang-Undang Nomor 25 Tahun 2004 tentang Sistem Perencanaan Pembangunan Nasional,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/156
PROLEGNAS 2015-2016,,RUU tentang Lembaga Pembiayaan Pembangunan Indonesia,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/157
PROLEGNAS 2015-2016,,RUU tentang Bea Materai,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/158
PROLEGNAS 2015-2016,,RUU tentang Pajak Bumi dan Bangunan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/161
PROLEGNAS 2015-2016,,RUU tentang Pajak Pertambahan Nilai dan Pajak Penjualan Barang Mewah,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/160
PROLEGNAS 2015-2016,,RUU tentang Peningkatan Pendapatan Asli Daerah,DPR,http://dpr.go.id/prolegnas/index/id/9
PROLEGNAS 2015-2016,,RUU tentang Tabungan Haji,DPR,http://dpr.go.id/prolegnas/index/id/117
PROLEGNAS 2015-2016,,RUU tentang Pengampunan Pajak,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/173
PROLEGNAS 2015-2016,,RUU tentang Perkelapasawitan,DPR,http://dpr.go.id/prolegnas/index/id/175
PROLEGNAS 2015-2016,,RUU tentang Kedaulatan Sandang Nasional/RUU tentang Pertekstilan,DPR,http://dpr.go.id/prolegnas/index/id/176
PROLEGNAS 2015-2016,,RUU tentang Perubahan Kedua atas UU Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/177
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas UU Nomor 15 Tahun 2006 tentang Badan Pemeriksa Keuangan,PEMERINTAH,http://dpr.go.id/prolegnas/index/id/178
PROLEGNAS 2015-2016,,RUU tentang Keamanan Laut,DPR,http://dpr.go.id/prolegnas/index/id/179
PROLEGNAS 2015-2016,,RUU tentang Penghapusan Kekerasan Seksual,DPR,http://dpr.go.id/prolegnas/index/id/180
PROLEGNAS 2015-2016,,RUU tentang Jabatan Pejabat Pembuat Akta Tanah,DPR,http://dpr.go.id/prolegnas/index/id/181
PROLEGNAS 2015-2016,,RUU tentang Perubahan atas UU No 21 Th 2011 tentang Otoritas Jasa Keuangan,DPR,http://dpr.go.id/prolegnas/index/id/182
